<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRXUSDTSWAP,60,20250531,190000,0.26678,0.26682,0.26596,0.26613,1562.79
TRXUSDTSWAP,60,20250531,200000,0.26613,0.26613,0.26518,0.2652,1119.11
TRXUSDTSWAP,60,20250531,210000,0.26519,0.26606,0.26478,0.26589,1156.64
TRXUSDTSWAP,60,20250531,220000,0.26589,0.26674,0.2652,0.26646,778.19
TRXUSDTSWAP,60,20250531,230000,0.26647,0.26647,0.2659,0.26633,479.53
TRXUSDTSWAP,60,20250601,000000,0.26634,0.26643,0.26578,0.26583,401.04
TRXUSDTSWAP,60,20250601,010000,0.26583,0.26589,0.26508,0.26515,657.52
TRXUSDTSWAP,60,20250601,020000,0.26515,0.26583,0.26493,0.26549,537.08
TRXUSDTSWAP,60,20250601,030000,0.26549,0.2655,0.26468,0.26494,832.55
TRXUSDTSWAP,60,20250601,040000,0.26493,0.26633,0.26487,0.2658,1140.71
TRXUSDTSWAP,60,20250601,050000,0.26581,0.26717,0.26537,0.26686,1146.75
TRXUSDTSWAP,60,20250601,060000,0.26687,0.26756,0.26679,0.26709,948.43
TRXUSDTSWAP,60,20250601,070000,0.2671,0.26812,0.26709,0.26768,917.37
TRXUSDTSWAP,60,20250601,080000,0.26768,0.26858,0.26767,0.26806,743.63
TRXUSDTSWAP,60,20250601,090000,0.26806,0.26899,0.268,0.26889,668.0
TRXUSDTSWAP,60,20250601,100000,0.26888,0.26891,0.26796,0.26819,512.41
TRXUSDTSWAP,60,20250601,110000,0.2682,0.26829,0.26748,0.26769,613.6
TRXUSDTSWAP,60,20250601,120000,0.26769,0.2682,0.26671,0.26707,1226.65
TRXUSDTSWAP,60,20250601,130000,0.26708,0.26747,0.26666,0.26745,551.82
TRXUSDTSWAP,60,20250601,140000,0.26744,0.26889,0.26714,0.2682,682.14
TRXUSDTSWAP,60,20250601,150000,0.2682,0.26843,0.26717,0.26756,578.14
TRXUSDTSWAP,60,20250601,160000,0.26755,0.26835,0.26745,0.26804,617.63
TRXUSDTSWAP,60,20250601,170000,0.26804,0.26824,0.26752,0.26802,579.17
TRXUSDTSWAP,60,20250601,180000,0.26802,0.26824,0.26767,0.26818,483.96
TRXUSDTSWAP,60,20250601,190000,0.26818,0.26915,0.2677,0.26889,1123.34
TRXUSDTSWAP,60,20250601,200000,0.2689,0.2697,0.26883,0.26902,514.97
TRXUSDTSWAP,60,20250601,210000,0.26903,0.26915,0.268,0.26867,730.95
TRXUSDTSWAP,60,20250601,220000,0.26866,0.26934,0.26865,0.26923,542.93
TRXUSDTSWAP,60,20250601,230000,0.26923,0.26923,0.26866,0.2688,345.46
TRXUSDTSWAP,60,20250602,000000,0.26879,0.26982,0.26879,0.26979,466.71
TRXUSDTSWAP,60,20250602,010000,0.26978,0.27051,0.26958,0.27017,745.45
TRXUSDTSWAP,60,20250602,020000,0.27016,0.27124,0.27015,0.27062,1073.96
TRXUSDTSWAP,60,20250602,030000,0.27064,0.27097,0.27002,0.27034,858.07
TRXUSDTSWAP,60,20250602,040000,0.27035,0.27062,0.27003,0.2705,447.85
TRXUSDTSWAP,60,20250602,050000,0.2705,0.27144,0.27045,0.27085,783.48
TRXUSDTSWAP,60,20250602,060000,0.27087,0.27091,0.27032,0.27063,711.1
TRXUSDTSWAP,60,20250602,070000,0.27063,0.27174,0.27063,0.27117,1431.07
TRXUSDTSWAP,60,20250602,080000,0.27117,0.27135,0.27011,0.2704,805.75
TRXUSDTSWAP,60,20250602,090000,0.27039,0.27074,0.27006,0.2703,555.24
TRXUSDTSWAP,60,20250602,100000,0.2703,0.27055,0.26924,0.26937,602.65
TRXUSDTSWAP,60,20250602,110000,0.26936,0.2704,0.26903,0.27004,716.01
TRXUSDTSWAP,60,20250602,120000,0.27005,0.27017,0.2687,0.2688,671.42
TRXUSDTSWAP,60,20250602,130000,0.26878,0.26935,0.26788,0.26794,1247.54
TRXUSDTSWAP,60,20250602,140000,0.26793,0.26876,0.26761,0.26768,805.56
TRXUSDTSWAP,60,20250602,150000,0.26767,0.26842,0.26738,0.26784,646.64
TRXUSDTSWAP,60,20250602,160000,0.26783,0.26784,0.2668,0.26709,827.39
TRXUSDTSWAP,60,20250602,170000,0.26705,0.26755,0.26668,0.26684,1057.73
TRXUSDTSWAP,60,20250602,180000,0.26683,0.26749,0.26653,0.26701,636.96
TRXUSDTSWAP,60,20250602,190000,0.26702,0.26702,0.26567,0.26624,1009.34
TRXUSDTSWAP,60,20250602,200000,0.26623,0.26955,0.26576,0.26653,3270.49
TRXUSDTSWAP,60,20250602,210000,0.26654,0.26746,0.26649,0.267,894.52
TRXUSDTSWAP,60,20250602,220000,0.267,0.2675,0.26674,0.26719,596.56
TRXUSDTSWAP,60,20250602,230000,0.26719,0.26837,0.26703,0.26816,712.25
TRXUSDTSWAP,60,20250603,000000,0.26816,0.26846,0.26768,0.26811,451.17
TRXUSDTSWAP,60,20250603,010000,0.26811,0.26864,0.26807,0.26851,816.44
TRXUSDTSWAP,60,20250603,020000,0.26852,0.26885,0.26845,0.26857,589.52
TRXUSDTSWAP,60,20250603,030000,0.2686,0.26868,0.26806,0.26863,554.99
TRXUSDTSWAP,60,20250603,040000,0.26864,0.26986,0.26852,0.26931,764.05
TRXUSDTSWAP,60,20250603,050000,0.2693,0.26931,0.2686,0.26907,763.12
TRXUSDTSWAP,60,20250603,060000,0.26908,0.26922,0.26839,0.26859,575.85
TRXUSDTSWAP,60,20250603,070000,0.26861,0.27017,0.26853,0.26921,820.35
TRXUSDTSWAP,60,20250603,080000,0.26921,0.27078,0.26918,0.27002,1010.23
TRXUSDTSWAP,60,20250603,090000,0.27004,0.27056,0.26987,0.26999,471.87
TRXUSDTSWAP,60,20250603,100000,0.26999,0.27034,0.2698,0.2701,459.84
TRXUSDTSWAP,60,20250603,110000,0.2701,0.27037,0.2695,0.27008,673.06
TRXUSDTSWAP,60,20250603,120000,0.27007,0.27085,0.27001,0.27026,583.88
TRXUSDTSWAP,60,20250603,130000,0.27027,0.27081,0.27006,0.27048,330.54
TRXUSDTSWAP,60,20250603,140000,0.27049,0.27078,0.2696,0.26983,523.17
TRXUSDTSWAP,60,20250603,150000,0.26983,0.27025,0.26954,0.27023,346.64
TRXUSDTSWAP,60,20250603,160000,0.27023,0.27073,0.26993,0.27028,739.1
TRXUSDTSWAP,60,20250603,170000,0.27029,0.27114,0.2699,0.27086,761.89
TRXUSDTSWAP,60,20250603,180000,0.27083,0.27142,0.27024,0.27034,587.88
TRXUSDTSWAP,60,20250603,190000,0.27035,0.27079,0.26989,0.27048,747.01
TRXUSDTSWAP,60,20250603,200000,0.27049,0.27108,0.27037,0.27077,491.99
TRXUSDTSWAP,60,20250603,210000,0.27078,0.27109,0.27045,0.27098,356.87
TRXUSDTSWAP,60,20250603,220000,0.27098,0.27168,0.27098,0.27158,402.21
TRXUSDTSWAP,60,20250603,230000,0.27159,0.2719,0.27076,0.27122,778.75
TRXUSDTSWAP,60,20250604,000000,0.27122,0.27135,0.26975,0.27016,571.49
TRXUSDTSWAP,60,20250604,010000,0.27016,0.2708,0.2699,0.27064,438.56
TRXUSDTSWAP,60,20250604,020000,0.27065,0.27078,0.26996,0.27011,336.41
TRXUSDTSWAP,60,20250604,030000,0.2701,0.27094,0.27,0.2702,680.3
TRXUSDTSWAP,60,20250604,040000,0.27018,0.27061,0.26877,0.26884,1018.78
TRXUSDTSWAP,60,20250604,050000,0.26884,0.26956,0.26854,0.26908,754.13
TRXUSDTSWAP,60,20250604,060000,0.26907,0.26934,0.26832,0.26846,896.67
TRXUSDTSWAP,60,20250604,070000,0.26846,0.26848,0.26796,0.26817,717.09
TRXUSDTSWAP,60,20250604,080000,0.26817,0.2683,0.26766,0.26819,584.46
TRXUSDTSWAP,60,20250604,090000,0.26818,0.26988,0.26789,0.26931,749.32
TRXUSDTSWAP,60,20250604,100000,0.26935,0.27052,0.26924,0.26994,647.07
TRXUSDTSWAP,60,20250604,110000,0.26995,0.2716,0.26972,0.27133,911.14
TRXUSDTSWAP,60,20250604,120000,0.27133,0.27214,0.27099,0.27165,1155.88
TRXUSDTSWAP,60,20250604,130000,0.27166,0.27277,0.27166,0.27211,1499.59
TRXUSDTSWAP,60,20250604,140000,0.27208,0.27286,0.27192,0.27224,471.96
TRXUSDTSWAP,60,20250604,150000,0.27225,0.2732,0.27087,0.271,3027.06
TRXUSDTSWAP,60,20250604,160000,0.27099,0.27237,0.27086,0.2717,1117.45
TRXUSDTSWAP,60,20250604,170000,0.27169,0.27348,0.27134,0.27296,1375.36
TRXUSDTSWAP,60,20250604,180000,0.27295,0.27348,0.27176,0.27212,1299.2
TRXUSDTSWAP,60,20250604,190000,0.27213,0.27368,0.27212,0.2736,778.51
TRXUSDTSWAP,60,20250604,200000,0.2736,0.27384,0.2727,0.27332,745.2
TRXUSDTSWAP,60,20250604,210000,0.27331,0.27407,0.27312,0.27319,767.46
TRXUSDTSWAP,60,20250604,220000,0.27318,0.27366,0.27302,0.27344,238.14
