<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TRXUSDTSWAP,3,20250604,172700,0.27319,0.27321,0.27263,0.27299,91.07
TRXUSDTSWAP,3,20250604,173000,0.27299,0.27321,0.27299,0.27319,114.05
TRXUSDTSWAP,3,20250604,173300,0.27319,0.27347,0.27314,0.27346,77.17
TRXUSDTSWAP,3,20250604,173600,0.27347,0.27348,0.27307,0.27318,56.95
TRXUSDTSWAP,3,20250604,173900,0.27318,0.27348,0.27316,0.27338,36.62
TRXUSDTSWAP,3,20250604,174200,0.27339,0.2734,0.27276,0.27283,57.69
TRXUSDTSWAP,3,20250604,174500,0.27283,0.27309,0.27283,0.27307,25.49
TRXUSDTSWAP,3,20250604,174800,0.27308,0.27316,0.27307,0.27316,21.89
TRXUSDTSWAP,3,20250604,175100,0.27316,0.27319,0.2729,0.27298,20.88
TRXUSDTSWAP,3,20250604,175400,0.27299,0.27305,0.27279,0.27295,77.43
TRXUSDTSWAP,3,20250604,175700,0.27292,0.27297,0.2728,0.27296,27.3
TRXUSDTSWAP,3,20250604,180000,0.27295,0.27301,0.27285,0.27287,77.11
TRXUSDTSWAP,3,20250604,180300,0.27287,0.27287,0.27251,0.27265,48.77
TRXUSDTSWAP,3,20250604,180600,0.27266,0.27348,0.27265,0.27298,157.86
TRXUSDTSWAP,3,20250604,180900,0.273,0.27305,0.27246,0.27252,84.94
TRXUSDTSWAP,3,20250604,181200,0.27254,0.27263,0.27241,0.27241,21.69
TRXUSDTSWAP,3,20250604,181500,0.27241,0.27322,0.27237,0.27317,143.83
TRXUSDTSWAP,3,20250604,181800,0.27315,0.27322,0.27282,0.27282,120.95
TRXUSDTSWAP,3,20250604,182100,0.27281,0.27281,0.27216,0.27225,100.9
TRXUSDTSWAP,3,20250604,182400,0.27223,0.27249,0.27223,0.27238,48.89
TRXUSDTSWAP,3,20250604,182700,0.27239,0.27246,0.27236,0.27236,25.54
TRXUSDTSWAP,3,20250604,183000,0.27236,0.27244,0.2722,0.27238,27.28
TRXUSDTSWAP,3,20250604,183300,0.27238,0.2724,0.2723,0.27235,12.7
TRXUSDTSWAP,3,20250604,183600,0.27236,0.27253,0.27225,0.27248,81.16
TRXUSDTSWAP,3,20250604,183900,0.27248,0.27249,0.27231,0.2724,31.52
TRXUSDTSWAP,3,20250604,184200,0.27236,0.27237,0.27205,0.27207,39.81
TRXUSDTSWAP,3,20250604,184500,0.27206,0.27206,0.27184,0.27202,52.21
TRXUSDTSWAP,3,20250604,184800,0.27202,0.27207,0.27178,0.2718,88.18
TRXUSDTSWAP,3,20250604,185100,0.27178,0.27198,0.27176,0.27195,59.8
TRXUSDTSWAP,3,20250604,185400,0.27194,0.27199,0.27183,0.27193,43.32
TRXUSDTSWAP,3,20250604,185700,0.27193,0.2722,0.27188,0.27212,30.7
TRXUSDTSWAP,3,20250604,190000,0.27213,0.27236,0.27212,0.27231,199.43
TRXUSDTSWAP,3,20250604,190300,0.27231,0.27246,0.27231,0.27245,26.82
TRXUSDTSWAP,3,20250604,190600,0.27244,0.27259,0.27244,0.2725,20.52
TRXUSDTSWAP,3,20250604,190900,0.27252,0.27295,0.27252,0.2727,60.49
TRXUSDTSWAP,3,20250604,191200,0.27272,0.27289,0.27272,0.27289,5.23
TRXUSDTSWAP,3,20250604,191500,0.27288,0.27297,0.27268,0.2729,26.44
