<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TURBOUSDTSWAP,1440,20250225,030000,0.0030319,0.0032971,0.0028428,0.00322,2353.87
TURBOUSDTSWAP,1440,20250226,030000,0.0032207,0.0033667,0.0031331,0.003316,1554.04
TURBOUSDTSWAP,1440,20250227,030000,0.003317,0.0034587,0.0031928,0.0032722,975.12
TURBOUSDTSWAP,1440,20250228,030000,0.0032729,0.0035427,0.0029935,0.0034737,1795.01
TURBOUSDTSWAP,1440,20250301,030000,0.003473,0.003524,0.0031786,0.0033381,1106.35
TURBOUSDTSWAP,1440,20250302,030000,0.0033377,0.0037129,0.0032479,0.0036888,1579.82
TURBOUSDTSWAP,1440,20250303,030000,0.0036895,0.0037024,0.0029835,0.003049,1947.43
TURBOUSDTSWAP,1440,20250304,030000,0.0030496,0.0030759,0.002497,0.0027227,2813.5
TURBOUSDTSWAP,1440,20250305,030000,0.0027227,0.002869,0.002582,0.002747,1053.68
TURBOUSDTSWAP,1440,20250306,030000,0.002747,0.002854,0.002622,0.00267,1028.31
TURBOUSDTSWAP,1440,20250307,030000,0.002671,0.002754,0.002462,0.002586,1109.08
TURBOUSDTSWAP,1440,20250308,030000,0.002586,0.002645,0.002376,0.002439,765.08
TURBOUSDTSWAP,1440,20250309,030000,0.002439,0.002495,0.001995,0.002048,1489.18
TURBOUSDTSWAP,1440,20250310,030000,0.002049,0.002327,0.001919,0.00203,1542.24
TURBOUSDTSWAP,1440,20250311,030000,0.00203,0.002207,0.00184,0.00212,1761.66
TURBOUSDTSWAP,1440,20250312,030000,0.00212,0.002232,0.00206,0.002217,865.97
TURBOUSDTSWAP,1440,20250313,030000,0.002216,0.002351,0.002101,0.002179,1176.98
TURBOUSDTSWAP,1440,20250314,030000,0.00218,0.002315,0.002164,0.002234,587.94
TURBOUSDTSWAP,1440,20250315,030000,0.002235,0.002384,0.002201,0.002317,790.35
TURBOUSDTSWAP,1440,20250316,030000,0.002317,0.002359,0.002128,0.002156,722.19
TURBOUSDTSWAP,1440,20250317,030000,0.002155,0.002377,0.002152,0.002339,861.0
TURBOUSDTSWAP,1440,20250318,030000,0.002339,0.002358,0.002192,0.002288,756.8
TURBOUSDTSWAP,1440,20250319,030000,0.002289,0.002446,0.002208,0.002401,859.32
TURBOUSDTSWAP,1440,20250320,030000,0.002401,0.002427,0.002267,0.002298,552.78
TURBOUSDTSWAP,1440,20250321,030000,0.002298,0.002376,0.002172,0.002217,776.48
TURBOUSDTSWAP,1440,20250322,030000,0.002217,0.002705,0.002204,0.002332,5108.17
TURBOUSDTSWAP,1440,20250323,030000,0.002333,0.002386,0.002229,0.002281,1108.63
TURBOUSDTSWAP,1440,20250324,030000,0.00228,0.002477,0.002206,0.002432,1178.67
TURBOUSDTSWAP,1440,20250325,030000,0.002432,0.002517,0.002365,0.002489,882.93
TURBOUSDTSWAP,1440,20250326,030000,0.002488,0.002684,0.002422,0.002491,1156.65
TURBOUSDTSWAP,1440,20250327,030000,0.002491,0.002653,0.002453,0.002468,1336.29
TURBOUSDTSWAP,1440,20250328,030000,0.002468,0.00252,0.002126,0.0022,1516.06
TURBOUSDTSWAP,1440,20250329,030000,0.002201,0.002234,0.001923,0.001992,890.97
TURBOUSDTSWAP,1440,20250330,030000,0.001992,0.002038,0.001941,0.001987,489.66
TURBOUSDTSWAP,1440,20250331,030000,0.001988,0.002015,0.001883,0.001941,878.15
TURBOUSDTSWAP,1440,20250401,030000,0.001942,0.002049,0.001927,0.00195,447.64
TURBOUSDTSWAP,1440,20250402,030000,0.00195,0.001959,0.001706,0.001748,674.31
TURBOUSDTSWAP,1440,20250403,030000,0.001748,0.001832,0.00164,0.001744,439.56
TURBOUSDTSWAP,1440,20250404,030000,0.001745,0.001786,0.001676,0.00176,409.56
TURBOUSDTSWAP,1440,20250405,030000,0.001761,0.001784,0.001713,0.001766,506.67
TURBOUSDTSWAP,1440,20250406,030000,0.001767,0.001775,0.001447,0.001491,644.03
TURBOUSDTSWAP,1440,20250407,030000,0.001491,0.001646,0.00136,0.001541,951.89
TURBOUSDTSWAP,1440,20250408,030000,0.001542,0.001602,0.001465,0.001474,287.38
TURBOUSDTSWAP,1440,20250409,030000,0.001473,0.001733,0.001401,0.001692,444.61
TURBOUSDTSWAP,1440,20250410,030000,0.001693,0.001761,0.001657,0.001686,537.95
TURBOUSDTSWAP,1440,20250411,030000,0.001687,0.001845,0.001664,0.001794,417.73
TURBOUSDTSWAP,1440,20250412,030000,0.001795,0.002179,0.001783,0.002073,1640.27
TURBOUSDTSWAP,1440,20250413,030000,0.002072,0.002182,0.001891,0.001919,1329.26
TURBOUSDTSWAP,1440,20250414,030000,0.00192,0.002088,0.001876,0.001917,1253.85
TURBOUSDTSWAP,1440,20250415,030000,0.001917,0.001953,0.001765,0.001777,537.51
TURBOUSDTSWAP,1440,20250416,030000,0.001777,0.001807,0.001682,0.00175,498.67
TURBOUSDTSWAP,1440,20250417,030000,0.001751,0.00196,0.001712,0.001873,866.47
TURBOUSDTSWAP,1440,20250418,030000,0.001873,0.002099,0.001873,0.002096,1777.82
TURBOUSDTSWAP,1440,20250419,030000,0.002096,0.002099,0.001971,0.002057,739.05
TURBOUSDTSWAP,1440,20250420,030000,0.002058,0.002154,0.002004,0.002103,796.46
TURBOUSDTSWAP,1440,20250421,030000,0.002104,0.002367,0.002089,0.002221,1548.28
TURBOUSDTSWAP,1440,20250422,030000,0.002222,0.003255,0.002188,0.003062,10310.4
TURBOUSDTSWAP,1440,20250423,030000,0.003062,0.005524,0.003044,0.004628,36522.7
TURBOUSDTSWAP,1440,20250424,030000,0.004628,0.005338,0.004051,0.004284,21537.78
TURBOUSDTSWAP,1440,20250425,030000,0.004283,0.004861,0.004166,0.004371,9635.31
TURBOUSDTSWAP,1440,20250426,030000,0.004372,0.005971,0.004371,0.005505,16891.83
TURBOUSDTSWAP,1440,20250427,030000,0.005506,0.005674,0.004825,0.004885,9926.21
TURBOUSDTSWAP,1440,20250428,030000,0.004886,0.005316,0.004708,0.004964,7106.04
TURBOUSDTSWAP,1440,20250429,030000,0.004963,0.005043,0.00459,0.004644,5018.83
TURBOUSDTSWAP,1440,20250430,030000,0.004644,0.004823,0.004214,0.004539,3888.36
TURBOUSDTSWAP,1440,20250501,030000,0.004538,0.005078,0.00442,0.004922,4328.66
TURBOUSDTSWAP,1440,20250502,030000,0.004922,0.00596,0.004814,0.005512,19049.18
TURBOUSDTSWAP,1440,20250503,030000,0.00551,0.005532,0.004765,0.004783,6325.26
TURBOUSDTSWAP,1440,20250504,030000,0.004783,0.005796,0.004671,0.005386,10567.66
TURBOUSDTSWAP,1440,20250505,030000,0.005387,0.005717,0.005083,0.005411,8017.95
TURBOUSDTSWAP,1440,20250506,030000,0.00541,0.006396,0.005092,0.005475,19640.5
TURBOUSDTSWAP,1440,20250507,030000,0.005476,0.005844,0.005182,0.00539,10182.79
TURBOUSDTSWAP,1440,20250508,030000,0.005389,0.006338,0.005285,0.005942,10126.29
TURBOUSDTSWAP,1440,20250509,030000,0.005944,0.006588,0.00582,0.005958,9123.27
TURBOUSDTSWAP,1440,20250510,030000,0.005959,0.00624,0.00566,0.006091,5913.19
TURBOUSDTSWAP,1440,20250511,030000,0.006092,0.006137,0.00567,0.005853,4817.58
TURBOUSDTSWAP,1440,20250512,030000,0.005853,0.006424,0.005335,0.005662,8522.57
TURBOUSDTSWAP,1440,20250513,030000,0.005664,0.006088,0.005425,0.005886,4528.83
TURBOUSDTSWAP,1440,20250514,030000,0.005884,0.00594,0.005478,0.005616,2488.81
TURBOUSDTSWAP,1440,20250515,030000,0.005617,0.005696,0.004949,0.005174,3631.84
TURBOUSDTSWAP,1440,20250516,030000,0.005174,0.00567,0.005081,0.00527,2780.66
TURBOUSDTSWAP,1440,20250517,030000,0.005269,0.005301,0.004806,0.0049,2124.04
TURBOUSDTSWAP,1440,20250518,030000,0.004899,0.005858,0.004869,0.005314,3459.27
TURBOUSDTSWAP,1440,20250519,030000,0.005316,0.005755,0.004868,0.005666,3165.95
TURBOUSDTSWAP,1440,20250520,030000,0.005666,0.005849,0.005212,0.005416,2875.2
TURBOUSDTSWAP,1440,20250521,030000,0.005417,0.005684,0.00528,0.005487,1740.64
TURBOUSDTSWAP,1440,20250522,030000,0.005487,0.005833,0.005464,0.005803,1729.12
TURBOUSDTSWAP,1440,20250523,030000,0.005804,0.006081,0.005014,0.005059,3097.56
TURBOUSDTSWAP,1440,20250524,030000,0.005057,0.005626,0.005026,0.005209,1779.59
TURBOUSDTSWAP,1440,20250525,030000,0.00521,0.005265,0.004829,0.005237,1348.69
TURBOUSDTSWAP,1440,20250526,030000,0.005238,0.005499,0.005148,0.005219,1374.47
TURBOUSDTSWAP,1440,20250527,030000,0.00522,0.005465,0.005066,0.005336,1125.67
TURBOUSDTSWAP,1440,20250528,030000,0.005334,0.005447,0.005007,0.005266,1178.23
TURBOUSDTSWAP,1440,20250529,030000,0.005266,0.005473,0.004989,0.00502,1509.32
TURBOUSDTSWAP,1440,20250530,030000,0.005019,0.005033,0.004041,0.004101,2609.54
TURBOUSDTSWAP,1440,20250531,030000,0.004102,0.004409,0.003897,0.004293,1501.1
TURBOUSDTSWAP,1440,20250601,030000,0.004293,0.004446,0.004146,0.004431,862.12
TURBOUSDTSWAP,1440,20250602,030000,0.004431,0.004482,0.004167,0.004415,1056.23
TURBOUSDTSWAP,1440,20250603,030000,0.004416,0.004576,0.004265,0.00432,920.9
TURBOUSDTSWAP,1440,20250604,030000,0.00432,0.004388,0.004131,0.004156,586.17
