<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TURBOUSDTSWAP,3,20250604,172700,0.004162,0.004164,0.004151,0.004158,3.38
TURBOUSDTSWAP,3,20250604,173000,0.004159,0.004165,0.004158,0.004165,0.63
TURBOUSDTSWAP,3,20250604,173300,0.004166,0.004176,0.004164,0.004167,0.8
TURBOUSDTSWAP,3,20250604,173600,0.004166,0.004166,0.004158,0.004161,0.61
TURBOUSDTSWAP,3,20250604,173900,0.004161,0.004175,0.004159,0.004172,0.4
TURBOUSDTSWAP,3,20250604,174200,0.00417,0.004175,0.004164,0.004175,0.67
TURBOUSDTSWAP,3,20250604,174500,0.004173,0.004185,0.004169,0.004185,2.26
TURBOUSDTSWAP,3,20250604,174800,0.004186,0.004195,0.004182,0.004183,0.94
TURBOUSDTSWAP,3,20250604,175100,0.004183,0.004187,0.004181,0.004186,0.74
TURBOUSDTSWAP,3,20250604,175400,0.004187,0.004203,0.004187,0.004203,1.89
TURBOUSDTSWAP,3,20250604,175700,0.004202,0.004213,0.0042,0.004212,3.31
TURBOUSDTSWAP,3,20250604,180000,0.004212,0.004214,0.004201,0.004201,1.82
TURBOUSDTSWAP,3,20250604,180300,0.004203,0.004204,0.004196,0.004201,2.09
TURBOUSDTSWAP,3,20250604,180600,0.004202,0.004226,0.004202,0.004211,6.11
TURBOUSDTSWAP,3,20250604,180900,0.004212,0.004234,0.004212,0.004227,2.46
TURBOUSDTSWAP,3,20250604,181200,0.004226,0.004237,0.004225,0.00423,2.15
TURBOUSDTSWAP,3,20250604,181500,0.004231,0.00425,0.004231,0.00424,3.6
TURBOUSDTSWAP,3,20250604,181800,0.004241,0.004253,0.004237,0.004238,4.14
TURBOUSDTSWAP,3,20250604,182100,0.004239,0.004249,0.004234,0.004244,1.27
TURBOUSDTSWAP,3,20250604,182400,0.004245,0.004245,0.004237,0.004239,4.86
TURBOUSDTSWAP,3,20250604,182700,0.00424,0.004247,0.004239,0.004243,1.25
TURBOUSDTSWAP,3,20250604,183000,0.004243,0.004244,0.004227,0.00424,2.32
TURBOUSDTSWAP,3,20250604,183300,0.00424,0.004249,0.004234,0.00424,5.55
TURBOUSDTSWAP,3,20250604,183600,0.004238,0.004259,0.004238,0.004257,2.4
TURBOUSDTSWAP,3,20250604,183900,0.004256,0.004268,0.004255,0.004266,3.05
TURBOUSDTSWAP,3,20250604,184200,0.004266,0.004271,0.004257,0.004261,1.5
TURBOUSDTSWAP,3,20250604,184500,0.004259,0.004262,0.004247,0.004247,4.49
TURBOUSDTSWAP,3,20250604,184800,0.004248,0.00425,0.004239,0.00424,1.4
TURBOUSDTSWAP,3,20250604,185100,0.004241,0.004258,0.004237,0.004253,0.4
TURBOUSDTSWAP,3,20250604,185400,0.004252,0.004271,0.004252,0.004268,2.78
TURBOUSDTSWAP,3,20250604,185700,0.004269,0.004269,0.004256,0.004263,1.58
TURBOUSDTSWAP,3,20250604,190000,0.004264,0.004266,0.004255,0.004258,1.93
TURBOUSDTSWAP,3,20250604,190300,0.004259,0.00426,0.004246,0.004246,1.38
TURBOUSDTSWAP,3,20250604,190600,0.004246,0.004246,0.004222,0.004223,2.28
TURBOUSDTSWAP,3,20250604,190900,0.004224,0.004237,0.004223,0.004237,2.09
TURBOUSDTSWAP,3,20250604,191200,0.004236,0.004238,0.004231,0.004233,1.72
TURBOUSDTSWAP,3,20250604,191500,0.004232,0.004234,0.004217,0.004217,2.27
TURBOUSDTSWAP,3,20250604,191800,0.004218,0.004231,0.00421,0.004231,4.0
TURBOUSDTSWAP,3,20250604,192100,0.004231,0.004233,0.004218,0.004218,1.65
TURBOUSDTSWAP,3,20250604,192400,0.004218,0.004218,0.004206,0.004209,1.75
TURBOUSDTSWAP,3,20250604,192700,0.004208,0.004216,0.004206,0.004211,1.57
TURBOUSDTSWAP,3,20250604,193000,0.00421,0.004218,0.004208,0.004217,0.8
TURBOUSDTSWAP,3,20250604,193300,0.004218,0.004224,0.004211,0.004223,1.41
TURBOUSDTSWAP,3,20250604,193600,0.004224,0.004224,0.004216,0.00422,0.42
TURBOUSDTSWAP,3,20250604,193900,0.004221,0.004229,0.004216,0.004217,1.71
TURBOUSDTSWAP,3,20250604,194200,0.004217,0.004219,0.004207,0.004213,1.16
TURBOUSDTSWAP,3,20250604,194500,0.004213,0.004219,0.00421,0.004218,0.89
TURBOUSDTSWAP,3,20250604,194800,0.004219,0.004229,0.004213,0.004229,0.27
TURBOUSDTSWAP,3,20250604,195100,0.004228,0.004228,0.004223,0.004225,0.34
TURBOUSDTSWAP,3,20250604,195400,0.004226,0.004235,0.004223,0.004226,0.94
TURBOUSDTSWAP,3,20250604,195700,0.004226,0.004226,0.004217,0.004223,0.39
TURBOUSDTSWAP,3,20250604,200000,0.004224,0.004225,0.0042,0.0042,1.19
TURBOUSDTSWAP,3,20250604,200300,0.004201,0.004208,0.004199,0.004205,1.91
