<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TUSDTSWAP,1440,20250225,030000,0.01936,0.01966,0.01806,0.0194,11849.37
TUSDTSWAP,1440,20250226,030000,0.0194,0.01953,0.01841,0.01893,6438.55
TUSDTSWAP,1440,20250227,030000,0.01893,0.0203,0.0188,0.01985,6549.53
TUSDTSWAP,1440,20250228,030000,0.01984,0.01991,0.01819,0.01954,6684.51
TUSDTSWAP,1440,20250301,030000,0.01954,0.01972,0.01896,0.0194,3084.8
TUSDTSWAP,1440,20250302,030000,0.0194,0.02108,0.01931,0.02095,7613.98
TUSDTSWAP,1440,20250303,030000,0.02094,0.021,0.01786,0.01796,8896.63
TUSDTSWAP,1440,20250304,030000,0.01796,0.01804,0.01644,0.01757,7200.94
TUSDTSWAP,1440,20250305,030000,0.01756,0.01799,0.01727,0.01786,5322.61
TUSDTSWAP,1440,20250306,030000,0.01786,0.01818,0.01735,0.01776,5852.92
TUSDTSWAP,1440,20250307,030000,0.01776,0.01839,0.01693,0.01759,7306.18
TUSDTSWAP,1440,20250308,030000,0.01759,0.01769,0.01719,0.01743,3292.04
TUSDTSWAP,1440,20250309,030000,0.01743,0.01746,0.01556,0.0157,4088.29
TUSDTSWAP,1440,20250310,030000,0.01572,0.01743,0.0153,0.01539,7610.95
TUSDTSWAP,1440,20250311,030000,0.0154,0.01655,0.01457,0.01626,7132.31
TUSDTSWAP,1440,20250312,030000,0.01626,0.01679,0.01578,0.0166,6493.8
TUSDTSWAP,1440,20250313,030000,0.01662,0.01665,0.01563,0.01605,5308.01
TUSDTSWAP,1440,20250314,030000,0.01603,0.01709,0.01601,0.01684,3800.15
TUSDTSWAP,1440,20250315,030000,0.01685,0.01686,0.01591,0.01668,7366.65
TUSDTSWAP,1440,20250316,030000,0.01667,0.01667,0.0158,0.01595,4518.65
TUSDTSWAP,1440,20250317,030000,0.01596,0.01675,0.01595,0.01655,4755.55
TUSDTSWAP,1440,20250318,030000,0.01655,0.01979,0.01627,0.01858,60243.01
TUSDTSWAP,1440,20250319,030000,0.01858,0.01861,0.01704,0.01741,38497.96
TUSDTSWAP,1440,20250320,030000,0.01739,0.01745,0.01654,0.01659,8527.92
TUSDTSWAP,1440,20250321,030000,0.01659,0.01676,0.01623,0.01644,4394.41
TUSDTSWAP,1440,20250322,030000,0.01645,0.01679,0.0163,0.01639,4043.62
TUSDTSWAP,1440,20250323,030000,0.01638,0.01653,0.01607,0.01629,2704.75
TUSDTSWAP,1440,20250324,030000,0.01629,0.01703,0.01615,0.0168,5063.4
TUSDTSWAP,1440,20250325,030000,0.01679,0.01746,0.01671,0.01698,12389.9
TUSDTSWAP,1440,20250326,030000,0.01699,0.01722,0.01656,0.01686,4581.23
TUSDTSWAP,1440,20250327,030000,0.01687,0.01717,0.01665,0.01675,3996.03
TUSDTSWAP,1440,20250328,030000,0.01675,0.01691,0.01591,0.01616,5680.81
TUSDTSWAP,1440,20250329,030000,0.01614,0.01622,0.01524,0.01537,3397.57
TUSDTSWAP,1440,20250330,030000,0.01537,0.01579,0.01522,0.01548,2757.5
TUSDTSWAP,1440,20250331,030000,0.01548,0.01555,0.0149,0.01526,3321.68
TUSDTSWAP,1440,20250401,030000,0.01526,0.01569,0.01515,0.01543,2933.28
TUSDTSWAP,1440,20250402,030000,0.01542,0.01556,0.01407,0.0143,3941.63
