<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TUSDTSWAP,3,20250604,172700,0.01588,0.01591,0.01582,0.0159,168.5
TUSDTSWAP,3,20250604,173000,0.0159,0.01591,0.01575,0.01578,116.12
TUSDTSWAP,3,20250604,173300,0.01578,0.01591,0.01578,0.01591,173.19
TUSDTSWAP,3,20250604,173600,0.0159,0.0159,0.01582,0.01589,125.55
TUSDTSWAP,3,20250604,173900,0.0159,0.01591,0.01584,0.01585,60.66
TUSDTSWAP,3,20250604,174200,0.01586,0.01588,0.01585,0.01588,12.77
TUSDTSWAP,3,20250604,174500,0.01588,0.01597,0.01587,0.01597,81.67
TUSDTSWAP,3,20250604,174800,0.01597,0.01602,0.01595,0.01596,75.47
TUSDTSWAP,3,20250604,175100,0.01597,0.01598,0.01588,0.01593,60.33
TUSDTSWAP,3,20250604,175400,0.01593,0.01603,0.01593,0.01596,179.15
TUSDTSWAP,3,20250604,175700,0.01596,0.01603,0.01595,0.016,41.72
TUSDTSWAP,3,20250604,180000,0.01601,0.01603,0.01596,0.01601,164.69
TUSDTSWAP,3,20250604,180300,0.01599,0.016,0.01593,0.01594,43.8
TUSDTSWAP,3,20250604,180600,0.01595,0.01597,0.01588,0.01591,231.9
TUSDTSWAP,3,20250604,180900,0.01592,0.01595,0.01591,0.01593,37.28
TUSDTSWAP,3,20250604,181200,0.01593,0.01596,0.01591,0.01591,70.57
TUSDTSWAP,3,20250604,181500,0.01592,0.01605,0.01592,0.01601,202.9
TUSDTSWAP,3,20250604,181800,0.01601,0.01603,0.01597,0.01598,90.62
TUSDTSWAP,3,20250604,182100,0.016,0.01612,0.016,0.01602,143.44
TUSDTSWAP,3,20250604,182400,0.01603,0.01605,0.01601,0.01602,56.35
TUSDTSWAP,3,20250604,182700,0.01602,0.01605,0.01596,0.01599,54.74
TUSDTSWAP,3,20250604,183000,0.016,0.01603,0.01599,0.01601,43.63
TUSDTSWAP,3,20250604,183300,0.016,0.01602,0.01594,0.01594,99.25
