<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USTCUSDTSWAP,1440,20250225,030000,0.01432,0.01504,0.01332,0.0148,76103.1
USTCUSDTSWAP,1440,20250226,030000,0.0148,0.01528,0.01426,0.01494,53359.58
USTCUSDTSWAP,1440,20250227,030000,0.01493,0.01539,0.0144,0.01476,25443.36
USTCUSDTSWAP,1440,20250228,030000,0.01477,0.01533,0.01357,0.01514,51348.16
USTCUSDTSWAP,1440,20250301,030000,0.01514,0.0154,0.01467,0.01496,24594.82
USTCUSDTSWAP,1440,20250302,030000,0.01496,0.01634,0.01472,0.01604,56533.53
USTCUSDTSWAP,1440,20250303,030000,0.01605,0.01611,0.01295,0.01318,123346.29
USTCUSDTSWAP,1440,20250304,030000,0.01317,0.01334,0.01216,0.01309,56517.32
USTCUSDTSWAP,1440,20250305,030000,0.01308,0.01331,0.01268,0.01299,28618.92
USTCUSDTSWAP,1440,20250306,030000,0.01298,0.01327,0.01227,0.01245,34297.6
USTCUSDTSWAP,1440,20250307,030000,0.01245,0.01298,0.01178,0.0124,32224.47
USTCUSDTSWAP,1440,20250308,030000,0.0124,0.0125,0.01206,0.01218,21474.02
USTCUSDTSWAP,1440,20250309,030000,0.01219,0.01228,0.01077,0.0111,32688.58
USTCUSDTSWAP,1440,20250310,030000,0.01111,0.01219,0.01063,0.01122,36824.16
USTCUSDTSWAP,1440,20250311,030000,0.01122,0.01208,0.01031,0.01179,31083.99
USTCUSDTSWAP,1440,20250312,030000,0.01179,0.01232,0.01137,0.01208,24571.08
USTCUSDTSWAP,1440,20250313,030000,0.01208,0.01243,0.01177,0.0121,23420.41
USTCUSDTSWAP,1440,20250314,030000,0.01209,0.01285,0.01204,0.01256,19652.69
USTCUSDTSWAP,1440,20250315,030000,0.01256,0.01469,0.01232,0.0139,174384.43
USTCUSDTSWAP,1440,20250316,030000,0.01389,0.01393,0.01258,0.01283,120109.26
USTCUSDTSWAP,1440,20250317,030000,0.01282,0.01377,0.0128,0.01348,63698.27
USTCUSDTSWAP,1440,20250318,030000,0.01348,0.01363,0.01245,0.01285,61338.91
USTCUSDTSWAP,1440,20250319,030000,0.01285,0.0133,0.01278,0.01318,37088.88
USTCUSDTSWAP,1440,20250320,030000,0.01318,0.01342,0.01279,0.01319,25536.5
USTCUSDTSWAP,1440,20250321,030000,0.0132,0.01328,0.01273,0.01277,28552.8
USTCUSDTSWAP,1440,20250322,030000,0.01278,0.0135,0.01278,0.01298,23531.93
USTCUSDTSWAP,1440,20250323,030000,0.01298,0.01331,0.01274,0.01298,13122.46
USTCUSDTSWAP,1440,20250324,030000,0.01298,0.01338,0.01275,0.01327,13950.01
USTCUSDTSWAP,1440,20250325,030000,0.01327,0.01363,0.01303,0.0136,16335.95
USTCUSDTSWAP,1440,20250326,030000,0.01361,0.01374,0.01302,0.01327,27949.82
USTCUSDTSWAP,1440,20250327,030000,0.01327,0.01346,0.01258,0.01284,24664.74
USTCUSDTSWAP,1440,20250328,030000,0.01283,0.01291,0.01181,0.01206,20768.09
USTCUSDTSWAP,1440,20250329,030000,0.01205,0.01213,0.01111,0.01134,18911.87
USTCUSDTSWAP,1440,20250330,030000,0.01134,0.0128,0.01121,0.01214,74601.52
USTCUSDTSWAP,1440,20250331,030000,0.01214,0.01218,0.01109,0.01148,65347.52
USTCUSDTSWAP,1440,20250401,030000,0.0115,0.01191,0.01136,0.01156,18086.54
USTCUSDTSWAP,1440,20250402,030000,0.01156,0.01339,0.01081,0.01203,166948.13
USTCUSDTSWAP,1440,20250403,030000,0.01202,0.01231,0.01097,0.01195,44117.22
USTCUSDTSWAP,1440,20250404,030000,0.01194,0.01221,0.01159,0.01185,21698.31
