<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USTCUSDTSWAP,3,20250604,172700,0.01187,0.01187,0.01187,0.01187,1.15
USTCUSDTSWAP,3,20250604,173000,0.01187,0.01188,0.01187,0.01188,10.74
USTCUSDTSWAP,3,20250604,173300,0.01189,0.0119,0.01189,0.01189,36.32
USTCUSDTSWAP,3,20250604,173600,0.01188,0.01188,0.01188,0.01188,1.39
USTCUSDTSWAP,3,20250604,173900,0.01189,0.01189,0.01189,0.01189,6.24
USTCUSDTSWAP,3,20250604,174200,0.01189,0.01189,0.01189,0.01189,4.21
USTCUSDTSWAP,3,20250604,174500,0.0119,0.01191,0.0119,0.01191,27.04
USTCUSDTSWAP,3,20250604,174800,0.01192,0.01192,0.01192,0.01192,0.88
USTCUSDTSWAP,3,20250604,175100,0.01192,0.01193,0.01192,0.01192,16.62
USTCUSDTSWAP,3,20250604,175400,0.01193,0.01196,0.01193,0.01194,58.42
USTCUSDTSWAP,3,20250604,175700,0.01194,0.01196,0.01194,0.01195,26.77
USTCUSDTSWAP,3,20250604,180000,0.01195,0.01196,0.01195,0.01195,21.98
USTCUSDTSWAP,3,20250604,180300,0.01194,0.01194,0.01193,0.01193,44.35
USTCUSDTSWAP,3,20250604,180600,0.01193,0.01195,0.01193,0.01194,123.44
USTCUSDTSWAP,3,20250604,180900,0.01193,0.01194,0.01193,0.01194,3.46
USTCUSDTSWAP,3,20250604,181200,0.01193,0.01196,0.01193,0.01196,20.29
USTCUSDTSWAP,3,20250604,181500,0.01195,0.012,0.01195,0.01199,91.86
USTCUSDTSWAP,3,20250604,181800,0.01199,0.012,0.01198,0.01199,11.02
USTCUSDTSWAP,3,20250604,182100,0.01198,0.01199,0.01198,0.01199,23.3
USTCUSDTSWAP,3,20250604,182400,0.01198,0.01198,0.01197,0.01197,96.63
USTCUSDTSWAP,3,20250604,182700,0.01197,0.01198,0.01197,0.01197,17.27
USTCUSDTSWAP,3,20250604,183000,0.01197,0.01198,0.01196,0.01198,22.01
USTCUSDTSWAP,3,20250604,183300,0.01199,0.01199,0.01199,0.01199,9.32
USTCUSDTSWAP,3,20250604,183600,0.01199,0.01201,0.01199,0.01201,34.2
USTCUSDTSWAP,3,20250604,183900,0.01202,0.01202,0.01201,0.01201,37.75
USTCUSDTSWAP,3,20250604,184200,0.01202,0.01203,0.01201,0.01201,53.04
USTCUSDTSWAP,3,20250604,184500,0.01203,0.01203,0.01202,0.01202,21.76
USTCUSDTSWAP,3,20250604,184800,0.01202,0.01202,0.012,0.01202,34.88
USTCUSDTSWAP,3,20250604,185100,0.01202,0.01202,0.01201,0.01202,20.51
USTCUSDTSWAP,3,20250604,185400,0.01201,0.01203,0.01201,0.01203,17.95
USTCUSDTSWAP,3,20250604,185700,0.01202,0.01203,0.01201,0.01202,19.52
USTCUSDTSWAP,3,20250604,190000,0.01203,0.01203,0.012,0.01201,22.24
USTCUSDTSWAP,3,20250604,190300,0.012,0.012,0.01198,0.01199,15.44
USTCUSDTSWAP,3,20250604,190600,0.01198,0.01199,0.01198,0.01198,21.2
USTCUSDTSWAP,3,20250604,190900,0.01199,0.01201,0.01199,0.01201,6.69
USTCUSDTSWAP,3,20250604,191200,0.01201,0.01201,0.01201,0.01201,4.86
USTCUSDTSWAP,3,20250604,191500,0.012,0.012,0.01198,0.01198,12.64
USTCUSDTSWAP,3,20250604,191800,0.01198,0.01198,0.01198,0.01198,3.37
USTCUSDTSWAP,3,20250604,192100,0.012,0.012,0.01198,0.01198,15.77
USTCUSDTSWAP,3,20250604,192400,0.01197,0.01199,0.01196,0.01198,3.7
USTCUSDTSWAP,3,20250604,192700,0.01197,0.01198,0.01197,0.01197,26.79
USTCUSDTSWAP,3,20250604,193000,0.01197,0.01197,0.01197,0.01197,0.0
USTCUSDTSWAP,3,20250604,193300,0.01199,0.01199,0.01199,0.01199,6.22
USTCUSDTSWAP,3,20250604,193600,0.012,0.012,0.01199,0.01199,11.29
USTCUSDTSWAP,3,20250604,193900,0.012,0.01202,0.012,0.01201,56.77
USTCUSDTSWAP,3,20250604,194200,0.012,0.012,0.01199,0.01199,18.92
USTCUSDTSWAP,3,20250604,194500,0.01199,0.01199,0.01199,0.01199,0.06
USTCUSDTSWAP,3,20250604,194800,0.012,0.012,0.01198,0.012,16.34
USTCUSDTSWAP,3,20250604,195100,0.012,0.012,0.012,0.012,13.3
USTCUSDTSWAP,3,20250604,195400,0.012,0.01201,0.012,0.012,11.0
USTCUSDTSWAP,3,20250604,195700,0.012,0.012,0.012,0.012,1.63
USTCUSDTSWAP,3,20250604,200000,0.012,0.012,0.01198,0.01198,6.77
USTCUSDTSWAP,3,20250604,200300,0.01198,0.01198,0.01196,0.01196,3.53
USTCUSDTSWAP,3,20250604,200600,0.01197,0.01197,0.01196,0.01196,7.98
USTCUSDTSWAP,3,20250604,200900,0.01196,0.01196,0.01196,0.01196,2.02
USTCUSDTSWAP,3,20250604,201200,0.01197,0.01197,0.01197,0.01197,0.12
USTCUSDTSWAP,3,20250604,201500,0.01196,0.01196,0.01194,0.01194,8.01
USTCUSDTSWAP,3,20250604,201800,0.01195,0.01195,0.01195,0.01195,8.99
