<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VINEUSDTSWAP,1440,20250225,030000,0.03186,0.03828,0.03085,0.0358,7311060.56
VINEUSDTSWAP,1440,20250226,030000,0.03581,0.04193,0.03487,0.03965,7243890.52
VINEUSDTSWAP,1440,20250227,030000,0.03965,0.04872,0.03959,0.04206,9818816.92
VINEUSDTSWAP,1440,20250228,030000,0.04205,0.05382,0.03872,0.05027,10426038.77
VINEUSDTSWAP,1440,20250301,030000,0.05026,0.05147,0.04011,0.04244,7036449.25
VINEUSDTSWAP,1440,20250302,030000,0.04246,0.04468,0.04008,0.04285,6865311.88
VINEUSDTSWAP,1440,20250303,030000,0.04285,0.04301,0.03641,0.03829,8403383.35
VINEUSDTSWAP,1440,20250304,030000,0.0383,0.04015,0.03371,0.0377,8187171.54
VINEUSDTSWAP,1440,20250305,030000,0.03769,0.03874,0.03391,0.03625,6795738.19
VINEUSDTSWAP,1440,20250306,030000,0.03625,0.0367,0.03199,0.0322,7841472.65
VINEUSDTSWAP,1440,20250307,030000,0.03221,0.0332,0.02962,0.0303,7640902.52
VINEUSDTSWAP,1440,20250308,030000,0.03029,0.03748,0.03022,0.03611,12896615.8
VINEUSDTSWAP,1440,20250309,030000,0.0361,0.045,0.02983,0.03034,23893484.47
VINEUSDTSWAP,1440,20250310,030000,0.03033,0.03508,0.02967,0.03396,12017589.45
VINEUSDTSWAP,1440,20250311,030000,0.03396,0.0386,0.03167,0.03708,11239479.06
VINEUSDTSWAP,1440,20250312,030000,0.03708,0.03859,0.03408,0.03444,6961103.15
VINEUSDTSWAP,1440,20250313,030000,0.03443,0.03454,0.0304,0.03096,7844655.63
VINEUSDTSWAP,1440,20250314,030000,0.03095,0.03318,0.03052,0.03206,5233133.46
VINEUSDTSWAP,1440,20250315,030000,0.03206,0.03307,0.03106,0.03183,4231304.1
VINEUSDTSWAP,1440,20250316,030000,0.03184,0.03258,0.02652,0.02722,8071303.66
VINEUSDTSWAP,1440,20250317,030000,0.02722,0.02935,0.0269,0.02855,5913769.76
VINEUSDTSWAP,1440,20250318,030000,0.02855,0.02886,0.02321,0.02504,8015005.61
VINEUSDTSWAP,1440,20250319,030000,0.02505,0.02719,0.02466,0.02696,4055596.83
VINEUSDTSWAP,1440,20250320,030000,0.02695,0.02836,0.02634,0.02754,4137236.1
VINEUSDTSWAP,1440,20250321,030000,0.02754,0.02792,0.0251,0.02646,3011863.22
VINEUSDTSWAP,1440,20250322,030000,0.02646,0.02748,0.02586,0.02698,2920694.01
VINEUSDTSWAP,1440,20250323,030000,0.02698,0.02952,0.02586,0.0264,3754453.14
VINEUSDTSWAP,1440,20250324,030000,0.02641,0.03147,0.02541,0.03021,6544691.31
VINEUSDTSWAP,1440,20250325,030000,0.03021,0.03178,0.02685,0.02873,6091321.78
VINEUSDTSWAP,1440,20250326,030000,0.02872,0.02921,0.0254,0.02661,4166313.79
VINEUSDTSWAP,1440,20250327,030000,0.02661,0.02712,0.02545,0.02609,2787589.62
VINEUSDTSWAP,1440,20250328,030000,0.02608,0.0266,0.02351,0.0264,3724365.88
VINEUSDTSWAP,1440,20250329,030000,0.02637,0.04464,0.02621,0.03182,46616990.56
VINEUSDTSWAP,1440,20250330,030000,0.03181,0.0369,0.03058,0.03447,18454217.84
VINEUSDTSWAP,1440,20250331,030000,0.03446,0.0535,0.03265,0.04711,43728394.03
VINEUSDTSWAP,1440,20250401,030000,0.0471,0.05594,0.03956,0.04487,43594056.11
VINEUSDTSWAP,1440,20250402,030000,0.04487,0.04689,0.0396,0.04123,26860174.34
VINEUSDTSWAP,1440,20250403,030000,0.04124,0.04172,0.03652,0.03792,14163330.37
VINEUSDTSWAP,1440,20250404,030000,0.03792,0.03857,0.03243,0.03297,9762127.72
VINEUSDTSWAP,1440,20250405,030000,0.03296,0.03305,0.02912,0.03101,10586531.3
VINEUSDTSWAP,1440,20250406,030000,0.031,0.03134,0.02885,0.02998,7941936.9
VINEUSDTSWAP,1440,20250407,030000,0.02998,0.03183,0.0269,0.03012,8282463.28
VINEUSDTSWAP,1440,20250408,030000,0.03012,0.03027,0.02656,0.02693,6663270.68
VINEUSDTSWAP,1440,20250409,030000,0.02693,0.03973,0.02598,0.039,10522144.89
VINEUSDTSWAP,1440,20250410,030000,0.03899,0.04285,0.03796,0.03992,26295630.26
VINEUSDTSWAP,1440,20250411,030000,0.03993,0.04296,0.03846,0.04234,11066462.26
VINEUSDTSWAP,1440,20250412,030000,0.04234,0.04816,0.03454,0.04004,18017754.06
VINEUSDTSWAP,1440,20250413,030000,0.04005,0.04148,0.03766,0.03941,9188136.35
VINEUSDTSWAP,1440,20250414,030000,0.03941,0.0419,0.03795,0.03916,6429735.9
VINEUSDTSWAP,1440,20250415,030000,0.03916,0.03934,0.03279,0.03291,6698514.58
VINEUSDTSWAP,1440,20250416,030000,0.0329,0.03302,0.0294,0.02971,5099625.84
VINEUSDTSWAP,1440,20250417,030000,0.02972,0.03092,0.02938,0.02957,2956782.62
VINEUSDTSWAP,1440,20250418,030000,0.02957,0.03011,0.0287,0.02954,2285465.89
VINEUSDTSWAP,1440,20250419,030000,0.02953,0.03456,0.02894,0.0324,8437472.33
VINEUSDTSWAP,1440,20250420,030000,0.03239,0.03337,0.03028,0.03167,3915662.28
VINEUSDTSWAP,1440,20250421,030000,0.03167,0.03363,0.0295,0.02994,4384919.76
VINEUSDTSWAP,1440,20250422,030000,0.02993,0.03557,0.02943,0.03532,3314576.48
VINEUSDTSWAP,1440,20250423,030000,0.03532,0.03815,0.03228,0.03591,6424640.79
VINEUSDTSWAP,1440,20250424,030000,0.03591,0.03684,0.03307,0.03639,4233200.15
VINEUSDTSWAP,1440,20250425,030000,0.03638,0.03853,0.03442,0.03697,4530585.12
VINEUSDTSWAP,1440,20250426,030000,0.03696,0.0391,0.03583,0.03758,3182927.05
VINEUSDTSWAP,1440,20250427,030000,0.03758,0.03758,0.03269,0.034,2810064.27
VINEUSDTSWAP,1440,20250428,030000,0.03401,0.0424,0.03222,0.03787,7201524.14
VINEUSDTSWAP,1440,20250429,030000,0.03788,0.0414,0.03656,0.03875,4668227.98
VINEUSDTSWAP,1440,20250430,030000,0.03874,0.04797,0.03822,0.04638,7418677.19
VINEUSDTSWAP,1440,20250501,030000,0.04636,0.04764,0.04264,0.04326,3728563.59
VINEUSDTSWAP,1440,20250502,030000,0.04325,0.06415,0.04308,0.04949,19329780.71
VINEUSDTSWAP,1440,20250503,030000,0.04949,0.05159,0.03869,0.03946,14549058.32
VINEUSDTSWAP,1440,20250504,030000,0.03946,0.03989,0.03532,0.03854,8484409.67
VINEUSDTSWAP,1440,20250505,030000,0.03853,0.03896,0.03667,0.03759,3375846.33
VINEUSDTSWAP,1440,20250506,030000,0.03759,0.03878,0.03317,0.03527,4409351.13
VINEUSDTSWAP,1440,20250507,030000,0.03528,0.03736,0.03424,0.03661,2543945.26
VINEUSDTSWAP,1440,20250508,030000,0.0366,0.04839,0.03612,0.04423,5182115.75
VINEUSDTSWAP,1440,20250509,030000,0.04423,0.05583,0.04358,0.05274,7088862.98
VINEUSDTSWAP,1440,20250510,030000,0.05272,0.06172,0.0504,0.05848,12727142.69
VINEUSDTSWAP,1440,20250511,030000,0.05848,0.06312,0.051,0.0597,10466914.38
VINEUSDTSWAP,1440,20250512,030000,0.05969,0.09085,0.05308,0.05891,18942847.96
VINEUSDTSWAP,1440,20250513,030000,0.0589,0.07136,0.05307,0.06818,13954433.21
VINEUSDTSWAP,1440,20250514,030000,0.06815,0.07179,0.05551,0.05605,10409776.0
VINEUSDTSWAP,1440,20250515,030000,0.05606,0.05713,0.04668,0.04846,6552741.28
VINEUSDTSWAP,1440,20250516,030000,0.04847,0.05247,0.04319,0.0445,4716079.14
VINEUSDTSWAP,1440,20250517,030000,0.0445,0.04493,0.04143,0.04276,3278383.4
VINEUSDTSWAP,1440,20250518,030000,0.04277,0.0545,0.04249,0.0512,5594784.03
VINEUSDTSWAP,1440,20250519,030000,0.05121,0.05129,0.04463,0.049,4362878.66
VINEUSDTSWAP,1440,20250520,030000,0.04901,0.05128,0.04537,0.04868,3716064.79
VINEUSDTSWAP,1440,20250521,030000,0.0487,0.05343,0.04635,0.0514,4003307.87
VINEUSDTSWAP,1440,20250522,030000,0.05141,0.05449,0.04934,0.05391,3790636.05
VINEUSDTSWAP,1440,20250523,030000,0.05391,0.05781,0.04331,0.04374,6354979.43
