<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VINEUSDTSWAP,60,20250531,190000,0.03612,0.03669,0.03581,0.03634,80132.04
VINEUSDTSWAP,60,20250531,200000,0.03635,0.03644,0.03591,0.03595,50628.57
VINEUSDTSWAP,60,20250531,210000,0.03596,0.03672,0.03582,0.03656,39840.44
VINEUSDTSWAP,60,20250531,220000,0.03657,0.0369,0.03649,0.03658,39629.52
VINEUSDTSWAP,60,20250531,230000,0.03657,0.03663,0.03629,0.03659,24996.22
VINEUSDTSWAP,60,20250601,000000,0.0366,0.03715,0.03655,0.03666,51183.09
VINEUSDTSWAP,60,20250601,010000,0.03666,0.0367,0.03626,0.03642,32773.09
VINEUSDTSWAP,60,20250601,020000,0.03641,0.03671,0.03617,0.03638,44584.63
VINEUSDTSWAP,60,20250601,030000,0.03637,0.0365,0.03587,0.03638,56614.41
VINEUSDTSWAP,60,20250601,040000,0.03638,0.03673,0.03602,0.0362,56290.26
VINEUSDTSWAP,60,20250601,050000,0.03619,0.03644,0.03563,0.0364,105225.61
VINEUSDTSWAP,60,20250601,060000,0.03643,0.03656,0.03608,0.03632,55721.98
VINEUSDTSWAP,60,20250601,070000,0.03631,0.03726,0.03603,0.03681,73823.42
VINEUSDTSWAP,60,20250601,080000,0.03683,0.03806,0.03681,0.03789,145617.24
VINEUSDTSWAP,60,20250601,090000,0.03788,0.03806,0.03701,0.03704,112920.89
VINEUSDTSWAP,60,20250601,100000,0.03703,0.03733,0.03647,0.03716,93385.36
VINEUSDTSWAP,60,20250601,110000,0.03716,0.03732,0.03672,0.03686,61207.35
VINEUSDTSWAP,60,20250601,120000,0.03686,0.03711,0.03582,0.0361,122752.35
VINEUSDTSWAP,60,20250601,130000,0.03611,0.03657,0.036,0.03638,65598.62
VINEUSDTSWAP,60,20250601,140000,0.03638,0.03683,0.03607,0.03656,60202.28
VINEUSDTSWAP,60,20250601,150000,0.03655,0.03657,0.03594,0.03624,58893.16
VINEUSDTSWAP,60,20250601,160000,0.03626,0.03686,0.03626,0.03665,68441.77
VINEUSDTSWAP,60,20250601,170000,0.03665,0.0376,0.03662,0.03699,79844.88
VINEUSDTSWAP,60,20250601,180000,0.03698,0.03739,0.03666,0.03702,60632.89
VINEUSDTSWAP,60,20250601,190000,0.03701,0.03778,0.03687,0.03724,82261.87
VINEUSDTSWAP,60,20250601,200000,0.03723,0.03752,0.03696,0.0373,60830.02
VINEUSDTSWAP,60,20250601,210000,0.0373,0.03733,0.03643,0.03701,55728.7
VINEUSDTSWAP,60,20250601,220000,0.03701,0.03747,0.03701,0.0374,29385.87
VINEUSDTSWAP,60,20250601,230000,0.0374,0.03818,0.03722,0.03782,48793.65
VINEUSDTSWAP,60,20250602,000000,0.03781,0.03845,0.03775,0.03844,36423.39
