<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VINEUSDTSWAP,3,20250604,172700,0.03798,0.038,0.0379,0.03795,1251.63
VINEUSDTSWAP,3,20250604,173000,0.03795,0.03798,0.0379,0.03793,549.48
VINEUSDTSWAP,3,20250604,173300,0.03795,0.03808,0.03795,0.03801,2390.81
VINEUSDTSWAP,3,20250604,173600,0.038,0.03806,0.03793,0.03795,2284.86
VINEUSDTSWAP,3,20250604,173900,0.03795,0.03808,0.03795,0.03802,5456.91
VINEUSDTSWAP,3,20250604,174200,0.03802,0.03804,0.03792,0.03802,1052.62
VINEUSDTSWAP,3,20250604,174500,0.03804,0.03814,0.03799,0.03814,1550.93
VINEUSDTSWAP,3,20250604,174800,0.03815,0.03832,0.03812,0.03815,4131.72
VINEUSDTSWAP,3,20250604,175100,0.03816,0.03819,0.03811,0.03819,1318.43
VINEUSDTSWAP,3,20250604,175400,0.0382,0.03833,0.0382,0.03832,842.2
VINEUSDTSWAP,3,20250604,175700,0.03832,0.03849,0.03832,0.03845,4773.91
VINEUSDTSWAP,3,20250604,180000,0.03845,0.03851,0.03831,0.03831,2940.5
VINEUSDTSWAP,3,20250604,180300,0.03833,0.03841,0.03825,0.03828,2144.26
VINEUSDTSWAP,3,20250604,180600,0.0383,0.03863,0.0383,0.03847,7036.9
VINEUSDTSWAP,3,20250604,180900,0.03848,0.03861,0.03847,0.03858,2574.7
VINEUSDTSWAP,3,20250604,181200,0.03857,0.03866,0.03852,0.03857,2155.14
VINEUSDTSWAP,3,20250604,181500,0.03857,0.03882,0.03857,0.03875,5176.56
VINEUSDTSWAP,3,20250604,181800,0.03874,0.03888,0.03872,0.03876,4426.66
VINEUSDTSWAP,3,20250604,182100,0.03876,0.03888,0.0387,0.03886,3350.38
VINEUSDTSWAP,3,20250604,182400,0.03886,0.03889,0.03877,0.03885,3889.11
VINEUSDTSWAP,3,20250604,182700,0.03884,0.0389,0.03883,0.03883,1897.45
VINEUSDTSWAP,3,20250604,183000,0.03883,0.03894,0.03868,0.03887,5327.55
VINEUSDTSWAP,3,20250604,183300,0.03888,0.03899,0.03881,0.03887,7091.44
VINEUSDTSWAP,3,20250604,183600,0.03887,0.0391,0.03884,0.03904,5786.81
VINEUSDTSWAP,3,20250604,183900,0.03905,0.03918,0.03902,0.03908,3650.67
VINEUSDTSWAP,3,20250604,184200,0.0391,0.0393,0.03905,0.03915,5401.51
VINEUSDTSWAP,3,20250604,184500,0.03915,0.03916,0.03899,0.03899,3956.34
VINEUSDTSWAP,3,20250604,184800,0.039,0.03904,0.03889,0.03894,2600.79
VINEUSDTSWAP,3,20250604,185100,0.03893,0.03915,0.03892,0.0391,4684.06
VINEUSDTSWAP,3,20250604,185400,0.03908,0.03929,0.03905,0.03926,1608.34
VINEUSDTSWAP,3,20250604,185700,0.03927,0.03931,0.03912,0.0392,2548.43
VINEUSDTSWAP,3,20250604,190000,0.0392,0.03923,0.03903,0.0391,3786.33
VINEUSDTSWAP,3,20250604,190300,0.0391,0.03913,0.03885,0.0389,3602.01
VINEUSDTSWAP,3,20250604,190600,0.03888,0.03891,0.03876,0.03877,5483.21
VINEUSDTSWAP,3,20250604,190900,0.03878,0.03883,0.03878,0.03882,950.07
