<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WAXPUSDTSWAP,60,20250531,190000,0.02097,0.02122,0.02091,0.02117,175.31
WAXPUSDTSWAP,60,20250531,200000,0.02117,0.02119,0.02097,0.02097,75.53
WAXPUSDTSWAP,60,20250531,210000,0.02098,0.02123,0.02098,0.02121,194.82
WAXPUSDTSWAP,60,20250531,220000,0.0212,0.02126,0.02117,0.02122,39.83
WAXPUSDTSWAP,60,20250531,230000,0.02121,0.0213,0.02116,0.02129,71.5
WAXPUSDTSWAP,60,20250601,000000,0.02128,0.02135,0.02126,0.02131,84.55
WAXPUSDTSWAP,60,20250601,010000,0.02132,0.02132,0.02119,0.02124,95.39
WAXPUSDTSWAP,60,20250601,020000,0.02121,0.02128,0.02112,0.02117,134.15
WAXPUSDTSWAP,60,20250601,030000,0.02117,0.02131,0.02101,0.02126,277.69
WAXPUSDTSWAP,60,20250601,040000,0.02126,0.02135,0.02102,0.02108,120.88
WAXPUSDTSWAP,60,20250601,050000,0.02104,0.02109,0.02082,0.02105,205.39
WAXPUSDTSWAP,60,20250601,060000,0.02104,0.02109,0.02088,0.02099,87.27
WAXPUSDTSWAP,60,20250601,070000,0.02099,0.02119,0.02093,0.02112,126.04
WAXPUSDTSWAP,60,20250601,080000,0.02114,0.02122,0.0211,0.02119,129.44
WAXPUSDTSWAP,60,20250601,090000,0.02118,0.02118,0.02106,0.02109,65.51
WAXPUSDTSWAP,60,20250601,100000,0.02107,0.02112,0.02101,0.02107,79.14
WAXPUSDTSWAP,60,20250601,110000,0.02107,0.02108,0.02093,0.02097,119.38
WAXPUSDTSWAP,60,20250601,120000,0.02099,0.02103,0.02069,0.02076,99.14
WAXPUSDTSWAP,60,20250601,130000,0.02079,0.02089,0.02073,0.02089,82.49
WAXPUSDTSWAP,60,20250601,140000,0.02089,0.02105,0.0208,0.02098,85.77
WAXPUSDTSWAP,60,20250601,150000,0.02099,0.02103,0.02082,0.0209,130.47
WAXPUSDTSWAP,60,20250601,160000,0.0209,0.02117,0.0209,0.02109,92.21
WAXPUSDTSWAP,60,20250601,170000,0.0211,0.0213,0.02109,0.02118,111.22
WAXPUSDTSWAP,60,20250601,180000,0.02119,0.02121,0.02109,0.02119,64.18
WAXPUSDTSWAP,60,20250601,190000,0.02117,0.02136,0.02113,0.02128,97.83
WAXPUSDTSWAP,60,20250601,200000,0.02127,0.02134,0.02123,0.02124,83.83
WAXPUSDTSWAP,60,20250601,210000,0.02123,0.02127,0.02099,0.02116,132.84
WAXPUSDTSWAP,60,20250601,220000,0.02117,0.02126,0.02117,0.02125,102.72
WAXPUSDTSWAP,60,20250601,230000,0.02126,0.02137,0.02122,0.02131,50.96
WAXPUSDTSWAP,60,20250602,000000,0.02131,0.0215,0.0213,0.02146,126.73
WAXPUSDTSWAP,60,20250602,010000,0.02146,0.02155,0.02146,0.0215,62.71
WAXPUSDTSWAP,60,20250602,020000,0.02151,0.02162,0.02149,0.02153,110.09
WAXPUSDTSWAP,60,20250602,030000,0.02156,0.02162,0.0215,0.02159,97.43
WAXPUSDTSWAP,60,20250602,040000,0.0216,0.02168,0.02151,0.02152,85.13
WAXPUSDTSWAP,60,20250602,050000,0.02151,0.02157,0.02141,0.02142,142.25
WAXPUSDTSWAP,60,20250602,060000,0.02144,0.02145,0.02131,0.02137,97.83
WAXPUSDTSWAP,60,20250602,070000,0.02138,0.02145,0.02136,0.02137,67.69
WAXPUSDTSWAP,60,20250602,080000,0.02138,0.0215,0.02134,0.02142,76.37
WAXPUSDTSWAP,60,20250602,090000,0.02142,0.02168,0.02139,0.02159,157.31
WAXPUSDTSWAP,60,20250602,100000,0.0216,0.02179,0.0216,0.02173,146.12
WAXPUSDTSWAP,60,20250602,110000,0.02176,0.02184,0.02154,0.02157,238.77
WAXPUSDTSWAP,60,20250602,120000,0.02157,0.02158,0.02127,0.02133,216.2
WAXPUSDTSWAP,60,20250602,130000,0.02133,0.0214,0.02126,0.02139,145.07
WAXPUSDTSWAP,60,20250602,140000,0.02138,0.02155,0.02133,0.02152,150.24
WAXPUSDTSWAP,60,20250602,150000,0.02151,0.02181,0.02148,0.02178,334.78
WAXPUSDTSWAP,60,20250602,160000,0.02179,0.02183,0.02162,0.02166,139.24
WAXPUSDTSWAP,60,20250602,170000,0.02165,0.02187,0.02156,0.02179,89.52
WAXPUSDTSWAP,60,20250602,180000,0.02179,0.02189,0.02167,0.02181,1985.13
WAXPUSDTSWAP,60,20250602,190000,0.0218,0.02183,0.02159,0.02171,190.86
WAXPUSDTSWAP,60,20250602,200000,0.02171,0.02172,0.02159,0.02168,92.94
WAXPUSDTSWAP,60,20250602,210000,0.02167,0.0218,0.02159,0.0216,83.65
WAXPUSDTSWAP,60,20250602,220000,0.02161,0.02167,0.02134,0.02144,121.08
WAXPUSDTSWAP,60,20250602,230000,0.02144,0.02172,0.02144,0.02166,163.09
WAXPUSDTSWAP,60,20250603,000000,0.02167,0.0218,0.02167,0.02179,141.05
WAXPUSDTSWAP,60,20250603,010000,0.0218,0.02194,0.02179,0.02182,327.65
WAXPUSDTSWAP,60,20250603,020000,0.02182,0.02184,0.02172,0.02173,457.57
WAXPUSDTSWAP,60,20250603,030000,0.02173,0.02191,0.02172,0.02189,324.75
WAXPUSDTSWAP,60,20250603,040000,0.02189,0.02217,0.02188,0.02215,178.21
WAXPUSDTSWAP,60,20250603,050000,0.02215,0.02221,0.02188,0.02193,154.78
WAXPUSDTSWAP,60,20250603,060000,0.02192,0.02195,0.02179,0.02182,123.28
WAXPUSDTSWAP,60,20250603,070000,0.02182,0.02182,0.02157,0.02164,282.96
WAXPUSDTSWAP,60,20250603,080000,0.02165,0.02185,0.02165,0.02185,144.67
WAXPUSDTSWAP,60,20250603,090000,0.02184,0.02192,0.02178,0.02191,85.33
WAXPUSDTSWAP,60,20250603,100000,0.0219,0.0219,0.02175,0.02179,173.82
WAXPUSDTSWAP,60,20250603,110000,0.0218,0.02185,0.02164,0.02175,86.09
WAXPUSDTSWAP,60,20250603,120000,0.02175,0.02189,0.0217,0.02185,149.44
WAXPUSDTSWAP,60,20250603,130000,0.02185,0.02195,0.02182,0.02195,120.18
WAXPUSDTSWAP,60,20250603,140000,0.02195,0.02202,0.02188,0.02194,211.07
WAXPUSDTSWAP,60,20250603,150000,0.02192,0.022,0.02187,0.02199,69.22
WAXPUSDTSWAP,60,20250603,160000,0.022,0.0222,0.02197,0.02209,210.8
WAXPUSDTSWAP,60,20250603,170000,0.02209,0.02225,0.02192,0.02225,295.94
WAXPUSDTSWAP,60,20250603,180000,0.02225,0.02227,0.02207,0.02209,111.25
WAXPUSDTSWAP,60,20250603,190000,0.0221,0.0221,0.02199,0.02201,196.71
WAXPUSDTSWAP,60,20250603,200000,0.02202,0.02216,0.022,0.02213,158.59
WAXPUSDTSWAP,60,20250603,210000,0.02216,0.02216,0.02199,0.02204,135.15
WAXPUSDTSWAP,60,20250603,220000,0.02206,0.02217,0.02206,0.0221,164.17
WAXPUSDTSWAP,60,20250603,230000,0.0221,0.02211,0.02178,0.02188,149.35
WAXPUSDTSWAP,60,20250604,000000,0.02189,0.02193,0.02166,0.02174,147.74
WAXPUSDTSWAP,60,20250604,010000,0.02173,0.02192,0.02171,0.02186,107.56
WAXPUSDTSWAP,60,20250604,020000,0.02186,0.02188,0.02175,0.02181,133.48
WAXPUSDTSWAP,60,20250604,030000,0.02182,0.02191,0.02171,0.02191,160.18
WAXPUSDTSWAP,60,20250604,040000,0.02191,0.02215,0.02191,0.02203,97.0
WAXPUSDTSWAP,60,20250604,050000,0.02204,0.02214,0.02202,0.02204,99.18
