<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WAXPUSDTSWAP,3,20250604,172700,0.02231,0.02231,0.02228,0.02229,3.15
WAXPUSDTSWAP,3,20250604,173000,0.02229,0.0223,0.02227,0.02228,1.36
WAXPUSDTSWAP,3,20250604,173300,0.02228,0.02235,0.02226,0.02227,63.59
WAXPUSDTSWAP,3,20250604,173600,0.02227,0.02227,0.02224,0.02226,5.34
WAXPUSDTSWAP,3,20250604,173900,0.02227,0.02229,0.02225,0.02225,3.61
WAXPUSDTSWAP,3,20250604,174200,0.02227,0.02228,0.02225,0.02226,7.68
WAXPUSDTSWAP,3,20250604,174500,0.02226,0.02228,0.02225,0.02228,3.25
WAXPUSDTSWAP,3,20250604,174800,0.0223,0.02233,0.02228,0.02229,3.79
WAXPUSDTSWAP,3,20250604,175100,0.0223,0.0223,0.02229,0.0223,0.36
WAXPUSDTSWAP,3,20250604,175400,0.0223,0.02237,0.0223,0.02237,4.93
WAXPUSDTSWAP,3,20250604,175700,0.02237,0.02244,0.02237,0.02242,20.65
WAXPUSDTSWAP,3,20250604,180000,0.02242,0.02242,0.02235,0.02235,53.16
WAXPUSDTSWAP,3,20250604,180300,0.02237,0.02238,0.02234,0.02234,9.57
WAXPUSDTSWAP,3,20250604,180600,0.02235,0.02242,0.02235,0.02237,22.98
WAXPUSDTSWAP,3,20250604,180900,0.02237,0.02243,0.02237,0.02243,13.69
WAXPUSDTSWAP,3,20250604,181200,0.02242,0.02243,0.02241,0.02241,9.35
WAXPUSDTSWAP,3,20250604,181500,0.02242,0.02252,0.02242,0.0225,38.45
WAXPUSDTSWAP,3,20250604,181800,0.0225,0.02256,0.0225,0.02252,25.33
WAXPUSDTSWAP,3,20250604,182100,0.0225,0.02255,0.0225,0.02254,5.24
WAXPUSDTSWAP,3,20250604,182400,0.02253,0.02254,0.0225,0.02252,8.65
WAXPUSDTSWAP,3,20250604,182700,0.02252,0.02253,0.02251,0.02251,6.67
WAXPUSDTSWAP,3,20250604,183000,0.02251,0.02251,0.02248,0.0225,21.86
WAXPUSDTSWAP,3,20250604,183300,0.0225,0.02251,0.02248,0.02248,4.23
WAXPUSDTSWAP,3,20250604,183600,0.02248,0.02254,0.02248,0.02254,14.86
WAXPUSDTSWAP,3,20250604,183900,0.02254,0.02254,0.02253,0.02254,12.76
WAXPUSDTSWAP,3,20250604,184200,0.02253,0.02255,0.02252,0.02252,1.1
WAXPUSDTSWAP,3,20250604,184500,0.02252,0.02255,0.02249,0.02249,12.41
WAXPUSDTSWAP,3,20250604,184800,0.0225,0.02251,0.02249,0.02251,4.81
WAXPUSDTSWAP,3,20250604,185100,0.02251,0.02256,0.0225,0.02253,7.54
WAXPUSDTSWAP,3,20250604,185400,0.02254,0.02258,0.02254,0.02258,3.34
WAXPUSDTSWAP,3,20250604,185700,0.02258,0.02258,0.02254,0.02256,6.86
WAXPUSDTSWAP,3,20250604,190000,0.02257,0.02262,0.02246,0.02248,85.61
WAXPUSDTSWAP,3,20250604,190300,0.02249,0.02253,0.02249,0.02251,7.98
WAXPUSDTSWAP,3,20250604,190600,0.0225,0.02251,0.02249,0.02249,0.43
WAXPUSDTSWAP,3,20250604,190900,0.02248,0.02254,0.02248,0.02254,6.77
WAXPUSDTSWAP,3,20250604,191200,0.02254,0.02254,0.02246,0.02249,33.47
WAXPUSDTSWAP,3,20250604,191500,0.02249,0.0225,0.02243,0.02243,13.58
WAXPUSDTSWAP,3,20250604,191800,0.02244,0.02247,0.02241,0.02247,3.34
WAXPUSDTSWAP,3,20250604,192100,0.02248,0.02248,0.02243,0.02243,10.18
WAXPUSDTSWAP,3,20250604,192400,0.02244,0.02247,0.02243,0.02244,70.12
WAXPUSDTSWAP,3,20250604,192700,0.02244,0.02246,0.02243,0.02245,3.07
WAXPUSDTSWAP,3,20250604,193000,0.02245,0.02247,0.02243,0.02246,13.22
WAXPUSDTSWAP,3,20250604,193300,0.02246,0.02249,0.02245,0.02248,7.07
WAXPUSDTSWAP,3,20250604,193600,0.02247,0.02249,0.02247,0.02249,5.06
WAXPUSDTSWAP,3,20250604,193900,0.02251,0.02257,0.02251,0.02253,8.87
WAXPUSDTSWAP,3,20250604,194200,0.02253,0.02254,0.02251,0.02252,5.34
WAXPUSDTSWAP,3,20250604,194500,0.02254,0.02254,0.0225,0.02252,13.75
WAXPUSDTSWAP,3,20250604,194800,0.02251,0.02253,0.02251,0.02253,6.89
WAXPUSDTSWAP,3,20250604,195100,0.02252,0.02252,0.02251,0.02251,5.04
WAXPUSDTSWAP,3,20250604,195400,0.02252,0.02253,0.02251,0.02251,12.43
WAXPUSDTSWAP,3,20250604,195700,0.02251,0.02251,0.02247,0.02249,13.17
WAXPUSDTSWAP,3,20250604,200000,0.02249,0.02251,0.02244,0.02244,20.17
WAXPUSDTSWAP,3,20250604,200300,0.02243,0.02246,0.02242,0.02245,26.24
WAXPUSDTSWAP,3,20250604,200600,0.02244,0.02245,0.02242,0.02245,14.61
WAXPUSDTSWAP,3,20250604,200900,0.02246,0.02246,0.02242,0.02242,1.35
WAXPUSDTSWAP,3,20250604,201200,0.02243,0.02244,0.02242,0.02243,2.06
WAXPUSDTSWAP,3,20250604,201500,0.02243,0.02243,0.02237,0.02237,1.57
WAXPUSDTSWAP,3,20250604,201800,0.02236,0.02241,0.02236,0.02241,4.43
WAXPUSDTSWAP,3,20250604,202100,0.02241,0.02242,0.0224,0.02242,1.34
WAXPUSDTSWAP,3,20250604,202400,0.0224,0.0224,0.02236,0.02236,9.34
WAXPUSDTSWAP,3,20250604,202700,0.02237,0.02237,0.02232,0.02232,1.3
WAXPUSDTSWAP,3,20250604,203000,0.02229,0.02231,0.02226,0.02226,13.98
WAXPUSDTSWAP,3,20250604,203300,0.02228,0.02235,0.02224,0.02235,24.82
WAXPUSDTSWAP,3,20250604,203600,0.02233,0.02233,0.0223,0.0223,2.93
WAXPUSDTSWAP,3,20250604,203900,0.02232,0.02233,0.0223,0.02233,3.37
WAXPUSDTSWAP,3,20250604,204200,0.02232,0.02232,0.0223,0.0223,1.34
WAXPUSDTSWAP,3,20250604,204500,0.0223,0.02231,0.02227,0.02227,23.06
WAXPUSDTSWAP,3,20250604,204800,0.02227,0.02232,0.02226,0.02229,3.3
WAXPUSDTSWAP,3,20250604,205100,0.02229,0.02233,0.02228,0.02233,3.99
WAXPUSDTSWAP,3,20250604,205400,0.02234,0.02237,0.02234,0.02236,1.09
WAXPUSDTSWAP,3,20250604,205700,0.02236,0.02236,0.02235,0.02235,1.36
WAXPUSDTSWAP,3,20250604,210000,0.02236,0.02237,0.02231,0.02233,44.92
WAXPUSDTSWAP,3,20250604,210300,0.02234,0.02237,0.02234,0.02237,5.16
WAXPUSDTSWAP,3,20250604,210600,0.02239,0.02239,0.02229,0.02229,3.72
WAXPUSDTSWAP,3,20250604,210900,0.02231,0.02234,0.02231,0.02233,1.09
WAXPUSDTSWAP,3,20250604,211200,0.02234,0.02235,0.02232,0.02235,1.43
WAXPUSDTSWAP,3,20250604,211500,0.02235,0.02236,0.02232,0.02236,0.76
WAXPUSDTSWAP,3,20250604,211800,0.02236,0.02237,0.02235,0.02236,5.05
WAXPUSDTSWAP,3,20250604,212100,0.02236,0.02237,0.02235,0.02235,2.93
WAXPUSDTSWAP,3,20250604,212400,0.02235,0.02238,0.02235,0.02238,8.58
WAXPUSDTSWAP,3,20250604,212700,0.02238,0.02241,0.02238,0.02239,49.35
WAXPUSDTSWAP,3,20250604,213000,0.0224,0.02241,0.02237,0.02238,0.47
WAXPUSDTSWAP,3,20250604,213300,0.02237,0.02238,0.02235,0.02235,2.08
WAXPUSDTSWAP,3,20250604,213600,0.02234,0.02236,0.02233,0.02236,1.23
WAXPUSDTSWAP,3,20250604,213900,0.02236,0.02236,0.0223,0.02233,38.59
WAXPUSDTSWAP,3,20250604,214200,0.02234,0.02234,0.02233,0.02234,1.16
WAXPUSDTSWAP,3,20250604,214500,0.02235,0.02235,0.02231,0.02232,0.92
WAXPUSDTSWAP,3,20250604,214800,0.02234,0.02235,0.02233,0.02233,1.05
WAXPUSDTSWAP,3,20250604,215100,0.02229,0.02229,0.02229,0.02229,1.72
WAXPUSDTSWAP,3,20250604,215400,0.0223,0.0223,0.0222,0.02225,82.93
WAXPUSDTSWAP,3,20250604,215700,0.02226,0.02228,0.02226,0.02226,14.6
WAXPUSDTSWAP,3,20250604,220000,0.02227,0.02229,0.02225,0.02228,53.78
