<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WCTUSDTSWAP,1440,20250415,030000,0.3316,0.3799,0.2758,0.286,20335269.19
WCTUSDTSWAP,1440,20250416,030000,0.286,0.5347,0.2802,0.4355,45598058.51
WCTUSDTSWAP,1440,20250417,030000,0.4352,0.4483,0.37,0.4002,30715562.57
WCTUSDTSWAP,1440,20250418,030000,0.4002,0.4077,0.3335,0.3511,18734812.73
WCTUSDTSWAP,1440,20250419,030000,0.351,0.5226,0.3388,0.5063,22002199.48
WCTUSDTSWAP,1440,20250420,030000,0.5064,0.5619,0.4544,0.4821,46765150.26
WCTUSDTSWAP,1440,20250421,030000,0.482,0.5214,0.4358,0.4414,23642169.89
WCTUSDTSWAP,1440,20250422,030000,0.4414,0.4555,0.3863,0.4176,15305919.75
WCTUSDTSWAP,1440,20250423,030000,0.4177,0.4368,0.3742,0.385,12829576.14
WCTUSDTSWAP,1440,20250424,030000,0.3851,0.3995,0.3735,0.3986,6966861.43
WCTUSDTSWAP,1440,20250425,030000,0.3986,0.417,0.3849,0.3983,7205135.05
WCTUSDTSWAP,1440,20250426,030000,0.3984,0.4432,0.3965,0.4337,8069152.17
WCTUSDTSWAP,1440,20250427,030000,0.4339,0.4407,0.4031,0.4378,5091209.47
WCTUSDTSWAP,1440,20250428,030000,0.4379,0.4463,0.4098,0.4242,4322437.77
WCTUSDTSWAP,1440,20250429,030000,0.4242,0.4248,0.3834,0.3886,3592348.31
WCTUSDTSWAP,1440,20250430,030000,0.3885,0.4005,0.3669,0.3896,3119167.04
WCTUSDTSWAP,1440,20250501,030000,0.3896,0.407,0.3717,0.3787,3002890.31
WCTUSDTSWAP,1440,20250502,030000,0.3788,0.4041,0.3697,0.3904,2764552.86
WCTUSDTSWAP,1440,20250503,030000,0.3905,0.4087,0.3645,0.3668,2796809.81
WCTUSDTSWAP,1440,20250504,030000,0.3669,0.3845,0.3501,0.3731,3325081.15
WCTUSDTSWAP,1440,20250505,030000,0.373,0.3963,0.3655,0.3878,1960332.46
WCTUSDTSWAP,1440,20250506,030000,0.3878,0.3975,0.3594,0.3803,2234616.84
WCTUSDTSWAP,1440,20250507,030000,0.3804,0.4127,0.3799,0.3963,3483555.99
WCTUSDTSWAP,1440,20250508,030000,0.3964,0.4272,0.3876,0.4237,2807032.47
WCTUSDTSWAP,1440,20250509,030000,0.4238,0.4409,0.4134,0.4355,2358969.12
WCTUSDTSWAP,1440,20250510,030000,0.4357,0.4476,0.4165,0.4454,1779248.48
WCTUSDTSWAP,1440,20250511,030000,0.4454,0.5132,0.4348,0.4816,4720855.62
WCTUSDTSWAP,1440,20250512,030000,0.4818,0.5299,0.4595,0.5068,4294445.77
WCTUSDTSWAP,1440,20250513,030000,0.5069,0.5268,0.4722,0.5084,2697558.58
WCTUSDTSWAP,1440,20250514,030000,0.5083,0.6655,0.4982,0.5586,15306702.22
WCTUSDTSWAP,1440,20250515,030000,0.5587,0.5856,0.4886,0.5053,8442709.57
WCTUSDTSWAP,1440,20250516,030000,0.5052,0.539,0.4942,0.5345,4719447.55
WCTUSDTSWAP,1440,20250517,030000,0.5344,0.5504,0.4735,0.4904,5504311.98
WCTUSDTSWAP,1440,20250518,030000,0.4904,0.5279,0.4854,0.5124,3059651.21
WCTUSDTSWAP,1440,20250519,030000,0.5123,0.5966,0.4786,0.588,5948741.02
WCTUSDTSWAP,1440,20250520,030000,0.588,0.7846,0.5601,0.7362,17127902.57
WCTUSDTSWAP,1440,20250521,030000,0.7363,0.7483,0.6031,0.6159,16668039.85
WCTUSDTSWAP,1440,20250522,030000,0.6159,0.6354,0.5865,0.6238,6556860.93
WCTUSDTSWAP,1440,20250523,030000,0.6239,0.624,0.5652,0.5939,4266662.43
WCTUSDTSWAP,1440,20250524,030000,0.5938,0.6788,0.5845,0.6449,8215337.6
WCTUSDTSWAP,1440,20250525,030000,0.6449,0.6996,0.6175,0.6612,11409056.81
WCTUSDTSWAP,1440,20250526,030000,0.6612,0.6988,0.6371,0.6869,5554776.9
WCTUSDTSWAP,1440,20250527,030000,0.6868,0.9773,0.6868,0.9134,24542440.86
WCTUSDTSWAP,1440,20250528,030000,0.9133,1.0333,0.8747,0.9264,32849079.39
WCTUSDTSWAP,1440,20250529,030000,0.9263,1.2665,0.9065,1.1433,46119450.66
WCTUSDTSWAP,1440,20250530,030000,1.1435,1.4,0.9807,1.0704,75732333.2
WCTUSDTSWAP,1440,20250531,030000,1.0703,1.3749,0.5047,0.593,170378956.0
WCTUSDTSWAP,1440,20250601,030000,0.593,0.645,0.5416,0.5732,51826982.57
WCTUSDTSWAP,1440,20250602,030000,0.5732,0.5884,0.5003,0.548,27291967.06
WCTUSDTSWAP,1440,20250603,030000,0.548,0.5646,0.5121,0.5254,11427987.62
WCTUSDTSWAP,1440,20250604,030000,0.5254,0.5273,0.4739,0.483,8258969.61
