<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WCTUSDTSWAP,60,20250531,190000,0.5821,0.5899,0.5402,0.5486,5001276.3
WCTUSDTSWAP,60,20250531,200000,0.5487,0.5639,0.5435,0.5464,2679425.56
WCTUSDTSWAP,60,20250531,210000,0.5464,0.5642,0.5151,0.5186,3338069.07
WCTUSDTSWAP,60,20250531,220000,0.5184,0.5454,0.5047,0.543,3321509.59
WCTUSDTSWAP,60,20250531,230000,0.543,0.5749,0.5317,0.5695,3239663.98
WCTUSDTSWAP,60,20250601,000000,0.5695,0.6256,0.5643,0.5747,4538157.0
WCTUSDTSWAP,60,20250601,010000,0.5746,0.6106,0.5563,0.5916,3682297.09
WCTUSDTSWAP,60,20250601,020000,0.5916,0.6041,0.5768,0.593,2920492.56
WCTUSDTSWAP,60,20250601,030000,0.593,0.645,0.5661,0.6271,6341855.1
WCTUSDTSWAP,60,20250601,040000,0.6267,0.638,0.5768,0.597,4977600.47
WCTUSDTSWAP,60,20250601,050000,0.5968,0.6209,0.5855,0.6015,3072637.33
WCTUSDTSWAP,60,20250601,060000,0.6014,0.6197,0.5878,0.6044,2982984.9
WCTUSDTSWAP,60,20250601,070000,0.6044,0.6105,0.5815,0.6019,2681102.69
WCTUSDTSWAP,60,20250601,080000,0.6019,0.6019,0.586,0.5956,1512991.21
WCTUSDTSWAP,60,20250601,090000,0.5956,0.6094,0.5937,0.5997,1469720.43
WCTUSDTSWAP,60,20250601,100000,0.5998,0.606,0.5898,0.6035,1585064.47
WCTUSDTSWAP,60,20250601,110000,0.6034,0.6036,0.5633,0.5672,3223009.81
WCTUSDTSWAP,60,20250601,120000,0.5672,0.5705,0.5446,0.549,2997958.86
WCTUSDTSWAP,60,20250601,130000,0.549,0.5591,0.5416,0.5549,2101903.6
WCTUSDTSWAP,60,20250601,140000,0.5548,0.5745,0.5499,0.5737,1668691.38
WCTUSDTSWAP,60,20250601,150000,0.5739,0.5785,0.5592,0.5644,2318806.79
WCTUSDTSWAP,60,20250601,160000,0.5643,0.5695,0.5559,0.5624,2178396.63
WCTUSDTSWAP,60,20250601,170000,0.5625,0.5759,0.5605,0.5651,1680019.88
WCTUSDTSWAP,60,20250601,180000,0.5651,0.5689,0.5533,0.5574,1375109.25
WCTUSDTSWAP,60,20250601,190000,0.5575,0.5655,0.5487,0.5617,2128116.32
WCTUSDTSWAP,60,20250601,200000,0.5617,0.5762,0.557,0.5703,1273187.42
WCTUSDTSWAP,60,20250601,210000,0.5702,0.5776,0.5617,0.5749,1121441.42
WCTUSDTSWAP,60,20250601,220000,0.5749,0.5903,0.5726,0.5814,1531344.46
WCTUSDTSWAP,60,20250601,230000,0.581,0.5811,0.5623,0.5654,801837.52
WCTUSDTSWAP,60,20250602,000000,0.5654,0.5783,0.5643,0.5685,514129.53
WCTUSDTSWAP,60,20250602,010000,0.5684,0.5798,0.5667,0.571,618780.7
