<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WCTUSDTSWAP,3,20250604,172700,0.4902,0.4905,0.4892,0.4895,13322.17
WCTUSDTSWAP,3,20250604,173000,0.4894,0.4908,0.4892,0.4901,11631.08
WCTUSDTSWAP,3,20250604,173300,0.49,0.4903,0.4886,0.4886,7774.34
WCTUSDTSWAP,3,20250604,173600,0.4886,0.4894,0.4884,0.4891,9653.76
WCTUSDTSWAP,3,20250604,173900,0.489,0.4896,0.489,0.4895,4104.67
WCTUSDTSWAP,3,20250604,174200,0.4894,0.49,0.4889,0.489,5419.62
WCTUSDTSWAP,3,20250604,174500,0.489,0.4902,0.4887,0.4898,12499.33
WCTUSDTSWAP,3,20250604,174800,0.4899,0.4907,0.4894,0.4894,14236.49
WCTUSDTSWAP,3,20250604,175100,0.4895,0.4901,0.4891,0.4901,6638.6
WCTUSDTSWAP,3,20250604,175400,0.49,0.4905,0.4898,0.4902,10309.6
WCTUSDTSWAP,3,20250604,175700,0.4902,0.4912,0.4899,0.4909,28145.81
WCTUSDTSWAP,3,20250604,180000,0.491,0.4916,0.49,0.4903,12007.9
WCTUSDTSWAP,3,20250604,180300,0.4903,0.4905,0.4891,0.4901,10662.06
WCTUSDTSWAP,3,20250604,180600,0.4902,0.4917,0.4901,0.4908,9244.19
WCTUSDTSWAP,3,20250604,180900,0.4907,0.4909,0.4895,0.4897,13435.86
WCTUSDTSWAP,3,20250604,181200,0.4897,0.4907,0.4892,0.4892,8814.6
WCTUSDTSWAP,3,20250604,181500,0.4892,0.49,0.4887,0.4889,20884.93
WCTUSDTSWAP,3,20250604,181800,0.4889,0.4894,0.488,0.4881,26476.38
WCTUSDTSWAP,3,20250604,182100,0.4881,0.4896,0.4881,0.4895,15034.46
WCTUSDTSWAP,3,20250604,182400,0.4897,0.4897,0.4883,0.4885,12396.27
WCTUSDTSWAP,3,20250604,182700,0.4884,0.4887,0.4877,0.4882,18725.74
WCTUSDTSWAP,3,20250604,183000,0.4882,0.4884,0.4852,0.4881,51496.8
WCTUSDTSWAP,3,20250604,183300,0.4881,0.4899,0.4879,0.4882,33129.79
WCTUSDTSWAP,3,20250604,183600,0.4881,0.489,0.4871,0.4884,18823.58
WCTUSDTSWAP,3,20250604,183900,0.4884,0.4891,0.4882,0.4888,12932.83
WCTUSDTSWAP,3,20250604,184200,0.4888,0.489,0.4874,0.4876,16744.33
WCTUSDTSWAP,3,20250604,184500,0.4876,0.4884,0.4871,0.4876,15468.13
WCTUSDTSWAP,3,20250604,184800,0.4876,0.4887,0.4876,0.4879,16931.91
WCTUSDTSWAP,3,20250604,185100,0.488,0.4884,0.4872,0.4872,8273.55
WCTUSDTSWAP,3,20250604,185400,0.4872,0.4872,0.486,0.487,15891.98
WCTUSDTSWAP,3,20250604,185700,0.4869,0.4869,0.4853,0.4858,15879.27
WCTUSDTSWAP,3,20250604,190000,0.4859,0.4891,0.4859,0.4889,37965.8
WCTUSDTSWAP,3,20250604,190300,0.4889,0.4904,0.4884,0.4899,38514.08
WCTUSDTSWAP,3,20250604,190600,0.4898,0.4902,0.487,0.4878,21479.2
WCTUSDTSWAP,3,20250604,190900,0.4879,0.4889,0.4876,0.4888,8448.96
WCTUSDTSWAP,3,20250604,191200,0.4889,0.4904,0.4888,0.4899,18731.23
WCTUSDTSWAP,3,20250604,191500,0.4899,0.4911,0.4888,0.4904,22166.51
WCTUSDTSWAP,3,20250604,191800,0.4904,0.4906,0.4879,0.4881,24890.25
WCTUSDTSWAP,3,20250604,192100,0.488,0.4897,0.4879,0.4891,12475.72
WCTUSDTSWAP,3,20250604,192400,0.4891,0.4901,0.4891,0.4896,12891.7
WCTUSDTSWAP,3,20250604,192700,0.4897,0.4907,0.4889,0.49,16610.13
WCTUSDTSWAP,3,20250604,193000,0.49,0.4904,0.4876,0.4888,25794.09
WCTUSDTSWAP,3,20250604,193300,0.4887,0.4894,0.4886,0.4889,11319.76
WCTUSDTSWAP,3,20250604,193600,0.489,0.489,0.4871,0.4871,19566.36
WCTUSDTSWAP,3,20250604,193900,0.4872,0.4882,0.4867,0.4868,10229.25
WCTUSDTSWAP,3,20250604,194200,0.4867,0.4872,0.4858,0.4858,20235.53
WCTUSDTSWAP,3,20250604,194500,0.4858,0.4858,0.4809,0.4833,129392.83
