<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WIFUSDTSWAP,1440,20250225,030000,0.5557,0.5647,0.502,0.5498,201779511.81
WIFUSDTSWAP,1440,20250226,030000,0.5499,0.5932,0.5359,0.5792,109053975.0
WIFUSDTSWAP,1440,20250227,030000,0.5793,0.6199,0.5639,0.5856,77719968.97
WIFUSDTSWAP,1440,20250228,030000,0.5857,0.6466,0.5462,0.6292,123451057.48
WIFUSDTSWAP,1440,20250301,030000,0.6293,0.6641,0.5888,0.6112,71168975.58
WIFUSDTSWAP,1440,20250302,030000,0.6112,0.7839,0.6061,0.762,123811260.74
WIFUSDTSWAP,1440,20250303,030000,0.7618,0.7897,0.6322,0.6435,137969409.07
WIFUSDTSWAP,1440,20250304,030000,0.6435,0.649,0.5368,0.5744,131763624.99
WIFUSDTSWAP,1440,20250305,030000,0.5743,0.6162,0.5506,0.5825,70864745.77
WIFUSDTSWAP,1440,20250306,030000,0.5825,0.6011,0.5565,0.5713,54325000.25
WIFUSDTSWAP,1440,20250307,030000,0.5712,0.5829,0.5245,0.5339,99107841.0
WIFUSDTSWAP,1440,20250308,030000,0.534,0.5463,0.5112,0.534,66947199.26
WIFUSDTSWAP,1440,20250309,030000,0.534,0.5395,0.4288,0.442,109270485.32
WIFUSDTSWAP,1440,20250310,030000,0.4421,0.494,0.4242,0.4289,80023207.96
WIFUSDTSWAP,1440,20250311,030000,0.4288,0.4733,0.3951,0.4483,89980734.57
WIFUSDTSWAP,1440,20250312,030000,0.4482,0.481,0.4277,0.4804,71867863.34
WIFUSDTSWAP,1440,20250313,030000,0.4804,0.4996,0.4532,0.4702,103750885.0
WIFUSDTSWAP,1440,20250314,030000,0.4702,0.5286,0.4685,0.5077,60949649.61
WIFUSDTSWAP,1440,20250315,030000,0.5077,0.5156,0.4924,0.5013,51608007.08
WIFUSDTSWAP,1440,20250316,030000,0.5013,0.502,0.4595,0.4654,58665548.88
WIFUSDTSWAP,1440,20250317,030000,0.4654,0.5165,0.4642,0.5006,47976061.98
WIFUSDTSWAP,1440,20250318,030000,0.5006,0.5013,0.4504,0.4802,62987002.31
WIFUSDTSWAP,1440,20250319,030000,0.4803,0.5224,0.4775,0.5173,86066297.04
WIFUSDTSWAP,1440,20250320,030000,0.5173,0.5236,0.4807,0.5065,49392565.47
WIFUSDTSWAP,1440,20250321,030000,0.5065,0.5335,0.4811,0.4883,73807524.93
WIFUSDTSWAP,1440,20250322,030000,0.4884,0.5284,0.4846,0.5077,69855793.39
WIFUSDTSWAP,1440,20250323,030000,0.5078,0.5368,0.4975,0.5173,60012449.41
WIFUSDTSWAP,1440,20250324,030000,0.5173,0.5793,0.5049,0.5577,94433874.4
WIFUSDTSWAP,1440,20250325,030000,0.5576,0.5706,0.5335,0.5491,55663273.13
WIFUSDTSWAP,1440,20250326,030000,0.5492,0.5905,0.5224,0.5277,82279701.8
WIFUSDTSWAP,1440,20250327,030000,0.5278,0.5605,0.5094,0.5207,68684449.69
WIFUSDTSWAP,1440,20250328,030000,0.5207,0.5273,0.4528,0.4609,51582779.45
WIFUSDTSWAP,1440,20250329,030000,0.4608,0.4671,0.4211,0.4323,45360458.96
WIFUSDTSWAP,1440,20250330,030000,0.4323,0.4454,0.4277,0.4369,39908286.34
WIFUSDTSWAP,1440,20250331,030000,0.4369,0.4428,0.4138,0.4197,37486456.9
WIFUSDTSWAP,1440,20250401,030000,0.4197,0.4463,0.4149,0.4224,47944178.1
WIFUSDTSWAP,1440,20250402,030000,0.4225,0.4314,0.369,0.3737,90070830.66
WIFUSDTSWAP,1440,20250403,030000,0.3737,0.3926,0.353,0.3836,66869295.4
WIFUSDTSWAP,1440,20250404,030000,0.3837,0.3918,0.3617,0.3884,51449561.0
WIFUSDTSWAP,1440,20250405,030000,0.3884,0.3938,0.3766,0.3863,30342505.18
WIFUSDTSWAP,1440,20250406,030000,0.3863,0.3863,0.3275,0.3347,46227065.81
WIFUSDTSWAP,1440,20250407,030000,0.3347,0.3608,0.3039,0.3436,96642774.44
WIFUSDTSWAP,1440,20250408,030000,0.3436,0.3576,0.3167,0.3193,36921275.15
WIFUSDTSWAP,1440,20250409,030000,0.3194,0.3788,0.3044,0.3716,58497803.38
WIFUSDTSWAP,1440,20250410,030000,0.3716,0.3764,0.3523,0.3656,34500716.32
WIFUSDTSWAP,1440,20250411,030000,0.3655,0.4106,0.3644,0.3963,41618517.16
WIFUSDTSWAP,1440,20250412,030000,0.3962,0.4809,0.3892,0.4672,67560485.97
WIFUSDTSWAP,1440,20250413,030000,0.4673,0.478,0.4373,0.4444,73114113.62
WIFUSDTSWAP,1440,20250414,030000,0.4444,0.4817,0.4196,0.4305,65075478.91
WIFUSDTSWAP,1440,20250415,030000,0.4305,0.4369,0.3866,0.3884,47376723.03
WIFUSDTSWAP,1440,20250416,030000,0.3884,0.3898,0.3618,0.3783,64148977.89
WIFUSDTSWAP,1440,20250417,030000,0.3783,0.4022,0.3683,0.3764,46155211.78
WIFUSDTSWAP,1440,20250418,030000,0.3765,0.4118,0.3763,0.4023,40445779.81
WIFUSDTSWAP,1440,20250419,030000,0.4022,0.4197,0.3921,0.4175,29257151.34
WIFUSDTSWAP,1440,20250420,030000,0.4175,0.4422,0.4138,0.4285,39581057.44
WIFUSDTSWAP,1440,20250421,030000,0.4285,0.4595,0.4197,0.4226,52910916.47
WIFUSDTSWAP,1440,20250422,030000,0.4226,0.5115,0.4142,0.501,64855248.44
WIFUSDTSWAP,1440,20250423,030000,0.501,0.5841,0.501,0.5388,112972910.83
WIFUSDTSWAP,1440,20250424,030000,0.5388,0.5591,0.5083,0.5542,68465811.7
WIFUSDTSWAP,1440,20250425,030000,0.554,0.6694,0.5438,0.638,112419024.56
WIFUSDTSWAP,1440,20250426,030000,0.6381,0.72,0.6284,0.651,88509335.51
WIFUSDTSWAP,1440,20250427,030000,0.6511,0.654,0.6078,0.6149,53764441.21
WIFUSDTSWAP,1440,20250428,030000,0.615,0.6688,0.5949,0.6186,67748265.31
WIFUSDTSWAP,1440,20250429,030000,0.6187,0.6263,0.5772,0.6024,55337365.1
WIFUSDTSWAP,1440,20250430,030000,0.6026,0.6376,0.5605,0.6322,49932483.32
WIFUSDTSWAP,1440,20250501,030000,0.6322,0.6611,0.609,0.6156,50307024.82
WIFUSDTSWAP,1440,20250502,030000,0.6156,0.6557,0.5982,0.6445,57412694.18
WIFUSDTSWAP,1440,20250503,030000,0.6445,0.6483,0.5665,0.568,53588668.16
WIFUSDTSWAP,1440,20250504,030000,0.568,0.5749,0.5357,0.5479,39269754.09
WIFUSDTSWAP,1440,20250505,030000,0.5479,0.5688,0.5317,0.5476,36358384.3
WIFUSDTSWAP,1440,20250506,030000,0.5476,0.5693,0.5215,0.5616,48244867.12
WIFUSDTSWAP,1440,20250507,030000,0.5617,0.59,0.5324,0.5746,62331346.28
WIFUSDTSWAP,1440,20250508,030000,0.5747,0.7111,0.5735,0.6911,76863314.72
WIFUSDTSWAP,1440,20250509,030000,0.691,0.7698,0.6526,0.7488,141519482.46
WIFUSDTSWAP,1440,20250510,030000,0.7489,0.9793,0.7482,0.9457,225431274.07
WIFUSDTSWAP,1440,20250511,030000,0.9456,0.9504,0.8615,0.9098,140118561.68
WIFUSDTSWAP,1440,20250512,030000,0.9099,1.3211,0.9078,1.1477,437608088.51
WIFUSDTSWAP,1440,20250513,030000,1.1477,1.233,1.0584,1.1752,235501609.44
