<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WIFUSDTSWAP,3,20250604,172700,0.9507,0.9507,0.9474,0.9489,98996.39
WIFUSDTSWAP,3,20250604,173000,0.9489,0.9502,0.948,0.9499,61256.24
WIFUSDTSWAP,3,20250604,173300,0.95,0.9536,0.9494,0.9506,217378.05
WIFUSDTSWAP,3,20250604,173600,0.9506,0.9506,0.9469,0.9473,115951.34
WIFUSDTSWAP,3,20250604,173900,0.9473,0.9513,0.9473,0.9507,144544.72
WIFUSDTSWAP,3,20250604,174200,0.9506,0.9522,0.949,0.9517,102067.82
WIFUSDTSWAP,3,20250604,174500,0.9517,0.9544,0.9491,0.9542,133506.38
WIFUSDTSWAP,3,20250604,174800,0.9543,0.9587,0.9536,0.9543,422636.57
WIFUSDTSWAP,3,20250604,175100,0.9543,0.9574,0.9541,0.9569,175403.2
WIFUSDTSWAP,3,20250604,175400,0.9569,0.9622,0.9569,0.9617,201539.41
WIFUSDTSWAP,3,20250604,175700,0.9617,0.9641,0.961,0.9622,285250.8
WIFUSDTSWAP,3,20250604,180000,0.9621,0.9633,0.9571,0.9571,332062.08
WIFUSDTSWAP,3,20250604,180300,0.9571,0.9575,0.9519,0.9533,235272.41
WIFUSDTSWAP,3,20250604,180600,0.9533,0.9601,0.9532,0.9553,200800.25
WIFUSDTSWAP,3,20250604,180900,0.9553,0.9591,0.955,0.9581,171150.59
WIFUSDTSWAP,3,20250604,181200,0.9582,0.9587,0.9565,0.9571,75361.47
WIFUSDTSWAP,3,20250604,181500,0.9571,0.9641,0.957,0.9621,185866.91
WIFUSDTSWAP,3,20250604,181800,0.962,0.9639,0.9599,0.9599,436887.49
WIFUSDTSWAP,3,20250604,182100,0.9601,0.9625,0.9584,0.961,216753.14
WIFUSDTSWAP,3,20250604,182400,0.961,0.9613,0.9585,0.959,134241.13
WIFUSDTSWAP,3,20250604,182700,0.959,0.9608,0.9586,0.9593,141936.79
WIFUSDTSWAP,3,20250604,183000,0.9593,0.9601,0.9558,0.9584,152653.41
WIFUSDTSWAP,3,20250604,183300,0.9586,0.9601,0.956,0.956,124423.4
WIFUSDTSWAP,3,20250604,183600,0.956,0.963,0.956,0.9622,293190.86
WIFUSDTSWAP,3,20250604,183900,0.9621,0.9649,0.9602,0.9641,166121.96
WIFUSDTSWAP,3,20250604,184200,0.964,0.9664,0.9622,0.9633,343945.56
WIFUSDTSWAP,3,20250604,184500,0.9632,0.9673,0.9632,0.9633,364164.73
WIFUSDTSWAP,3,20250604,184800,0.9634,0.9641,0.9611,0.9613,106777.48
WIFUSDTSWAP,3,20250604,185100,0.9614,0.9647,0.9602,0.9626,108231.53
WIFUSDTSWAP,3,20250604,185400,0.9625,0.9671,0.962,0.9663,136675.96
WIFUSDTSWAP,3,20250604,185700,0.9663,0.9663,0.9617,0.9632,129125.7
WIFUSDTSWAP,3,20250604,190000,0.9632,0.9637,0.9601,0.961,156786.81
WIFUSDTSWAP,3,20250604,190300,0.961,0.9616,0.957,0.957,173403.8
WIFUSDTSWAP,3,20250604,190600,0.957,0.9591,0.9546,0.9569,779557.84
WIFUSDTSWAP,3,20250604,190900,0.957,0.9581,0.9562,0.9574,199812.99
WIFUSDTSWAP,3,20250604,191200,0.9573,0.9582,0.9548,0.9559,515186.31
WIFUSDTSWAP,3,20250604,191500,0.9558,0.9588,0.9489,0.9492,1744508.0
WIFUSDTSWAP,3,20250604,191800,0.9493,0.9522,0.9471,0.9515,325324.16
WIFUSDTSWAP,3,20250604,192100,0.9514,0.9521,0.9457,0.9463,272362.99
WIFUSDTSWAP,3,20250604,192400,0.9464,0.9465,0.9427,0.945,567589.2
WIFUSDTSWAP,3,20250604,192700,0.9451,0.9489,0.9425,0.9445,2647381.99
WIFUSDTSWAP,3,20250604,193000,0.9445,0.9489,0.944,0.9486,404363.12
WIFUSDTSWAP,3,20250604,193300,0.9486,0.9536,0.9486,0.952,761689.75
WIFUSDTSWAP,3,20250604,193600,0.9519,0.9555,0.9494,0.9539,1261682.53
WIFUSDTSWAP,3,20250604,193900,0.9539,0.9553,0.9522,0.9539,301550.68
WIFUSDTSWAP,3,20250604,194200,0.9538,0.9539,0.9485,0.9497,192411.98
WIFUSDTSWAP,3,20250604,194500,0.9498,0.9521,0.948,0.9511,177228.88
WIFUSDTSWAP,3,20250604,194800,0.9511,0.9518,0.9487,0.9507,143729.28
WIFUSDTSWAP,3,20250604,195100,0.9507,0.9507,0.9484,0.9488,86878.77
WIFUSDTSWAP,3,20250604,195400,0.9488,0.9513,0.9481,0.9498,142696.67
WIFUSDTSWAP,3,20250604,195700,0.9497,0.9503,0.9468,0.9501,87927.02
WIFUSDTSWAP,3,20250604,200000,0.95,0.9505,0.9447,0.9451,136149.25
WIFUSDTSWAP,3,20250604,200300,0.945,0.947,0.944,0.9455,141545.88
WIFUSDTSWAP,3,20250604,200600,0.9455,0.9465,0.944,0.9456,114037.7
WIFUSDTSWAP,3,20250604,200900,0.9455,0.9457,0.942,0.9432,129714.09
WIFUSDTSWAP,3,20250604,201200,0.943,0.9476,0.943,0.9461,89896.19
WIFUSDTSWAP,3,20250604,201500,0.9462,0.9467,0.9405,0.9417,114568.73
