<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WLDUSDTSWAP,60,20250531,190000,1.141,1.1593,1.1344,1.1474,4114485.94
WLDUSDTSWAP,60,20250531,200000,1.1474,1.1508,1.1329,1.1355,2873898.52
WLDUSDTSWAP,60,20250531,210000,1.1355,1.1494,1.1347,1.1451,1810522.96
WLDUSDTSWAP,60,20250531,220000,1.1454,1.1505,1.1396,1.1413,1640940.13
WLDUSDTSWAP,60,20250531,230000,1.1415,1.147,1.1387,1.1458,1132854.28
WLDUSDTSWAP,60,20250601,000000,1.146,1.1542,1.1414,1.1479,2395836.77
WLDUSDTSWAP,60,20250601,010000,1.148,1.1492,1.1363,1.1376,1632427.3
WLDUSDTSWAP,60,20250601,020000,1.1374,1.145,1.1311,1.1349,1913956.44
WLDUSDTSWAP,60,20250601,030000,1.1349,1.1428,1.1237,1.1381,3646745.8
WLDUSDTSWAP,60,20250601,040000,1.138,1.1451,1.121,1.1243,3276569.43
WLDUSDTSWAP,60,20250601,050000,1.1242,1.1356,1.1132,1.1295,4951314.06
WLDUSDTSWAP,60,20250601,060000,1.1298,1.1312,1.1171,1.1218,2099179.7
WLDUSDTSWAP,60,20250601,070000,1.1218,1.1389,1.1179,1.1316,2697478.04
WLDUSDTSWAP,60,20250601,080000,1.1316,1.1377,1.1239,1.1295,2217226.49
WLDUSDTSWAP,60,20250601,090000,1.1294,1.1336,1.1225,1.1261,1845341.34
WLDUSDTSWAP,60,20250601,100000,1.126,1.132,1.1219,1.1243,1499007.77
WLDUSDTSWAP,60,20250601,110000,1.1243,1.1264,1.1116,1.1184,3336763.87
WLDUSDTSWAP,60,20250601,120000,1.1184,1.123,1.0963,1.1047,7001330.51
WLDUSDTSWAP,60,20250601,130000,1.1047,1.1128,1.1011,1.111,3327266.92
WLDUSDTSWAP,60,20250601,140000,1.1109,1.1221,1.1071,1.1138,2437997.8
WLDUSDTSWAP,60,20250601,150000,1.1138,1.1182,1.1024,1.1072,3184031.2
WLDUSDTSWAP,60,20250601,160000,1.1071,1.1265,1.1062,1.1209,3480068.1
WLDUSDTSWAP,60,20250601,170000,1.1208,1.1426,1.1206,1.1338,4228294.21
WLDUSDTSWAP,60,20250601,180000,1.1337,1.1395,1.1263,1.1371,6093504.86
WLDUSDTSWAP,60,20250601,190000,1.137,1.1572,1.1364,1.1456,6485036.41
WLDUSDTSWAP,60,20250601,200000,1.1456,1.1488,1.1382,1.1394,2618774.01
WLDUSDTSWAP,60,20250601,210000,1.1395,1.1399,1.1128,1.1281,5542360.49
WLDUSDTSWAP,60,20250601,220000,1.1282,1.141,1.1278,1.1406,1660728.45
WLDUSDTSWAP,60,20250601,230000,1.1406,1.147,1.1322,1.1416,1773474.46
WLDUSDTSWAP,60,20250602,000000,1.1416,1.1547,1.1408,1.1529,1274209.4
WLDUSDTSWAP,60,20250602,010000,1.1528,1.1636,1.1526,1.1623,2288249.21
WLDUSDTSWAP,60,20250602,020000,1.1621,1.1739,1.162,1.1651,2892993.33
WLDUSDTSWAP,60,20250602,030000,1.1652,1.1675,1.154,1.1568,2882643.04
WLDUSDTSWAP,60,20250602,040000,1.1568,1.1667,1.1458,1.1463,3501270.36
WLDUSDTSWAP,60,20250602,050000,1.1463,1.1472,1.1356,1.1369,3608542.08
WLDUSDTSWAP,60,20250602,060000,1.137,1.1405,1.1271,1.1364,3315660.28
WLDUSDTSWAP,60,20250602,070000,1.1364,1.1381,1.1287,1.1304,2149692.65
WLDUSDTSWAP,60,20250602,080000,1.1304,1.1401,1.1226,1.1306,4127643.17
WLDUSDTSWAP,60,20250602,090000,1.1307,1.1427,1.1234,1.1362,3679773.82
WLDUSDTSWAP,60,20250602,100000,1.1361,1.1478,1.1361,1.1392,2491597.95
WLDUSDTSWAP,60,20250602,110000,1.1391,1.1493,1.1243,1.1285,4673533.65
WLDUSDTSWAP,60,20250602,120000,1.1286,1.1291,1.1114,1.1169,5371783.88
WLDUSDTSWAP,60,20250602,130000,1.1168,1.1218,1.1108,1.1169,3949180.14
WLDUSDTSWAP,60,20250602,140000,1.1169,1.1229,1.1113,1.1168,2599990.18
WLDUSDTSWAP,60,20250602,150000,1.117,1.1268,1.1066,1.123,5793483.58
WLDUSDTSWAP,60,20250602,160000,1.1231,1.1429,1.1192,1.1255,6908722.7
WLDUSDTSWAP,60,20250602,170000,1.1252,1.1477,1.1182,1.1353,6187743.72
WLDUSDTSWAP,60,20250602,180000,1.1352,1.1416,1.1242,1.1308,3680872.38
WLDUSDTSWAP,60,20250602,190000,1.1309,1.1314,1.1135,1.1275,4278244.46
WLDUSDTSWAP,60,20250602,200000,1.1276,1.1315,1.1168,1.1277,1941903.11
WLDUSDTSWAP,60,20250602,210000,1.1278,1.1433,1.1249,1.127,2736825.49
WLDUSDTSWAP,60,20250602,220000,1.1269,1.1336,1.11,1.1206,2857847.7
WLDUSDTSWAP,60,20250602,230000,1.1207,1.1473,1.1205,1.1469,3269885.44
WLDUSDTSWAP,60,20250603,000000,1.1468,1.1729,1.1454,1.1714,4769560.7
WLDUSDTSWAP,60,20250603,010000,1.1715,1.1912,1.1708,1.1718,4960690.98
WLDUSDTSWAP,60,20250603,020000,1.1719,1.1918,1.1719,1.1874,4388540.5
WLDUSDTSWAP,60,20250603,030000,1.1875,1.2299,1.1821,1.2126,8905024.5
WLDUSDTSWAP,60,20250603,040000,1.2132,1.2368,1.2063,1.2357,5690177.33
WLDUSDTSWAP,60,20250603,050000,1.2358,1.251,1.2089,1.2175,6761327.5
WLDUSDTSWAP,60,20250603,060000,1.2174,1.2186,1.1911,1.1927,7217781.99
WLDUSDTSWAP,60,20250603,070000,1.1927,1.1937,1.1775,1.1833,5359379.56
WLDUSDTSWAP,60,20250603,080000,1.1836,1.2012,1.1836,1.1988,3545686.85
WLDUSDTSWAP,60,20250603,090000,1.1987,1.2042,1.1865,1.2036,3082334.78
WLDUSDTSWAP,60,20250603,100000,1.2037,1.2067,1.1933,1.1942,2570783.02
WLDUSDTSWAP,60,20250603,110000,1.1943,1.2009,1.1757,1.19,4587965.55
WLDUSDTSWAP,60,20250603,120000,1.1901,1.2048,1.1865,1.1984,3623266.59
WLDUSDTSWAP,60,20250603,130000,1.1984,1.2069,1.1936,1.2054,2759456.21
WLDUSDTSWAP,60,20250603,140000,1.2054,1.2188,1.2054,1.2138,4455530.87
WLDUSDTSWAP,60,20250603,150000,1.214,1.2271,1.2072,1.2248,3633001.83
WLDUSDTSWAP,60,20250603,160000,1.2249,1.2324,1.2087,1.2178,7340764.46
WLDUSDTSWAP,60,20250603,170000,1.2179,1.2249,1.2029,1.2241,7169558.08
WLDUSDTSWAP,60,20250603,180000,1.2242,1.2356,1.2133,1.2305,5468325.12
WLDUSDTSWAP,60,20250603,190000,1.2303,1.2348,1.2085,1.2101,4224877.27
WLDUSDTSWAP,60,20250603,200000,1.2101,1.2306,1.2081,1.2181,2962940.74
WLDUSDTSWAP,60,20250603,210000,1.2182,1.2205,1.205,1.2126,2607149.0
WLDUSDTSWAP,60,20250603,220000,1.2124,1.2493,1.2122,1.2356,6209864.3
WLDUSDTSWAP,60,20250603,230000,1.2357,1.2383,1.1933,1.2084,5639960.93
WLDUSDTSWAP,60,20250604,000000,1.2084,1.2137,1.182,1.1896,4478124.97
WLDUSDTSWAP,60,20250604,010000,1.1897,1.2001,1.1877,1.1925,2744443.98
WLDUSDTSWAP,60,20250604,020000,1.1926,1.1966,1.1858,1.1877,1882566.8
WLDUSDTSWAP,60,20250604,030000,1.1877,1.1944,1.1701,1.1888,6395569.72
WLDUSDTSWAP,60,20250604,040000,1.1888,1.2133,1.1882,1.1971,4543330.88
WLDUSDTSWAP,60,20250604,050000,1.1972,1.2069,1.193,1.1945,2271251.22
WLDUSDTSWAP,60,20250604,060000,1.1946,1.2093,1.1926,1.1962,2902059.7
WLDUSDTSWAP,60,20250604,070000,1.1963,1.1986,1.1853,1.1918,3367232.79
WLDUSDTSWAP,60,20250604,080000,1.1918,1.1955,1.1826,1.1858,2565553.3
WLDUSDTSWAP,60,20250604,090000,1.1857,1.1909,1.1795,1.1836,2868943.43
WLDUSDTSWAP,60,20250604,100000,1.1839,1.1887,1.1763,1.1809,3329884.5
WLDUSDTSWAP,60,20250604,110000,1.1808,1.1917,1.1784,1.1824,4163477.18
WLDUSDTSWAP,60,20250604,120000,1.1824,1.1906,1.1711,1.1887,4307978.63
WLDUSDTSWAP,60,20250604,130000,1.1885,1.1904,1.165,1.1658,6266884.44
WLDUSDTSWAP,60,20250604,140000,1.1658,1.171,1.1539,1.1568,6660276.02
WLDUSDTSWAP,60,20250604,150000,1.1569,1.1585,1.1439,1.1506,7510907.16
WLDUSDTSWAP,60,20250604,160000,1.1505,1.158,1.145,1.1482,4822550.85
WLDUSDTSWAP,60,20250604,170000,1.148,1.1587,1.1345,1.1578,8201271.82
WLDUSDTSWAP,60,20250604,180000,1.1579,1.1769,1.153,1.1734,7073913.31
WLDUSDTSWAP,60,20250604,190000,1.1734,1.1755,1.1591,1.1712,4251817.25
WLDUSDTSWAP,60,20250604,200000,1.1712,1.1716,1.1504,1.1569,3887641.46
WLDUSDTSWAP,60,20250604,210000,1.1569,1.1715,1.1569,1.1622,2311294.15
WLDUSDTSWAP,60,20250604,220000,1.1621,1.1666,1.1599,1.1629,710808.92
