<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WUSDTSWAP,1440,20250225,030000,0.1355,0.1427,0.1241,0.1389,10670685.16
WUSDTSWAP,1440,20250226,030000,0.1389,0.1423,0.1311,0.1385,5039147.96
WUSDTSWAP,1440,20250227,030000,0.1385,0.1458,0.1355,0.1407,3697278.83
WUSDTSWAP,1440,20250228,030000,0.1407,0.1446,0.1304,0.1405,7313490.32
WUSDTSWAP,1440,20250301,030000,0.1405,0.1428,0.1329,0.1355,2676892.97
WUSDTSWAP,1440,20250302,030000,0.1354,0.1479,0.1323,0.1458,6007030.34
WUSDTSWAP,1440,20250303,030000,0.1458,0.1462,0.1122,0.1168,13104823.16
WUSDTSWAP,1440,20250304,030000,0.1168,0.1176,0.1003,0.1103,11440773.86
WUSDTSWAP,1440,20250305,030000,0.1102,0.1128,0.1067,0.1108,4297077.42
WUSDTSWAP,1440,20250306,030000,0.1108,0.1128,0.103,0.1054,4829469.29
WUSDTSWAP,1440,20250307,030000,0.1054,0.1069,0.0987,0.1,6381081.06
WUSDTSWAP,1440,20250308,030000,0.0999,0.1019,0.0974,0.0998,3280727.69
WUSDTSWAP,1440,20250309,030000,0.0999,0.1009,0.0854,0.0875,6127427.44
WUSDTSWAP,1440,20250310,030000,0.0876,0.1013,0.0822,0.0839,9558582.8
WUSDTSWAP,1440,20250311,030000,0.084,0.0909,0.076,0.0867,9252780.85
WUSDTSWAP,1440,20250312,030000,0.0866,0.0907,0.0821,0.09,7277141.93
WUSDTSWAP,1440,20250313,030000,0.09,0.0907,0.082,0.0843,5057397.9
WUSDTSWAP,1440,20250314,030000,0.0842,0.09,0.0838,0.0875,3739710.92
WUSDTSWAP,1440,20250315,030000,0.0875,0.0928,0.0865,0.0914,3195979.32
WUSDTSWAP,1440,20250316,030000,0.0914,0.0914,0.0838,0.0846,4182143.0
WUSDTSWAP,1440,20250317,030000,0.0846,0.0919,0.0846,0.08985,5669058.94
WUSDTSWAP,1440,20250318,030000,0.08982,0.08992,0.08279,0.0856,4028101.22
WUSDTSWAP,1440,20250319,030000,0.08558,0.08839,0.08251,0.08836,6797605.79
WUSDTSWAP,1440,20250320,030000,0.08835,0.089,0.08097,0.08254,5234006.32
WUSDTSWAP,1440,20250321,030000,0.08253,0.08456,0.0798,0.08245,5876280.68
WUSDTSWAP,1440,20250322,030000,0.08245,0.09488,0.08209,0.08912,12439822.42
WUSDTSWAP,1440,20250323,030000,0.08915,0.13076,0.08816,0.10804,251628361.48
WUSDTSWAP,1440,20250324,030000,0.10801,0.10873,0.1013,0.10588,72996342.67
WUSDTSWAP,1440,20250325,030000,0.10589,0.10592,0.09875,0.10118,32538421.67
WUSDTSWAP,1440,20250326,030000,0.10117,0.10487,0.09804,0.10336,27328344.62
WUSDTSWAP,1440,20250327,030000,0.10336,0.10803,0.10089,0.10125,30188678.82
WUSDTSWAP,1440,20250328,030000,0.10125,0.10224,0.08907,0.09198,23575396.58
WUSDTSWAP,1440,20250329,030000,0.09196,0.09602,0.08258,0.08429,25676251.93
WUSDTSWAP,1440,20250330,030000,0.0843,0.08739,0.08249,0.08482,45765676.57
WUSDTSWAP,1440,20250331,030000,0.08483,0.08568,0.08035,0.08196,37136044.2
WUSDTSWAP,1440,20250401,030000,0.08194,0.08445,0.07856,0.07898,15070326.55
WUSDTSWAP,1440,20250402,030000,0.07898,0.08196,0.07315,0.07882,32647432.49
WUSDTSWAP,1440,20250403,030000,0.07883,0.09088,0.07752,0.09033,76115629.19
WUSDTSWAP,1440,20250404,030000,0.09032,0.09283,0.08385,0.08806,34308820.8
WUSDTSWAP,1440,20250405,030000,0.08806,0.0882,0.08092,0.08211,10311791.57
WUSDTSWAP,1440,20250406,030000,0.0821,0.08273,0.07193,0.07396,16229913.87
WUSDTSWAP,1440,20250407,030000,0.07395,0.07897,0.06626,0.07393,24420637.32
WUSDTSWAP,1440,20250408,030000,0.07394,0.07574,0.06801,0.06995,16122843.33
WUSDTSWAP,1440,20250409,030000,0.06995,0.07645,0.06654,0.07555,15215264.77
WUSDTSWAP,1440,20250410,030000,0.07556,0.07573,0.06862,0.06996,9631159.59
WUSDTSWAP,1440,20250411,030000,0.06996,0.07493,0.06876,0.07424,12766210.34
WUSDTSWAP,1440,20250412,030000,0.07424,0.07791,0.07399,0.07711,12610777.3
WUSDTSWAP,1440,20250413,030000,0.0771,0.08217,0.06981,0.07077,18373528.06
WUSDTSWAP,1440,20250414,030000,0.07076,0.07584,0.07054,0.07149,7657893.44
WUSDTSWAP,1440,20250415,030000,0.0715,0.07299,0.06836,0.06884,4844539.56
WUSDTSWAP,1440,20250416,030000,0.06884,0.06955,0.06463,0.06626,6512668.85
WUSDTSWAP,1440,20250417,030000,0.06627,0.06798,0.06489,0.06695,4822729.07
WUSDTSWAP,1440,20250418,030000,0.06695,0.07384,0.06648,0.07099,6476802.99
WUSDTSWAP,1440,20250419,030000,0.071,0.07399,0.07007,0.07347,2566915.26
WUSDTSWAP,1440,20250420,030000,0.07346,0.08094,0.07203,0.07964,5116407.61
WUSDTSWAP,1440,20250421,030000,0.07963,0.08891,0.07667,0.07738,17254849.91
WUSDTSWAP,1440,20250422,030000,0.07737,0.08137,0.07486,0.08097,8013211.67
WUSDTSWAP,1440,20250423,030000,0.08096,0.08425,0.08023,0.08173,7441437.27
