<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WUSDTSWAP,60,20250531,190000,0.07715,0.07864,0.07684,0.07782,232557.95
WUSDTSWAP,60,20250531,200000,0.07782,0.07827,0.07704,0.07717,200380.82
WUSDTSWAP,60,20250531,210000,0.07716,0.07854,0.077,0.07854,132188.04
WUSDTSWAP,60,20250531,220000,0.07852,0.07937,0.07826,0.07907,188903.34
WUSDTSWAP,60,20250531,230000,0.07906,0.07918,0.07853,0.07894,114887.3
WUSDTSWAP,60,20250601,000000,0.07895,0.07966,0.07884,0.07914,246411.79
WUSDTSWAP,60,20250601,010000,0.07915,0.07917,0.07835,0.07857,154253.46
WUSDTSWAP,60,20250601,020000,0.07854,0.07899,0.07792,0.07817,138391.56
WUSDTSWAP,60,20250601,030000,0.07816,0.07821,0.07691,0.07778,227833.12
WUSDTSWAP,60,20250601,040000,0.07776,0.0785,0.07697,0.07708,102624.3
WUSDTSWAP,60,20250601,050000,0.07707,0.07802,0.07657,0.07777,162466.33
WUSDTSWAP,60,20250601,060000,0.07778,0.0778,0.0767,0.07724,97509.21
WUSDTSWAP,60,20250601,070000,0.07722,0.07848,0.07711,0.07818,127498.87
WUSDTSWAP,60,20250601,080000,0.07824,0.07872,0.078,0.07846,117688.06
WUSDTSWAP,60,20250601,090000,0.07846,0.07887,0.07799,0.07839,93918.66
WUSDTSWAP,60,20250601,100000,0.07838,0.0784,0.07766,0.07837,93212.32
WUSDTSWAP,60,20250601,110000,0.07836,0.07845,0.07727,0.07754,89229.39
WUSDTSWAP,60,20250601,120000,0.07755,0.07785,0.07594,0.0765,186443.54
WUSDTSWAP,60,20250601,130000,0.07652,0.07728,0.0763,0.07724,100510.47
WUSDTSWAP,60,20250601,140000,0.07724,0.07813,0.07689,0.07769,106155.49
WUSDTSWAP,60,20250601,150000,0.07768,0.07788,0.07684,0.07731,101019.66
WUSDTSWAP,60,20250601,160000,0.07733,0.07862,0.0772,0.07811,134920.05
WUSDTSWAP,60,20250601,170000,0.07813,0.07988,0.0781,0.07931,189915.67
WUSDTSWAP,60,20250601,180000,0.07931,0.07994,0.07925,0.07954,167722.65
WUSDTSWAP,60,20250601,190000,0.07954,0.08146,0.07923,0.08039,321995.74
WUSDTSWAP,60,20250601,200000,0.08041,0.08087,0.08003,0.08041,153570.4
WUSDTSWAP,60,20250601,210000,0.08044,0.08048,0.07865,0.07977,224523.81
WUSDTSWAP,60,20250601,220000,0.07976,0.08012,0.07963,0.08002,63673.52
WUSDTSWAP,60,20250601,230000,0.08003,0.0808,0.07971,0.08037,72489.81
WUSDTSWAP,60,20250602,000000,0.08038,0.08132,0.08025,0.08113,50463.77
WUSDTSWAP,60,20250602,010000,0.08113,0.08171,0.08083,0.08093,72664.9
WUSDTSWAP,60,20250602,020000,0.08093,0.08185,0.08093,0.08157,116890.19
WUSDTSWAP,60,20250602,030000,0.08156,0.08211,0.08098,0.0817,153226.77
WUSDTSWAP,60,20250602,040000,0.08167,0.08256,0.08149,0.0815,142486.38
WUSDTSWAP,60,20250602,050000,0.08155,0.08169,0.08088,0.08118,154842.49
WUSDTSWAP,60,20250602,060000,0.08119,0.08122,0.08032,0.08059,125247.27
WUSDTSWAP,60,20250602,070000,0.08059,0.08074,0.07958,0.07963,175898.07
WUSDTSWAP,60,20250602,080000,0.07964,0.07997,0.07869,0.0793,224168.92
WUSDTSWAP,60,20250602,090000,0.07931,0.08048,0.07884,0.08009,146783.62
WUSDTSWAP,60,20250602,100000,0.08007,0.08092,0.08002,0.08025,115107.51
WUSDTSWAP,60,20250602,110000,0.08024,0.08097,0.07947,0.07963,138440.8
WUSDTSWAP,60,20250602,120000,0.07963,0.07963,0.07789,0.07822,801293.12
WUSDTSWAP,60,20250602,130000,0.07822,0.07844,0.07766,0.07821,204887.9
WUSDTSWAP,60,20250602,140000,0.0782,0.07864,0.07779,0.07839,112006.25
WUSDTSWAP,60,20250602,150000,0.0784,0.07883,0.07773,0.07866,107281.38
WUSDTSWAP,60,20250602,160000,0.07866,0.07939,0.07795,0.07819,170652.32
WUSDTSWAP,60,20250602,170000,0.0782,0.07961,0.07791,0.07905,167839.64
WUSDTSWAP,60,20250602,180000,0.07908,0.07965,0.07839,0.07916,101966.7
WUSDTSWAP,60,20250602,190000,0.07918,0.07976,0.07857,0.07948,248859.02
WUSDTSWAP,60,20250602,200000,0.07948,0.08006,0.07907,0.07993,99628.18
WUSDTSWAP,60,20250602,210000,0.07994,0.08092,0.07954,0.07964,120767.04
WUSDTSWAP,60,20250602,220000,0.07965,0.07991,0.07845,0.07894,132049.98
WUSDTSWAP,60,20250602,230000,0.079,0.08051,0.079,0.0804,152239.32
WUSDTSWAP,60,20250603,000000,0.08037,0.08135,0.08036,0.08129,105912.55
WUSDTSWAP,60,20250603,010000,0.0813,0.08236,0.08129,0.08176,133561.27
WUSDTSWAP,60,20250603,020000,0.08177,0.08218,0.08151,0.08156,122423.35
WUSDTSWAP,60,20250603,030000,0.08158,0.08296,0.08135,0.0826,129727.54
WUSDTSWAP,60,20250603,040000,0.0826,0.08414,0.08246,0.08404,154791.16
WUSDTSWAP,60,20250603,050000,0.08404,0.08437,0.0828,0.08314,151973.06
WUSDTSWAP,60,20250603,060000,0.08314,0.08324,0.08216,0.08247,131942.93
WUSDTSWAP,60,20250603,070000,0.08247,0.08254,0.08164,0.08191,129933.96
WUSDTSWAP,60,20250603,080000,0.08192,0.08314,0.08192,0.08305,82980.29
WUSDTSWAP,60,20250603,090000,0.08305,0.08353,0.08264,0.08334,144581.08
WUSDTSWAP,60,20250603,100000,0.08333,0.08356,0.08284,0.08293,56977.55
WUSDTSWAP,60,20250603,110000,0.08294,0.0831,0.08203,0.08292,87718.84
WUSDTSWAP,60,20250603,120000,0.08293,0.0833,0.08285,0.08293,102560.11
WUSDTSWAP,60,20250603,130000,0.08293,0.08315,0.08274,0.08315,49723.42
WUSDTSWAP,60,20250603,140000,0.08313,0.08371,0.08303,0.08343,123744.82
WUSDTSWAP,60,20250603,150000,0.08345,0.08445,0.08308,0.08414,133421.7
WUSDTSWAP,60,20250603,160000,0.08417,0.08499,0.08389,0.08445,162159.06
WUSDTSWAP,60,20250603,170000,0.08446,0.08527,0.08365,0.08519,170155.31
WUSDTSWAP,60,20250603,180000,0.08518,0.08534,0.08414,0.08434,97762.96
WUSDTSWAP,60,20250603,190000,0.08436,0.08442,0.08342,0.08366,169822.84
WUSDTSWAP,60,20250603,200000,0.08365,0.08472,0.08359,0.08447,83884.05
WUSDTSWAP,60,20250603,210000,0.08446,0.08446,0.08354,0.08414,78811.74
WUSDTSWAP,60,20250603,220000,0.08407,0.08489,0.08402,0.08417,77382.65
WUSDTSWAP,60,20250603,230000,0.0842,0.0843,0.08257,0.08318,127469.45
WUSDTSWAP,60,20250604,000000,0.08319,0.08322,0.08195,0.0822,122162.93
WUSDTSWAP,60,20250604,010000,0.0822,0.08282,0.08196,0.08257,75973.35
WUSDTSWAP,60,20250604,020000,0.08258,0.08275,0.08181,0.08194,56151.43
WUSDTSWAP,60,20250604,030000,0.08195,0.08271,0.08157,0.08248,99787.89
WUSDTSWAP,60,20250604,040000,0.08248,0.08347,0.08236,0.08242,95065.13
WUSDTSWAP,60,20250604,050000,0.08242,0.0829,0.08198,0.08204,67449.31
WUSDTSWAP,60,20250604,060000,0.08205,0.0831,0.082,0.08258,100549.98
WUSDTSWAP,60,20250604,070000,0.0826,0.08286,0.08234,0.08268,75992.0
