<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
WUSDTSWAP,3,20250604,172700,0.08064,0.08064,0.08055,0.08059,3108.11
WUSDTSWAP,3,20250604,173000,0.08059,0.08063,0.08051,0.08063,2629.25
WUSDTSWAP,3,20250604,173300,0.08064,0.08085,0.08062,0.08069,6263.07
WUSDTSWAP,3,20250604,173600,0.08068,0.08068,0.08053,0.08054,4841.45
WUSDTSWAP,3,20250604,173900,0.08057,0.0808,0.08057,0.08077,480.04
WUSDTSWAP,3,20250604,174200,0.08077,0.08082,0.08064,0.0808,2169.56
WUSDTSWAP,3,20250604,174500,0.0808,0.08097,0.08073,0.08097,4364.65
WUSDTSWAP,3,20250604,174800,0.08099,0.08116,0.08099,0.08103,3180.56
WUSDTSWAP,3,20250604,175100,0.08102,0.0811,0.0809,0.0811,3132.96
WUSDTSWAP,3,20250604,175400,0.08112,0.08152,0.08112,0.08147,12234.52
WUSDTSWAP,3,20250604,175700,0.08147,0.0816,0.08139,0.08159,11704.63
WUSDTSWAP,3,20250604,180000,0.08159,0.08165,0.08145,0.08158,9792.35
WUSDTSWAP,3,20250604,180300,0.08157,0.08168,0.08156,0.08164,6173.87
WUSDTSWAP,3,20250604,180600,0.08163,0.08193,0.08161,0.08164,12732.32
WUSDTSWAP,3,20250604,180900,0.08167,0.08185,0.08167,0.08182,1463.93
WUSDTSWAP,3,20250604,181200,0.08182,0.08199,0.08178,0.0819,2573.16
WUSDTSWAP,3,20250604,181500,0.08195,0.0824,0.08195,0.08225,8952.46
WUSDTSWAP,3,20250604,181800,0.08225,0.08232,0.08213,0.08218,6016.26
WUSDTSWAP,3,20250604,182100,0.08215,0.08222,0.08206,0.08222,8255.66
WUSDTSWAP,3,20250604,182400,0.0822,0.08229,0.08212,0.08212,8603.46
WUSDTSWAP,3,20250604,182700,0.0821,0.08223,0.0821,0.08211,1075.67
WUSDTSWAP,3,20250604,183000,0.08213,0.08217,0.08192,0.08208,2475.97
WUSDTSWAP,3,20250604,183300,0.08208,0.08215,0.08197,0.08197,1558.04
WUSDTSWAP,3,20250604,183600,0.08198,0.08238,0.08198,0.08236,5357.47
WUSDTSWAP,3,20250604,183900,0.08233,0.08245,0.08228,0.08241,905.55
WUSDTSWAP,3,20250604,184200,0.08242,0.08242,0.08215,0.08227,10504.76
WUSDTSWAP,3,20250604,184500,0.08227,0.08234,0.08202,0.08202,2385.75
WUSDTSWAP,3,20250604,184800,0.08202,0.08207,0.08187,0.08196,8957.57
WUSDTSWAP,3,20250604,185100,0.08195,0.08207,0.08191,0.08199,7622.5
WUSDTSWAP,3,20250604,185400,0.082,0.08213,0.08193,0.08206,4602.09
WUSDTSWAP,3,20250604,185700,0.08204,0.08206,0.08184,0.08195,1821.78
WUSDTSWAP,3,20250604,190000,0.08195,0.08202,0.08176,0.0818,8280.31
WUSDTSWAP,3,20250604,190300,0.08185,0.0819,0.08175,0.08175,8154.96
WUSDTSWAP,3,20250604,190600,0.08173,0.08176,0.08154,0.08155,2847.31
WUSDTSWAP,3,20250604,190900,0.08156,0.08175,0.08156,0.08169,3973.11
WUSDTSWAP,3,20250604,191200,0.0817,0.08173,0.0816,0.08164,1726.16
WUSDTSWAP,3,20250604,191500,0.08163,0.08163,0.08132,0.08133,4365.82
WUSDTSWAP,3,20250604,191800,0.08132,0.08143,0.08122,0.08142,5363.79
WUSDTSWAP,3,20250604,192100,0.08143,0.08143,0.08117,0.08117,2658.45
WUSDTSWAP,3,20250604,192400,0.08117,0.0812,0.08112,0.08113,4389.75
WUSDTSWAP,3,20250604,192700,0.08111,0.08117,0.08111,0.08113,5374.51
WUSDTSWAP,3,20250604,193000,0.08112,0.08116,0.08107,0.08115,7954.87
WUSDTSWAP,3,20250604,193300,0.08117,0.08131,0.08117,0.08125,3234.46
WUSDTSWAP,3,20250604,193600,0.08126,0.08127,0.08103,0.08109,3342.47
WUSDTSWAP,3,20250604,193900,0.08109,0.08119,0.08108,0.0811,1677.91
WUSDTSWAP,3,20250604,194200,0.08107,0.08111,0.08099,0.08103,2446.85
WUSDTSWAP,3,20250604,194500,0.08103,0.08109,0.08089,0.08096,3536.55
WUSDTSWAP,3,20250604,194800,0.08096,0.08116,0.08094,0.08115,5399.55
WUSDTSWAP,3,20250604,195100,0.08112,0.0812,0.0811,0.08117,11282.9
WUSDTSWAP,3,20250604,195400,0.08118,0.08128,0.08109,0.08111,2966.07
WUSDTSWAP,3,20250604,195700,0.08112,0.08112,0.08094,0.08108,3501.71
WUSDTSWAP,3,20250604,200000,0.08111,0.08115,0.08091,0.08092,8347.52
WUSDTSWAP,3,20250604,200300,0.0809,0.08099,0.08082,0.08088,6144.52
WUSDTSWAP,3,20250604,200600,0.08089,0.08089,0.08077,0.08084,5389.13
WUSDTSWAP,3,20250604,200900,0.08083,0.08083,0.08062,0.08066,4587.43
WUSDTSWAP,3,20250604,201200,0.08066,0.08079,0.08066,0.08071,945.34
WUSDTSWAP,3,20250604,201500,0.08071,0.08073,0.0805,0.08059,8664.94
WUSDTSWAP,3,20250604,201800,0.08057,0.08067,0.08057,0.08067,1700.99
WUSDTSWAP,3,20250604,202100,0.08068,0.08073,0.08062,0.08069,1272.32
WUSDTSWAP,3,20250604,202400,0.08065,0.08067,0.08041,0.08052,4973.93
WUSDTSWAP,3,20250604,202700,0.08049,0.08059,0.08034,0.08036,5795.28
WUSDTSWAP,3,20250604,203000,0.08035,0.08035,0.08004,0.08007,6392.08
WUSDTSWAP,3,20250604,203300,0.08008,0.08022,0.07996,0.08011,21567.31
