<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XRPUSDTSWAP,1440,20250225,030000,2.278,2.3666,2.0635,2.3219,19369900.84
XRPUSDTSWAP,1440,20250226,030000,2.322,2.3315,2.15,2.1983,10880781.26
XRPUSDTSWAP,1440,20250227,030000,2.1982,2.2576,2.1459,2.1984,5599385.66
XRPUSDTSWAP,1440,20250228,030000,2.1985,2.2017,1.9515,2.1457,12089180.15
XRPUSDTSWAP,1440,20250301,030000,2.1458,2.2195,2.1208,2.1912,4259471.26
XRPUSDTSWAP,1440,20250302,030000,2.1913,3.0096,2.1738,2.9389,28014529.74
XRPUSDTSWAP,1440,20250303,030000,2.9389,2.968,2.2979,2.3864,28305546.39
XRPUSDTSWAP,1440,20250304,030000,2.3865,2.5392,2.2121,2.4544,17433354.63
XRPUSDTSWAP,1440,20250305,030000,2.4543,2.5414,2.408,2.4998,6780098.78
XRPUSDTSWAP,1440,20250306,030000,2.4998,2.6465,2.4693,2.6,8859243.98
XRPUSDTSWAP,1440,20250307,030000,2.5999,2.6218,2.3421,2.3851,15378812.76
XRPUSDTSWAP,1440,20250308,030000,2.3851,2.4099,2.3018,2.3254,4347491.21
XRPUSDTSWAP,1440,20250309,030000,2.3255,2.351,2.0826,2.1384,9040504.45
XRPUSDTSWAP,1440,20250310,030000,2.1385,2.261,1.992,2.0215,11205944.23
XRPUSDTSWAP,1440,20250311,030000,2.0215,2.2136,1.898,2.1711,10552091.0
XRPUSDTSWAP,1440,20250312,030000,2.171,2.277,2.1322,2.2398,8471523.36
XRPUSDTSWAP,1440,20250313,030000,2.2398,2.3472,2.2129,2.2522,6770112.95
XRPUSDTSWAP,1440,20250314,030000,2.2523,2.3891,2.2357,2.3565,5645012.85
XRPUSDTSWAP,1440,20250315,030000,2.3565,2.4761,2.3521,2.3912,5477045.94
XRPUSDTSWAP,1440,20250316,030000,2.3912,2.4109,2.2668,2.2941,6615639.35
XRPUSDTSWAP,1440,20250317,030000,2.294,2.3788,2.2916,2.3378,4804973.7
XRPUSDTSWAP,1440,20250318,030000,2.3377,2.3395,2.2217,2.2848,5786529.71
XRPUSDTSWAP,1440,20250319,030000,2.2847,2.589,2.2651,2.5473,16269422.43
XRPUSDTSWAP,1440,20250320,030000,2.5473,2.5637,2.386,2.4356,9043629.57
XRPUSDTSWAP,1440,20250321,030000,2.4357,2.467,2.356,2.3804,6522065.34
XRPUSDTSWAP,1440,20250322,030000,2.3804,2.4166,2.3584,2.3709,2775820.86
XRPUSDTSWAP,1440,20250323,030000,2.3708,2.4412,2.3653,2.4387,3025217.02
XRPUSDTSWAP,1440,20250324,030000,2.4387,2.5046,2.4133,2.4496,4800220.19
XRPUSDTSWAP,1440,20250325,030000,2.4495,2.4788,2.4067,2.4494,4302238.95
XRPUSDTSWAP,1440,20250326,030000,2.4493,2.482,2.3269,2.3488,5179035.69
XRPUSDTSWAP,1440,20250327,030000,2.3487,2.3895,2.3004,2.341,4530766.43
XRPUSDTSWAP,1440,20250328,030000,2.341,2.3438,2.1529,2.2066,7493735.61
XRPUSDTSWAP,1440,20250329,030000,2.2065,2.2248,2.0604,2.1345,8497466.21
XRPUSDTSWAP,1440,20250330,030000,2.1347,2.2137,2.107,2.1367,6359023.82
XRPUSDTSWAP,1440,20250331,030000,2.1368,2.1422,2.0234,2.0898,9566485.61
XRPUSDTSWAP,1440,20250401,030000,2.0898,2.2,2.0645,2.1386,8301137.64
XRPUSDTSWAP,1440,20250402,030000,2.1386,2.2355,1.984,2.0221,11965231.67
XRPUSDTSWAP,1440,20250403,030000,2.0221,2.0817,1.9587,2.0643,8883287.02
XRPUSDTSWAP,1440,20250404,030000,2.0644,2.166,2.0158,2.1305,10120151.64
XRPUSDTSWAP,1440,20250405,030000,2.1305,2.1769,2.1139,2.1449,3401057.04
XRPUSDTSWAP,1440,20250406,030000,2.1448,2.1598,1.8627,1.9213,10043359.99
XRPUSDTSWAP,1440,20250407,030000,1.9213,2.0059,1.6136,1.8988,27222603.78
XRPUSDTSWAP,1440,20250408,030000,1.8987,1.9755,1.7772,1.7965,12275158.84
XRPUSDTSWAP,1440,20250409,030000,1.7967,2.0906,1.7217,2.0531,16116398.69
XRPUSDTSWAP,1440,20250410,030000,2.0531,2.0573,1.9221,1.9656,8757602.2
XRPUSDTSWAP,1440,20250411,030000,1.9656,2.065,1.9474,2.0227,5552135.18
XRPUSDTSWAP,1440,20250412,030000,2.0227,2.1862,2.0035,2.1598,5651040.38
XRPUSDTSWAP,1440,20250413,030000,2.1599,2.2472,2.081,2.1193,8145905.48
XRPUSDTSWAP,1440,20250414,030000,2.1193,2.1809,2.1034,2.1274,5320378.73
XRPUSDTSWAP,1440,20250415,030000,2.1272,2.1868,2.084,2.0844,4332273.2
XRPUSDTSWAP,1440,20250416,030000,2.0844,2.1293,2.0357,2.0837,5488677.81
XRPUSDTSWAP,1440,20250417,030000,2.0837,2.115,2.0519,2.0671,4153837.26
XRPUSDTSWAP,1440,20250418,030000,2.0671,2.0906,2.0431,2.0616,3366538.61
XRPUSDTSWAP,1440,20250419,030000,2.0616,2.0979,2.0585,2.0878,2416870.33
XRPUSDTSWAP,1440,20250420,030000,2.0878,2.0949,2.0378,2.0786,3017583.77
XRPUSDTSWAP,1440,20250421,030000,2.0787,2.1426,2.0592,2.0856,3910599.82
XRPUSDTSWAP,1440,20250422,030000,2.0856,2.2513,2.0629,2.2144,6137722.46
XRPUSDTSWAP,1440,20250423,030000,2.2145,2.3013,2.1849,2.2184,7700957.45
XRPUSDTSWAP,1440,20250424,030000,2.2184,2.2354,2.1143,2.2046,6828356.79
XRPUSDTSWAP,1440,20250425,030000,2.2046,2.2198,2.1618,2.1804,4964807.19
XRPUSDTSWAP,1440,20250426,030000,2.1804,2.2479,2.1788,2.1903,3372426.12
XRPUSDTSWAP,1440,20250427,030000,2.1903,2.2946,2.1576,2.2514,5911657.59
XRPUSDTSWAP,1440,20250428,030000,2.2514,2.363,2.217,2.2942,7524773.8
XRPUSDTSWAP,1440,20250429,030000,2.2942,2.314,2.2202,2.2364,4114452.05
XRPUSDTSWAP,1440,20250430,030000,2.2364,2.2576,2.1208,2.1898,5139234.27
XRPUSDTSWAP,1440,20250501,030000,2.1898,2.2559,2.1858,2.211,2950439.58
XRPUSDTSWAP,1440,20250502,030000,2.211,2.2408,2.1892,2.2081,3111631.3
XRPUSDTSWAP,1440,20250503,030000,2.2081,2.2191,2.1734,2.186,2088478.48
XRPUSDTSWAP,1440,20250504,030000,2.186,2.2183,2.1491,2.1548,2552992.92
XRPUSDTSWAP,1440,20250505,030000,2.1547,2.199,2.105,2.1294,3899616.18
XRPUSDTSWAP,1440,20250506,030000,2.1293,2.1585,2.0762,2.1537,3691949.39
XRPUSDTSWAP,1440,20250507,030000,2.1538,2.1708,2.1027,2.1254,2943598.8
XRPUSDTSWAP,1440,20250508,030000,2.1255,2.3301,2.1167,2.3271,5991593.65
XRPUSDTSWAP,1440,20250509,030000,2.3271,2.4311,2.2818,2.3438,8276395.28
XRPUSDTSWAP,1440,20250510,030000,2.3438,2.4777,2.3351,2.4716,5622856.92
XRPUSDTSWAP,1440,20250511,030000,2.4715,2.4853,2.3268,2.3663,6123250.79
XRPUSDTSWAP,1440,20250512,030000,2.3663,2.656,2.3505,2.5438,17367759.49
XRPUSDTSWAP,1440,20250513,030000,2.5438,2.6048,2.4204,2.5821,11134320.79
XRPUSDTSWAP,1440,20250514,030000,2.582,2.6522,2.5186,2.5498,8276344.63
