<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XRPUSDTSWAP,60,20250531,190000,2.1717,2.1898,2.1688,2.1897,140104.6
XRPUSDTSWAP,60,20250531,200000,2.1897,2.2025,2.1803,2.1837,186007.61
XRPUSDTSWAP,60,20250531,210000,2.1837,2.1942,2.183,2.1877,83916.32
XRPUSDTSWAP,60,20250531,220000,2.1877,2.2056,2.1877,2.1909,95927.56
XRPUSDTSWAP,60,20250531,230000,2.191,2.1978,2.1882,2.1914,54816.96
XRPUSDTSWAP,60,20250601,000000,2.1915,2.199,2.1891,2.1936,65267.71
XRPUSDTSWAP,60,20250601,010000,2.1937,2.1952,2.1762,2.1774,85417.63
XRPUSDTSWAP,60,20250601,020000,2.1775,2.1876,2.1711,2.1729,104558.19
XRPUSDTSWAP,60,20250601,030000,2.173,2.1735,2.1628,2.171,72817.06
XRPUSDTSWAP,60,20250601,040000,2.1711,2.1774,2.1562,2.1594,92184.73
XRPUSDTSWAP,60,20250601,050000,2.1594,2.1629,2.1481,2.1584,108756.32
XRPUSDTSWAP,60,20250601,060000,2.1585,2.1637,2.1481,2.1623,69355.54
XRPUSDTSWAP,60,20250601,070000,2.1624,2.1752,2.1568,2.1711,63991.25
XRPUSDTSWAP,60,20250601,080000,2.1712,2.1753,2.167,2.1694,42888.15
XRPUSDTSWAP,60,20250601,090000,2.1694,2.17,2.1591,2.1619,43481.37
XRPUSDTSWAP,60,20250601,100000,2.1619,2.1627,2.1536,2.158,76642.81
XRPUSDTSWAP,60,20250601,110000,2.1579,2.1592,2.1419,2.147,132030.59
XRPUSDTSWAP,60,20250601,120000,2.1471,2.1492,2.1203,2.1319,213704.94
XRPUSDTSWAP,60,20250601,130000,2.1318,2.1408,2.1225,2.1403,88624.32
XRPUSDTSWAP,60,20250601,140000,2.1402,2.1468,2.1352,2.1397,75365.99
XRPUSDTSWAP,60,20250601,150000,2.1397,2.1397,2.1241,2.1306,88278.82
XRPUSDTSWAP,60,20250601,160000,2.1306,2.1421,2.1284,2.1387,142637.56
XRPUSDTSWAP,60,20250601,170000,2.1386,2.1528,2.1386,2.1448,79212.91
XRPUSDTSWAP,60,20250601,180000,2.1448,2.1547,2.1411,2.151,58866.12
XRPUSDTSWAP,60,20250601,190000,2.1509,2.1733,2.1482,2.1675,210583.63
XRPUSDTSWAP,60,20250601,200000,2.1675,2.1755,2.1649,2.1706,71314.2
XRPUSDTSWAP,60,20250601,210000,2.1706,2.171,2.1438,2.1562,121822.02
XRPUSDTSWAP,60,20250601,220000,2.1563,2.1667,2.1532,2.1662,59204.36
XRPUSDTSWAP,60,20250601,230000,2.1662,2.1687,2.1536,2.1542,47569.43
XRPUSDTSWAP,60,20250602,000000,2.1541,2.1749,2.1523,2.1709,71420.46
XRPUSDTSWAP,60,20250602,010000,2.1708,2.1796,2.1683,2.1714,58470.63
XRPUSDTSWAP,60,20250602,020000,2.1714,2.1867,2.1714,2.1779,99541.88
XRPUSDTSWAP,60,20250602,030000,2.178,2.18,2.1658,2.1696,72271.29
XRPUSDTSWAP,60,20250602,040000,2.1698,2.1821,2.163,2.163,59599.52
XRPUSDTSWAP,60,20250602,050000,2.1631,2.1703,2.1559,2.1588,79602.86
XRPUSDTSWAP,60,20250602,060000,2.1588,2.1608,2.1492,2.1566,210628.91
XRPUSDTSWAP,60,20250602,070000,2.1565,2.1732,2.1563,2.1686,60968.72
XRPUSDTSWAP,60,20250602,080000,2.1687,2.1747,2.1634,2.1685,69339.48
XRPUSDTSWAP,60,20250602,090000,2.1685,2.1726,2.1563,2.1662,109919.96
XRPUSDTSWAP,60,20250602,100000,2.1661,2.1786,2.1608,2.1625,86730.12
XRPUSDTSWAP,60,20250602,110000,2.1624,2.1785,2.1607,2.1625,126314.58
XRPUSDTSWAP,60,20250602,120000,2.1626,2.163,2.1471,2.1519,139308.64
XRPUSDTSWAP,60,20250602,130000,2.1519,2.158,2.1408,2.1452,177802.55
XRPUSDTSWAP,60,20250602,140000,2.1453,2.1485,2.133,2.1415,95385.25
XRPUSDTSWAP,60,20250602,150000,2.1415,2.152,2.1364,2.1507,130654.05
XRPUSDTSWAP,60,20250602,160000,2.1508,2.1544,2.1378,2.1418,99258.02
XRPUSDTSWAP,60,20250602,170000,2.1417,2.159,2.1358,2.1486,131335.28
XRPUSDTSWAP,60,20250602,180000,2.1486,2.1627,2.1419,2.1582,71124.87
XRPUSDTSWAP,60,20250602,190000,2.1583,2.1641,2.148,2.162,64593.19
XRPUSDTSWAP,60,20250602,200000,2.162,2.1757,2.1616,2.1677,115837.88
XRPUSDTSWAP,60,20250602,210000,2.1677,2.1775,2.1632,2.1648,74364.57
XRPUSDTSWAP,60,20250602,220000,2.1648,2.1725,2.1552,2.1643,67045.13
XRPUSDTSWAP,60,20250602,230000,2.1643,2.1841,2.1643,2.1756,106057.26
XRPUSDTSWAP,60,20250603,000000,2.1756,2.1853,2.1739,2.1849,102692.24
XRPUSDTSWAP,60,20250603,010000,2.185,2.2039,2.185,2.1895,250484.42
XRPUSDTSWAP,60,20250603,020000,2.1896,2.203,2.1881,2.1958,181390.12
XRPUSDTSWAP,60,20250603,030000,2.1959,2.2092,2.1916,2.203,104291.06
XRPUSDTSWAP,60,20250603,040000,2.2031,2.2186,2.2031,2.2174,102629.45
XRPUSDTSWAP,60,20250603,050000,2.2173,2.2213,2.1973,2.199,140289.26
XRPUSDTSWAP,60,20250603,060000,2.1989,2.2009,2.1851,2.1951,98118.57
XRPUSDTSWAP,60,20250603,070000,2.1951,2.1966,2.1868,2.1894,69070.95
XRPUSDTSWAP,60,20250603,080000,2.1895,2.2047,2.1895,2.2027,93974.11
XRPUSDTSWAP,60,20250603,090000,2.2028,2.2062,2.1952,2.2013,87894.83
XRPUSDTSWAP,60,20250603,100000,2.2013,2.2024,2.1879,2.1893,65986.23
XRPUSDTSWAP,60,20250603,110000,2.1893,2.1955,2.1825,2.1905,123179.15
XRPUSDTSWAP,60,20250603,120000,2.1905,2.2,2.1881,2.198,62846.52
XRPUSDTSWAP,60,20250603,130000,2.1981,2.2011,2.1933,2.2006,45705.82
XRPUSDTSWAP,60,20250603,140000,2.2007,2.2148,2.2004,2.2136,141469.95
XRPUSDTSWAP,60,20250603,150000,2.2136,2.2239,2.2069,2.2238,103181.61
XRPUSDTSWAP,60,20250603,160000,2.2238,2.23,2.205,2.2143,173523.16
XRPUSDTSWAP,60,20250603,170000,2.2143,2.2382,2.2051,2.2362,171313.57
XRPUSDTSWAP,60,20250603,180000,2.2362,2.2744,2.2293,2.2619,420714.11
XRPUSDTSWAP,60,20250603,190000,2.2619,2.2712,2.2478,2.2531,264890.86
XRPUSDTSWAP,60,20250603,200000,2.253,2.2599,2.2432,2.2472,107711.58
XRPUSDTSWAP,60,20250603,210000,2.2472,2.263,2.2392,2.2593,99744.08
XRPUSDTSWAP,60,20250603,220000,2.2593,2.2809,2.2552,2.2799,136600.24
XRPUSDTSWAP,60,20250603,230000,2.28,2.2806,2.2413,2.2529,209432.57
XRPUSDTSWAP,60,20250604,000000,2.253,2.2702,2.2331,2.2404,147467.86
XRPUSDTSWAP,60,20250604,010000,2.2405,2.2643,2.2365,2.2578,109602.89
XRPUSDTSWAP,60,20250604,020000,2.2578,2.2587,2.2415,2.2433,70480.21
XRPUSDTSWAP,60,20250604,030000,2.2432,2.2476,2.2285,2.2459,109954.44
XRPUSDTSWAP,60,20250604,040000,2.2459,2.2632,2.2459,2.2534,110593.84
XRPUSDTSWAP,60,20250604,050000,2.2534,2.2648,2.2452,2.2464,66504.05
XRPUSDTSWAP,60,20250604,060000,2.2463,2.2586,2.2463,2.2516,92774.48
XRPUSDTSWAP,60,20250604,070000,2.2515,2.2521,2.2422,2.243,57131.36
XRPUSDTSWAP,60,20250604,080000,2.2431,2.246,2.236,2.2367,90138.32
XRPUSDTSWAP,60,20250604,090000,2.2367,2.24,2.2303,2.234,60082.68
XRPUSDTSWAP,60,20250604,100000,2.2341,2.2388,2.2255,2.2329,82713.64
XRPUSDTSWAP,60,20250604,110000,2.2328,2.2501,2.2324,2.2476,96582.06
XRPUSDTSWAP,60,20250604,120000,2.2475,2.2617,2.246,2.2579,127284.87
XRPUSDTSWAP,60,20250604,130000,2.2579,2.2636,2.2527,2.2545,92229.91
XRPUSDTSWAP,60,20250604,140000,2.2544,2.2603,2.2464,2.252,92605.25
XRPUSDTSWAP,60,20250604,150000,2.2522,2.253,2.2345,2.2374,139682.16
XRPUSDTSWAP,60,20250604,160000,2.2373,2.2439,2.2301,2.2334,138493.61
XRPUSDTSWAP,60,20250604,170000,2.2333,2.2458,2.218,2.2454,267059.73
XRPUSDTSWAP,60,20250604,180000,2.2455,2.2605,2.2417,2.2483,237383.57
XRPUSDTSWAP,60,20250604,190000,2.2483,2.2513,2.2404,2.2441,67299.2
XRPUSDTSWAP,60,20250604,200000,2.2441,2.2442,2.2264,2.2325,111287.5
XRPUSDTSWAP,60,20250604,210000,2.2326,2.2371,2.2229,2.2238,66710.56
XRPUSDTSWAP,60,20250604,220000,2.2238,2.2263,2.2199,2.2217,35917.19
