<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XUSDTSWAP,1440,20250225,030000,0.00005311,0.00005698,0.00004911,0.00005611,1422.66
XUSDTSWAP,1440,20250226,030000,0.00005611,0.00005811,0.00005297,0.00005562,798.28
XUSDTSWAP,1440,20250227,030000,0.00005563,0.0000572,0.0000533,0.00005453,714.65
XUSDTSWAP,1440,20250228,030000,0.00005454,0.00005679,0.00005,0.00005528,874.88
XUSDTSWAP,1440,20250301,030000,0.00005526,0.00005569,0.00005257,0.00005417,488.71
XUSDTSWAP,1440,20250302,030000,0.00005418,0.00005964,0.00005345,0.00005923,861.45
XUSDTSWAP,1440,20250303,030000,0.00005922,0.00005933,0.00004878,0.00004996,976.6
XUSDTSWAP,1440,20250304,030000,0.00004996,0.00005215,0.00004601,0.00005118,872.06
XUSDTSWAP,1440,20250305,030000,0.00005117,0.0000529,0.00005009,0.0000511,322.25
XUSDTSWAP,1440,20250306,030000,0.0000511,0.00005241,0.00004884,0.00004954,452.08
XUSDTSWAP,1440,20250307,030000,0.00004953,0.00005091,0.00004703,0.00004774,510.21
XUSDTSWAP,1440,20250308,030000,0.00004774,0.00004833,0.00004555,0.00004701,297.12
XUSDTSWAP,1440,20250309,030000,0.000047,0.00004712,0.00004003,0.00004201,598.96
XUSDTSWAP,1440,20250310,030000,0.00004202,0.00004606,0.00003931,0.00004067,679.37
XUSDTSWAP,1440,20250311,030000,0.00004068,0.00004348,0.00003766,0.00004178,534.89
XUSDTSWAP,1440,20250312,030000,0.00004178,0.00004367,0.00004076,0.00004249,356.41
XUSDTSWAP,1440,20250313,030000,0.00004247,0.00004274,0.00004022,0.00004112,335.21
XUSDTSWAP,1440,20250314,030000,0.00004112,0.00004304,0.00004108,0.00004204,318.91
XUSDTSWAP,1440,20250315,030000,0.00004204,0.00004607,0.00004177,0.0000443,584.61
XUSDTSWAP,1440,20250316,030000,0.00004429,0.00004431,0.00004121,0.00004174,359.26
XUSDTSWAP,1440,20250317,030000,0.00004174,0.00008389,0.00004168,0.00008052,15313.02
XUSDTSWAP,1440,20250318,030000,0.00008053,0.00009999,0.0000705,0.00008825,77168.3
XUSDTSWAP,1440,20250319,030000,0.00008825,0.00012935,0.00008154,0.00012115,51847.91
XUSDTSWAP,1440,20250320,030000,0.00012115,0.00017343,0.00011108,0.00012492,103309.32
XUSDTSWAP,1440,20250321,030000,0.00012493,0.000148,0.000102,0.00010358,76213.75
XUSDTSWAP,1440,20250322,030000,0.00010355,0.00010813,0.00008304,0.00009644,53060.21
XUSDTSWAP,1440,20250323,030000,0.00009644,0.00009891,0.00008602,0.00008793,24292.15
XUSDTSWAP,1440,20250324,030000,0.00008792,0.00008949,0.00008064,0.00008422,16812.79
XUSDTSWAP,1440,20250325,030000,0.00008422,0.00008438,0.0000735,0.00007567,9594.65
XUSDTSWAP,1440,20250326,030000,0.00007568,0.00008123,0.00007054,0.00007326,7813.99
XUSDTSWAP,1440,20250327,030000,0.00007328,0.00007889,0.00007284,0.00007446,5704.18
XUSDTSWAP,1440,20250328,030000,0.00007445,0.00007948,0.00006561,0.00006631,9523.56
XUSDTSWAP,1440,20250329,030000,0.0000663,0.00007152,0.00006253,0.00006575,7835.29
XUSDTSWAP,1440,20250330,030000,0.00006575,0.00008607,0.0000642,0.00008183,16774.52
XUSDTSWAP,1440,20250331,030000,0.00008183,0.0000896,0.00007747,0.00008201,26990.41
XUSDTSWAP,1440,20250401,030000,0.00008202,0.00008637,0.00007664,0.00007823,12405.76
XUSDTSWAP,1440,20250402,030000,0.00007822,0.00007836,0.00006846,0.00006941,7430.71
XUSDTSWAP,1440,20250403,030000,0.00006942,0.00007214,0.00006602,0.000068,3112.29
XUSDTSWAP,1440,20250404,030000,0.00006801,0.00006888,0.00006437,0.00006604,3182.01
XUSDTSWAP,1440,20250405,030000,0.00006605,0.00007071,0.00006549,0.00006926,3763.92
XUSDTSWAP,1440,20250406,030000,0.00006926,0.00006926,0.00005901,0.00005971,4304.89
XUSDTSWAP,1440,20250407,030000,0.00005972,0.00006853,0.0000539,0.00006661,5211.39
XUSDTSWAP,1440,20250408,030000,0.00006661,0.00006662,0.00005987,0.00006079,3920.85
XUSDTSWAP,1440,20250409,030000,0.00006079,0.00007027,0.00005873,0.0000696,3925.79
XUSDTSWAP,1440,20250410,030000,0.00006961,0.00006962,0.00006221,0.00006652,2617.41
XUSDTSWAP,1440,20250411,030000,0.00006653,0.00007109,0.00006513,0.00006906,2878.63
XUSDTSWAP,1440,20250412,030000,0.00006906,0.00008113,0.00006727,0.00007496,5320.87
XUSDTSWAP,1440,20250413,030000,0.00007496,0.0000788,0.00006846,0.00006906,5585.27
XUSDTSWAP,1440,20250414,030000,0.00006906,0.00007314,0.00006674,0.00006869,3238.29
XUSDTSWAP,1440,20250415,030000,0.00006869,0.00006982,0.00006659,0.00006717,2040.63
XUSDTSWAP,1440,20250416,030000,0.00006717,0.00006869,0.00006427,0.00006526,1528.9
XUSDTSWAP,1440,20250417,030000,0.00006525,0.00006675,0.0000632,0.000065,989.64
XUSDTSWAP,1440,20250418,030000,0.00006501,0.00006836,0.00006484,0.00006667,1197.05
XUSDTSWAP,1440,20250419,030000,0.0000667,0.00006811,0.00006581,0.00006726,771.02
XUSDTSWAP,1440,20250420,030000,0.00006726,0.00006962,0.00006601,0.00006806,1115.38
XUSDTSWAP,1440,20250421,030000,0.00006807,0.00007021,0.00006737,0.00006824,1053.72
XUSDTSWAP,1440,20250422,030000,0.00006825,0.00007454,0.00006666,0.00007447,1322.52
XUSDTSWAP,1440,20250423,030000,0.00007447,0.00008271,0.00007443,0.00008056,3030.6
XUSDTSWAP,1440,20250424,030000,0.00008055,0.00008107,0.00007316,0.00007845,1692.27
XUSDTSWAP,1440,20250425,030000,0.00007842,0.00008598,0.00007659,0.00008083,2064.86
XUSDTSWAP,1440,20250426,030000,0.00008081,0.00008454,0.00007904,0.00008059,1090.55
XUSDTSWAP,1440,20250427,030000,0.00008061,0.00008078,0.00007463,0.00007521,1229.35
XUSDTSWAP,1440,20250428,030000,0.0000752,0.0000834,0.00007314,0.0000809,1753.26
XUSDTSWAP,1440,20250429,030000,0.00008088,0.00008116,0.0000752,0.00007575,1152.63
XUSDTSWAP,1440,20250430,030000,0.00007576,0.00007986,0.00007521,0.00007813,726.92
XUSDTSWAP,1440,20250501,030000,0.00007811,0.00007947,0.00007648,0.00007732,708.74
XUSDTSWAP,1440,20250502,030000,0.00007732,0.00007874,0.00007528,0.00007721,842.59
XUSDTSWAP,1440,20250503,030000,0.0000772,0.00007733,0.00007147,0.00007286,1003.27
XUSDTSWAP,1440,20250504,030000,0.00007285,0.00007329,0.00007005,0.0000712,699.78
XUSDTSWAP,1440,20250505,030000,0.0000712,0.00007279,0.00006986,0.00007111,563.47
XUSDTSWAP,1440,20250506,030000,0.00007113,0.00007186,0.0000667,0.00007014,750.18
XUSDTSWAP,1440,20250507,030000,0.00007016,0.00007123,0.0000684,0.00007101,454.19
XUSDTSWAP,1440,20250508,030000,0.00007101,0.00008459,0.00007093,0.00007958,2015.7
XUSDTSWAP,1440,20250509,030000,0.00007955,0.00009025,0.0000789,0.00008629,1981.98
XUSDTSWAP,1440,20250510,030000,0.00008625,0.00011,0.00008514,0.00010645,7060.52
XUSDTSWAP,1440,20250511,030000,0.00010641,0.00012413,0.0000979,0.00011142,11125.86
XUSDTSWAP,1440,20250512,030000,0.0001114,0.0001178,0.00009724,0.00010138,5669.19
XUSDTSWAP,1440,20250513,030000,0.0001014,0.00010755,0.00008841,0.00010316,4734.76
XUSDTSWAP,1440,20250514,030000,0.00010319,0.00010521,0.00009346,0.00009588,2228.32
XUSDTSWAP,1440,20250515,030000,0.00009591,0.00009748,0.00008526,0.00008799,2723.26
XUSDTSWAP,1440,20250516,030000,0.00008799,0.000091,0.00008314,0.0000849,1321.5
XUSDTSWAP,1440,20250517,030000,0.00008491,0.0000853,0.00007961,0.00008213,1480.56
XUSDTSWAP,1440,20250518,030000,0.00008212,0.00009738,0.00008183,0.00009123,2880.07
XUSDTSWAP,1440,20250519,030000,0.00009125,0.00009127,0.00008299,0.00008833,1215.84
XUSDTSWAP,1440,20250520,030000,0.00008832,0.00008969,0.00008346,0.00008738,784.25
XUSDTSWAP,1440,20250521,030000,0.00008739,0.0000911,0.0000854,0.00008909,1014.44
XUSDTSWAP,1440,20250522,030000,0.00008911,0.000093,0.00008911,0.00009217,949.35
XUSDTSWAP,1440,20250523,030000,0.00009218,0.00009556,0.00008245,0.00008321,2411.52
XUSDTSWAP,1440,20250524,030000,0.00008323,0.00008632,0.00008221,0.00008548,730.19
XUSDTSWAP,1440,20250525,030000,0.0000855,0.00009021,0.00007931,0.00008645,1896.23
XUSDTSWAP,1440,20250526,030000,0.00008646,0.00008755,0.00008263,0.0000849,887.17
XUSDTSWAP,1440,20250527,030000,0.00008494,0.00008785,0.00008251,0.00008618,534.73
XUSDTSWAP,1440,20250528,030000,0.00008615,0.00009059,0.00008414,0.00008681,845.65
XUSDTSWAP,1440,20250529,030000,0.00008682,0.00009022,0.00008368,0.00008519,1494.65
XUSDTSWAP,1440,20250530,030000,0.00008517,0.00008579,0.00007172,0.00007283,1580.07
XUSDTSWAP,1440,20250531,030000,0.00007282,0.00007646,0.00007045,0.00007621,518.48
XUSDTSWAP,1440,20250601,030000,0.00007622,0.00007776,0.00007418,0.00007716,419.42
XUSDTSWAP,1440,20250602,030000,0.00007719,0.00007816,0.00007421,0.00007709,413.66
XUSDTSWAP,1440,20250603,030000,0.00007714,0.00007908,0.0000752,0.0000754,483.17
XUSDTSWAP,1440,20250604,030000,0.00007541,0.00007675,0.00007341,0.00007392,278.28
