<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XUSDTSWAP,60,20250531,190000,0.00007439,0.00007561,0.00007409,0.00007516,21.94
XUSDTSWAP,60,20250531,200000,0.00007515,0.00007537,0.00007435,0.00007452,12.11
XUSDTSWAP,60,20250531,210000,0.0000745,0.00007534,0.0000744,0.00007501,8.74
XUSDTSWAP,60,20250531,220000,0.00007501,0.00007564,0.00007486,0.00007531,7.51
XUSDTSWAP,60,20250531,230000,0.00007534,0.00007586,0.00007523,0.00007578,8.22
XUSDTSWAP,60,20250601,000000,0.00007579,0.00007646,0.00007569,0.00007645,13.44
XUSDTSWAP,60,20250601,010000,0.0000764,0.0000764,0.00007583,0.00007584,9.71
XUSDTSWAP,60,20250601,020000,0.00007583,0.00007642,0.00007559,0.00007621,16.61
XUSDTSWAP,60,20250601,030000,0.00007622,0.00007744,0.00007509,0.0000767,76.4
XUSDTSWAP,60,20250601,040000,0.00007672,0.00007752,0.00007575,0.00007614,18.25
XUSDTSWAP,60,20250601,050000,0.00007613,0.00007676,0.00007536,0.00007654,14.52
XUSDTSWAP,60,20250601,060000,0.00007654,0.00007672,0.00007568,0.00007619,12.47
XUSDTSWAP,60,20250601,070000,0.00007619,0.0000769,0.00007587,0.00007659,11.24
XUSDTSWAP,60,20250601,080000,0.00007661,0.00007745,0.00007643,0.00007732,10.19
XUSDTSWAP,60,20250601,090000,0.00007732,0.0000774,0.00007671,0.00007679,11.53
XUSDTSWAP,60,20250601,100000,0.00007677,0.00007677,0.00007626,0.0000765,7.11
XUSDTSWAP,60,20250601,110000,0.0000765,0.0000766,0.00007571,0.0000759,7.99
XUSDTSWAP,60,20250601,120000,0.00007589,0.0000761,0.00007418,0.00007476,33.5
XUSDTSWAP,60,20250601,130000,0.00007472,0.00007546,0.00007469,0.0000753,20.27
XUSDTSWAP,60,20250601,140000,0.00007529,0.00007562,0.00007486,0.00007538,8.89
XUSDTSWAP,60,20250601,150000,0.00007539,0.00007543,0.00007449,0.00007483,13.81
XUSDTSWAP,60,20250601,160000,0.00007482,0.00007578,0.00007476,0.00007549,9.8
XUSDTSWAP,60,20250601,170000,0.00007548,0.00007671,0.00007544,0.00007605,15.26
XUSDTSWAP,60,20250601,180000,0.00007606,0.00007627,0.0000755,0.00007626,22.62
XUSDTSWAP,60,20250601,190000,0.00007623,0.00007717,0.000076,0.00007685,27.74
XUSDTSWAP,60,20250601,200000,0.00007685,0.00007688,0.00007611,0.00007636,21.2
XUSDTSWAP,60,20250601,210000,0.00007638,0.00007642,0.00007503,0.00007574,25.38
XUSDTSWAP,60,20250601,220000,0.00007576,0.00007615,0.00007559,0.00007613,6.59
XUSDTSWAP,60,20250601,230000,0.00007614,0.00007664,0.00007586,0.0000764,6.25
XUSDTSWAP,60,20250602,000000,0.0000764,0.00007707,0.00007636,0.00007705,8.45
XUSDTSWAP,60,20250602,010000,0.00007706,0.00007776,0.00007666,0.00007706,19.62
XUSDTSWAP,60,20250602,020000,0.00007706,0.00007741,0.00007686,0.00007716,10.12
XUSDTSWAP,60,20250602,030000,0.00007719,0.00007739,0.00007681,0.00007724,15.55
XUSDTSWAP,60,20250602,040000,0.00007725,0.00007774,0.00007689,0.00007696,8.31
XUSDTSWAP,60,20250602,050000,0.00007697,0.00007705,0.00007564,0.00007581,22.83
XUSDTSWAP,60,20250602,060000,0.00007583,0.00007589,0.00007482,0.00007526,32.16
XUSDTSWAP,60,20250602,070000,0.00007521,0.0000756,0.00007463,0.00007474,14.99
XUSDTSWAP,60,20250602,080000,0.00007475,0.00007548,0.00007449,0.00007511,15.16
XUSDTSWAP,60,20250602,090000,0.00007511,0.00007598,0.0000746,0.00007549,20.59
XUSDTSWAP,60,20250602,100000,0.00007549,0.0000762,0.00007544,0.00007575,12.69
XUSDTSWAP,60,20250602,110000,0.00007573,0.00007626,0.00007518,0.00007562,22.04
XUSDTSWAP,60,20250602,120000,0.00007562,0.00007572,0.00007474,0.00007482,31.56
XUSDTSWAP,60,20250602,130000,0.00007483,0.00007519,0.00007421,0.00007466,27.77
XUSDTSWAP,60,20250602,140000,0.00007466,0.00007513,0.00007439,0.00007488,5.55
XUSDTSWAP,60,20250602,150000,0.00007489,0.00007549,0.00007454,0.00007504,7.54
XUSDTSWAP,60,20250602,160000,0.00007505,0.00007586,0.00007464,0.00007481,12.27
XUSDTSWAP,60,20250602,170000,0.0000748,0.00007587,0.00007457,0.0000752,18.67
XUSDTSWAP,60,20250602,180000,0.00007521,0.00007559,0.00007468,0.00007516,8.32
XUSDTSWAP,60,20250602,190000,0.00007516,0.00007518,0.00007423,0.00007494,14.25
XUSDTSWAP,60,20250602,200000,0.00007495,0.00007548,0.00007469,0.00007543,13.61
XUSDTSWAP,60,20250602,210000,0.00007543,0.00007651,0.00007541,0.0000757,24.79
XUSDTSWAP,60,20250602,220000,0.00007573,0.00007593,0.00007445,0.00007508,7.49
XUSDTSWAP,60,20250602,230000,0.00007508,0.00007634,0.00007506,0.0000762,9.03
XUSDTSWAP,60,20250603,000000,0.00007617,0.00007756,0.00007617,0.00007737,18.46
XUSDTSWAP,60,20250603,010000,0.0000774,0.00007816,0.00007727,0.00007733,22.39
XUSDTSWAP,60,20250603,020000,0.00007737,0.00007764,0.00007708,0.00007709,19.78
XUSDTSWAP,60,20250603,030000,0.00007714,0.00007846,0.00007714,0.00007804,27.98
XUSDTSWAP,60,20250603,040000,0.00007804,0.0000789,0.0000779,0.00007884,13.5
XUSDTSWAP,60,20250603,050000,0.00007886,0.00007908,0.00007746,0.00007772,23.32
XUSDTSWAP,60,20250603,060000,0.00007771,0.00007814,0.00007731,0.00007775,42.86
XUSDTSWAP,60,20250603,070000,0.00007779,0.00007784,0.00007704,0.00007712,8.75
XUSDTSWAP,60,20250603,080000,0.00007713,0.00007794,0.00007711,0.00007777,32.67
XUSDTSWAP,60,20250603,090000,0.00007777,0.00007795,0.00007707,0.00007774,83.76
XUSDTSWAP,60,20250603,100000,0.00007774,0.00007775,0.00007721,0.00007723,8.54
XUSDTSWAP,60,20250603,110000,0.00007726,0.00007763,0.00007628,0.00007687,27.25
XUSDTSWAP,60,20250603,120000,0.00007686,0.0000774,0.00007643,0.0000772,16.66
XUSDTSWAP,60,20250603,130000,0.00007719,0.00007733,0.00007685,0.0000771,6.19
XUSDTSWAP,60,20250603,140000,0.00007709,0.00007739,0.00007666,0.00007681,6.67
