<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XUSDTSWAP,3,20250604,172700,0.00007423,0.00007423,0.00007409,0.00007413,0.27
XUSDTSWAP,3,20250604,173000,0.00007413,0.00007424,0.00007409,0.00007424,0.46
XUSDTSWAP,3,20250604,173300,0.00007423,0.00007426,0.000074,0.00007413,3.77
XUSDTSWAP,3,20250604,173600,0.0000741,0.00007413,0.000074,0.00007413,2.68
XUSDTSWAP,3,20250604,173900,0.00007411,0.00007431,0.00007411,0.00007429,0.09
XUSDTSWAP,3,20250604,174200,0.0000743,0.00007431,0.00007423,0.00007426,0.07
XUSDTSWAP,3,20250604,174500,0.00007425,0.00007446,0.00007425,0.00007446,0.25
XUSDTSWAP,3,20250604,174800,0.00007446,0.00007467,0.00007442,0.00007451,2.16
XUSDTSWAP,3,20250604,175100,0.0000745,0.00007454,0.00007442,0.0000745,0.4
XUSDTSWAP,3,20250604,175400,0.00007451,0.00007475,0.00007451,0.00007472,0.74
XUSDTSWAP,3,20250604,175700,0.00007472,0.00007489,0.0000747,0.00007488,0.73
XUSDTSWAP,3,20250604,180000,0.00007487,0.0000749,0.00007468,0.00007469,0.2
XUSDTSWAP,3,20250604,180300,0.00007467,0.00007468,0.00007442,0.00007447,4.11
XUSDTSWAP,3,20250604,180600,0.00007448,0.00007477,0.00007442,0.00007455,0.61
XUSDTSWAP,3,20250604,180900,0.00007455,0.00007471,0.00007451,0.00007471,0.6
XUSDTSWAP,3,20250604,181200,0.0000747,0.00007476,0.00007463,0.00007468,0.25
XUSDTSWAP,3,20250604,181500,0.00007468,0.00007495,0.00007468,0.00007485,1.0
XUSDTSWAP,3,20250604,181800,0.00007484,0.00007494,0.00007477,0.00007479,1.84
XUSDTSWAP,3,20250604,182100,0.00007478,0.00007492,0.0000747,0.00007489,0.26
XUSDTSWAP,3,20250604,182400,0.0000749,0.00007494,0.00007472,0.0000748,0.86
XUSDTSWAP,3,20250604,182700,0.00007478,0.00007484,0.00007475,0.00007475,0.45
XUSDTSWAP,3,20250604,183000,0.00007477,0.00007482,0.00007465,0.00007478,0.76
XUSDTSWAP,3,20250604,183300,0.00007477,0.00007487,0.00007472,0.00007478,0.38
XUSDTSWAP,3,20250604,183600,0.00007476,0.0000751,0.00007476,0.00007506,1.32
XUSDTSWAP,3,20250604,183900,0.00007506,0.00007565,0.00007503,0.00007546,14.95
XUSDTSWAP,3,20250604,184200,0.00007547,0.00007566,0.00007543,0.00007553,1.09
