<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZENTUSDTSWAP,1440,20250225,030000,0.01645,0.01649,0.01443,0.01499,23768.42
ZENTUSDTSWAP,1440,20250226,030000,0.01501,0.01502,0.01302,0.01348,19172.32
ZENTUSDTSWAP,1440,20250227,030000,0.01348,0.01438,0.01312,0.01361,8388.33
ZENTUSDTSWAP,1440,20250228,030000,0.0136,0.01388,0.01186,0.01341,14968.57
ZENTUSDTSWAP,1440,20250301,030000,0.01341,0.01387,0.01253,0.0132,14744.59
ZENTUSDTSWAP,1440,20250302,030000,0.01319,0.01539,0.01297,0.01485,14319.29
ZENTUSDTSWAP,1440,20250303,030000,0.01484,0.01649,0.01355,0.01359,30245.45
ZENTUSDTSWAP,1440,20250304,030000,0.0136,0.01475,0.01223,0.0136,13897.57
ZENTUSDTSWAP,1440,20250305,030000,0.01361,0.01424,0.01292,0.01398,10855.74
ZENTUSDTSWAP,1440,20250306,030000,0.01395,0.01463,0.01332,0.01337,10040.19
ZENTUSDTSWAP,1440,20250307,030000,0.01335,0.01373,0.01267,0.01284,7961.58
ZENTUSDTSWAP,1440,20250308,030000,0.01287,0.01311,0.01222,0.01233,5677.66
ZENTUSDTSWAP,1440,20250309,030000,0.01232,0.01317,0.01156,0.01276,14591.4
ZENTUSDTSWAP,1440,20250310,030000,0.01276,0.01356,0.01102,0.01109,18155.32
ZENTUSDTSWAP,1440,20250311,030000,0.01109,0.01204,0.01,0.01141,16673.87
ZENTUSDTSWAP,1440,20250312,030000,0.01143,0.01258,0.01123,0.01246,7311.17
ZENTUSDTSWAP,1440,20250313,030000,0.01247,0.01254,0.01134,0.01177,10600.97
ZENTUSDTSWAP,1440,20250314,030000,0.01178,0.01245,0.01171,0.01211,4805.78
ZENTUSDTSWAP,1440,20250315,030000,0.0121,0.01243,0.01181,0.01225,7537.17
ZENTUSDTSWAP,1440,20250316,030000,0.01226,0.01228,0.01136,0.01223,8765.84
