<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZENTUSDTSWAP,60,20250531,190000,0.00888,0.008927,0.008825,0.008891,234.5
ZENTUSDTSWAP,60,20250531,200000,0.008891,0.008918,0.00885,0.008865,154.65
ZENTUSDTSWAP,60,20250531,210000,0.008862,0.0089,0.008857,0.008885,116.25
ZENTUSDTSWAP,60,20250531,220000,0.008883,0.008901,0.008852,0.008867,61.47
ZENTUSDTSWAP,60,20250531,230000,0.008865,0.008901,0.00886,0.008887,58.23
ZENTUSDTSWAP,60,20250601,000000,0.00889,0.008953,0.008837,0.008879,195.16
ZENTUSDTSWAP,60,20250601,010000,0.008877,0.008889,0.008823,0.008843,159.91
ZENTUSDTSWAP,60,20250601,020000,0.00884,0.008911,0.008817,0.008835,211.83
ZENTUSDTSWAP,60,20250601,030000,0.008838,0.008841,0.008776,0.008793,145.54
ZENTUSDTSWAP,60,20250601,040000,0.008795,0.008848,0.008736,0.00877,393.86
ZENTUSDTSWAP,60,20250601,050000,0.008769,0.008791,0.008714,0.00876,203.33
ZENTUSDTSWAP,60,20250601,060000,0.008762,0.008775,0.008712,0.008741,158.71
ZENTUSDTSWAP,60,20250601,070000,0.008745,0.008805,0.008731,0.00879,181.33
ZENTUSDTSWAP,60,20250601,080000,0.008787,0.008807,0.008653,0.008685,468.35
ZENTUSDTSWAP,60,20250601,090000,0.00869,0.008712,0.008608,0.008628,215.21
ZENTUSDTSWAP,60,20250601,100000,0.008626,0.008637,0.008495,0.008613,1539.4
ZENTUSDTSWAP,60,20250601,110000,0.00861,0.00865,0.008593,0.008622,171.94
ZENTUSDTSWAP,60,20250601,120000,0.008618,0.00864,0.008459,0.008503,510.19
ZENTUSDTSWAP,60,20250601,130000,0.008498,0.008514,0.008457,0.008472,330.16
ZENTUSDTSWAP,60,20250601,140000,0.008471,0.00856,0.008435,0.008517,495.56
ZENTUSDTSWAP,60,20250601,150000,0.008523,0.00854,0.008401,0.008441,416.12
ZENTUSDTSWAP,60,20250601,160000,0.008442,0.00852,0.0084,0.008496,1032.15
ZENTUSDTSWAP,60,20250601,170000,0.008495,0.008623,0.008469,0.008569,858.0
ZENTUSDTSWAP,60,20250601,180000,0.008574,0.008593,0.008544,0.008582,173.95
ZENTUSDTSWAP,60,20250601,190000,0.00858,0.008654,0.008538,0.00861,336.37
ZENTUSDTSWAP,60,20250601,200000,0.008612,0.00866,0.008589,0.008631,149.63
ZENTUSDTSWAP,60,20250601,210000,0.008627,0.008634,0.00852,0.008575,311.2
ZENTUSDTSWAP,60,20250601,220000,0.008588,0.008644,0.008575,0.008637,144.18
ZENTUSDTSWAP,60,20250601,230000,0.008634,0.008649,0.008603,0.008619,141.54
ZENTUSDTSWAP,60,20250602,000000,0.008619,0.008658,0.0086,0.008644,114.43
ZENTUSDTSWAP,60,20250602,010000,0.008656,0.008684,0.008627,0.008649,160.3
ZENTUSDTSWAP,60,20250602,020000,0.008647,0.008691,0.00861,0.008618,270.4
ZENTUSDTSWAP,60,20250602,030000,0.008627,0.008638,0.008593,0.008617,125.11
ZENTUSDTSWAP,60,20250602,040000,0.008615,0.008636,0.008604,0.008618,185.39
ZENTUSDTSWAP,60,20250602,050000,0.008619,0.008635,0.008564,0.008576,258.87
ZENTUSDTSWAP,60,20250602,060000,0.008577,0.008583,0.008531,0.008535,179.03
ZENTUSDTSWAP,60,20250602,070000,0.008543,0.008552,0.008501,0.00852,86.87
ZENTUSDTSWAP,60,20250602,080000,0.008517,0.008557,0.008488,0.008513,213.85
ZENTUSDTSWAP,60,20250602,090000,0.008513,0.008545,0.008499,0.008518,117.73
ZENTUSDTSWAP,60,20250602,100000,0.008522,0.008592,0.008519,0.008569,194.73
ZENTUSDTSWAP,60,20250602,110000,0.008576,0.008628,0.008493,0.008572,1306.83
ZENTUSDTSWAP,60,20250602,120000,0.008569,0.008569,0.00849,0.008516,619.07
ZENTUSDTSWAP,60,20250602,130000,0.008514,0.008514,0.008439,0.008486,394.83
