<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZENTUSDTSWAP,3,20250604,172700,0.008208,0.008212,0.008166,0.00818,154.24
ZENTUSDTSWAP,3,20250604,173000,0.00818,0.008201,0.008173,0.008198,20.0
ZENTUSDTSWAP,3,20250604,173300,0.008198,0.008215,0.008189,0.008196,67.63
ZENTUSDTSWAP,3,20250604,173600,0.008194,0.008194,0.008172,0.008178,24.25
ZENTUSDTSWAP,3,20250604,173900,0.00817,0.008196,0.00817,0.008188,18.81
ZENTUSDTSWAP,3,20250604,174200,0.008193,0.008204,0.008191,0.008204,5.12
ZENTUSDTSWAP,3,20250604,174500,0.008202,0.008216,0.008202,0.008214,30.74
ZENTUSDTSWAP,3,20250604,174800,0.008212,0.008234,0.008208,0.008228,31.89
ZENTUSDTSWAP,3,20250604,175100,0.008227,0.008235,0.008208,0.008235,50.92
ZENTUSDTSWAP,3,20250604,175400,0.008231,0.008239,0.00823,0.008233,13.01
ZENTUSDTSWAP,3,20250604,175700,0.008233,0.008292,0.008233,0.008278,100.69
ZENTUSDTSWAP,3,20250604,180000,0.008282,0.008292,0.008256,0.008267,56.08
ZENTUSDTSWAP,3,20250604,180300,0.008261,0.008267,0.008246,0.008248,25.53
ZENTUSDTSWAP,3,20250604,180600,0.008249,0.008293,0.008249,0.008252,88.88
ZENTUSDTSWAP,3,20250604,180900,0.00825,0.008264,0.008249,0.008263,43.69
ZENTUSDTSWAP,3,20250604,181200,0.00826,0.00828,0.008258,0.008277,21.64
ZENTUSDTSWAP,3,20250604,181500,0.00827,0.008298,0.008269,0.008284,27.34
ZENTUSDTSWAP,3,20250604,181800,0.008285,0.008297,0.008278,0.008281,43.45
ZENTUSDTSWAP,3,20250604,182100,0.008276,0.008296,0.008267,0.008282,19.83
ZENTUSDTSWAP,3,20250604,182400,0.008283,0.008288,0.008272,0.008275,14.64
ZENTUSDTSWAP,3,20250604,182700,0.008278,0.008278,0.00826,0.008267,110.84
ZENTUSDTSWAP,3,20250604,183000,0.008263,0.008264,0.008252,0.008259,7.56
ZENTUSDTSWAP,3,20250604,183300,0.008256,0.00826,0.008237,0.008256,17.57
ZENTUSDTSWAP,3,20250604,183600,0.008253,0.008271,0.008245,0.008271,19.8
ZENTUSDTSWAP,3,20250604,183900,0.008265,0.008275,0.008253,0.008267,27.3
ZENTUSDTSWAP,3,20250604,184200,0.008262,0.008269,0.008252,0.008257,12.91
ZENTUSDTSWAP,3,20250604,184500,0.008257,0.008265,0.008249,0.008249,19.63
ZENTUSDTSWAP,3,20250604,184800,0.008247,0.008247,0.008224,0.008242,30.67
ZENTUSDTSWAP,3,20250604,185100,0.008233,0.008251,0.008233,0.008247,6.13
ZENTUSDTSWAP,3,20250604,185400,0.008236,0.008276,0.008236,0.008271,18.25
ZENTUSDTSWAP,3,20250604,185700,0.008269,0.008275,0.008252,0.008256,13.26
ZENTUSDTSWAP,3,20250604,190000,0.008256,0.008256,0.008246,0.008248,12.21
ZENTUSDTSWAP,3,20250604,190300,0.008248,0.008249,0.008245,0.008247,7.41
ZENTUSDTSWAP,3,20250604,190600,0.008246,0.008246,0.008225,0.008236,50.36
ZENTUSDTSWAP,3,20250604,190900,0.008227,0.008238,0.008227,0.008231,9.68
ZENTUSDTSWAP,3,20250604,191200,0.008228,0.008238,0.008228,0.008238,4.72
ZENTUSDTSWAP,3,20250604,191500,0.008236,0.008239,0.008206,0.008221,25.45
ZENTUSDTSWAP,3,20250604,191800,0.008223,0.008252,0.008223,0.008252,16.5
ZENTUSDTSWAP,3,20250604,192100,0.008251,0.008267,0.008246,0.008248,8.66
ZENTUSDTSWAP,3,20250604,192400,0.008248,0.008259,0.008236,0.008249,28.52
ZENTUSDTSWAP,3,20250604,192700,0.008245,0.008252,0.008229,0.008244,41.08
ZENTUSDTSWAP,3,20250604,193000,0.008241,0.008248,0.00824,0.008247,13.1
ZENTUSDTSWAP,3,20250604,193300,0.008248,0.00826,0.008245,0.008254,12.0
ZENTUSDTSWAP,3,20250604,193600,0.008254,0.008266,0.008251,0.008264,4.44
ZENTUSDTSWAP,3,20250604,193900,0.008263,0.008272,0.008259,0.008259,15.41
ZENTUSDTSWAP,3,20250604,194200,0.008258,0.00826,0.008248,0.008248,19.37
ZENTUSDTSWAP,3,20250604,194500,0.008247,0.008252,0.008236,0.008243,11.0
ZENTUSDTSWAP,3,20250604,194800,0.008244,0.008252,0.008228,0.008252,6.97
ZENTUSDTSWAP,3,20250604,195100,0.008249,0.008256,0.008249,0.008253,4.45
ZENTUSDTSWAP,3,20250604,195400,0.008251,0.00826,0.008251,0.008258,6.26
ZENTUSDTSWAP,3,20250604,195700,0.008258,0.008267,0.008256,0.008267,1.79
ZENTUSDTSWAP,3,20250604,200000,0.008271,0.008277,0.008257,0.008271,6.25
ZENTUSDTSWAP,3,20250604,200300,0.008272,0.008286,0.008272,0.008281,8.11
ZENTUSDTSWAP,3,20250604,200600,0.008282,0.008287,0.008272,0.008284,21.12
ZENTUSDTSWAP,3,20250604,200900,0.008287,0.008287,0.008272,0.00828,11.75
ZENTUSDTSWAP,3,20250604,201200,0.008284,0.008301,0.008284,0.008296,5.0
ZENTUSDTSWAP,3,20250604,201500,0.008296,0.0083,0.008286,0.008286,50.9
ZENTUSDTSWAP,3,20250604,201800,0.008286,0.008311,0.008286,0.008304,18.55
ZENTUSDTSWAP,3,20250604,202100,0.008309,0.008322,0.008303,0.008319,31.67
