<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZEREBROUSDTSWAP,1440,20250225,030000,0.02817,0.03842,0.02652,0.03524,4432627.95
ZEREBROUSDTSWAP,1440,20250226,030000,0.03526,0.04113,0.03394,0.04042,4191456.48
ZEREBROUSDTSWAP,1440,20250227,030000,0.04041,0.04364,0.03749,0.04077,3149607.89
ZEREBROUSDTSWAP,1440,20250228,030000,0.04076,0.05244,0.03608,0.04713,4629472.62
ZEREBROUSDTSWAP,1440,20250301,030000,0.04713,0.04889,0.0372,0.03884,2918103.86
ZEREBROUSDTSWAP,1440,20250302,030000,0.03885,0.05068,0.03614,0.04961,5029890.89
ZEREBROUSDTSWAP,1440,20250303,030000,0.04961,0.05658,0.04725,0.04844,4601156.2
ZEREBROUSDTSWAP,1440,20250304,030000,0.04849,0.07327,0.03951,0.04015,10370765.97
ZEREBROUSDTSWAP,1440,20250305,030000,0.04016,0.04559,0.03689,0.04053,4133239.09
ZEREBROUSDTSWAP,1440,20250306,030000,0.04053,0.04202,0.03475,0.03647,2864358.13
ZEREBROUSDTSWAP,1440,20250307,030000,0.03648,0.038,0.03312,0.03445,2111083.12
ZEREBROUSDTSWAP,1440,20250308,030000,0.03445,0.03637,0.03141,0.03283,1329380.4
ZEREBROUSDTSWAP,1440,20250309,030000,0.03283,0.03429,0.03064,0.03144,1064622.96
ZEREBROUSDTSWAP,1440,20250310,030000,0.03143,0.0337,0.02751,0.03028,1082403.53
ZEREBROUSDTSWAP,1440,20250311,030000,0.03029,0.03249,0.02891,0.03017,931431.01
ZEREBROUSDTSWAP,1440,20250312,030000,0.03017,0.03226,0.02797,0.03171,1019707.11
ZEREBROUSDTSWAP,1440,20250313,030000,0.03169,0.03327,0.02637,0.02846,927707.48
ZEREBROUSDTSWAP,1440,20250314,030000,0.02846,0.03148,0.02801,0.02854,1031143.42
ZEREBROUSDTSWAP,1440,20250315,030000,0.02856,0.03061,0.02792,0.02951,938952.81
ZEREBROUSDTSWAP,1440,20250316,030000,0.02951,0.03495,0.02867,0.03341,2044941.4
ZEREBROUSDTSWAP,1440,20250317,030000,0.03343,0.0362,0.03269,0.03464,1465178.03
ZEREBROUSDTSWAP,1440,20250318,030000,0.03466,0.03491,0.0288,0.02906,1328547.26
ZEREBROUSDTSWAP,1440,20250319,030000,0.02906,0.03454,0.02867,0.03356,1459904.25
ZEREBROUSDTSWAP,1440,20250320,030000,0.03357,0.0457,0.03259,0.03649,4437698.23
ZEREBROUSDTSWAP,1440,20250321,030000,0.03648,0.03776,0.02949,0.0328,3811712.24
ZEREBROUSDTSWAP,1440,20250322,030000,0.03283,0.03416,0.03148,0.03387,1976820.96
ZEREBROUSDTSWAP,1440,20250323,030000,0.03387,0.03561,0.03256,0.03341,1366067.8
ZEREBROUSDTSWAP,1440,20250324,030000,0.0334,0.0443,0.03245,0.03981,2771787.18
ZEREBROUSDTSWAP,1440,20250325,030000,0.0398,0.04074,0.03611,0.03713,1753652.36
ZEREBROUSDTSWAP,1440,20250326,030000,0.03714,0.04385,0.03509,0.03745,2182962.63
ZEREBROUSDTSWAP,1440,20250327,030000,0.03746,0.03893,0.0346,0.0353,1771794.62
ZEREBROUSDTSWAP,1440,20250328,030000,0.03531,0.03613,0.03271,0.03424,1212303.35
ZEREBROUSDTSWAP,1440,20250329,030000,0.03424,0.03493,0.02888,0.02964,1149931.57
ZEREBROUSDTSWAP,1440,20250330,030000,0.02966,0.03096,0.02907,0.02983,1074566.73
ZEREBROUSDTSWAP,1440,20250331,030000,0.02984,0.03043,0.02782,0.02869,1222872.44
ZEREBROUSDTSWAP,1440,20250401,030000,0.02869,0.03042,0.02772,0.02944,1454693.83
ZEREBROUSDTSWAP,1440,20250402,030000,0.02946,0.02975,0.02568,0.02657,1221567.33
ZEREBROUSDTSWAP,1440,20250403,030000,0.02658,0.02729,0.02314,0.02551,831267.36
ZEREBROUSDTSWAP,1440,20250404,030000,0.02551,0.02604,0.02301,0.02515,950271.99
ZEREBROUSDTSWAP,1440,20250405,030000,0.02518,0.02575,0.02369,0.02468,589398.61
ZEREBROUSDTSWAP,1440,20250406,030000,0.02467,0.02469,0.02066,0.02182,1912421.98
ZEREBROUSDTSWAP,1440,20250407,030000,0.02183,0.02343,0.01923,0.02145,2117888.12
ZEREBROUSDTSWAP,1440,20250408,030000,0.02145,0.02228,0.01909,0.01923,1017370.82
ZEREBROUSDTSWAP,1440,20250409,030000,0.01924,0.02306,0.01867,0.02306,953445.26
ZEREBROUSDTSWAP,1440,20250410,030000,0.02305,0.02475,0.02101,0.02201,1259144.26
ZEREBROUSDTSWAP,1440,20250411,030000,0.022,0.02374,0.02153,0.02303,1692131.41
ZEREBROUSDTSWAP,1440,20250412,030000,0.02302,0.02597,0.02156,0.0239,2078539.86
ZEREBROUSDTSWAP,1440,20250413,030000,0.0239,0.02459,0.01965,0.02084,1971930.61
ZEREBROUSDTSWAP,1440,20250414,030000,0.02084,0.02259,0.01976,0.02019,966286.53
ZEREBROUSDTSWAP,1440,20250415,030000,0.02021,0.02106,0.01894,0.01908,735622.21
ZEREBROUSDTSWAP,1440,20250416,030000,0.01907,0.02071,0.01809,0.0196,983516.79
ZEREBROUSDTSWAP,1440,20250417,030000,0.01961,0.02075,0.01929,0.02014,800792.1
ZEREBROUSDTSWAP,1440,20250418,030000,0.02013,0.02075,0.01919,0.01982,513694.05
ZEREBROUSDTSWAP,1440,20250419,030000,0.01981,0.02032,0.01882,0.02,339393.99
ZEREBROUSDTSWAP,1440,20250420,030000,0.02001,0.02228,0.01961,0.02084,624397.88
ZEREBROUSDTSWAP,1440,20250421,030000,0.02085,0.02519,0.02059,0.02463,709170.34
ZEREBROUSDTSWAP,1440,20250422,030000,0.02464,0.05589,0.02389,0.05171,7372797.09
ZEREBROUSDTSWAP,1440,20250423,030000,0.05167,0.09699,0.051,0.07739,31745757.2
ZEREBROUSDTSWAP,1440,20250424,030000,0.07742,0.09699,0.06622,0.0772,21968134.89
ZEREBROUSDTSWAP,1440,20250425,030000,0.0772,0.09344,0.04506,0.05128,20655926.05
ZEREBROUSDTSWAP,1440,20250426,030000,0.0513,0.05454,0.04406,0.0478,7490861.35
ZEREBROUSDTSWAP,1440,20250427,030000,0.0478,0.04833,0.04264,0.04514,3423916.1
ZEREBROUSDTSWAP,1440,20250428,030000,0.04516,0.06713,0.0425,0.06011,10799924.76
ZEREBROUSDTSWAP,1440,20250429,030000,0.0601,0.06187,0.04326,0.04389,6259025.13
ZEREBROUSDTSWAP,1440,20250430,030000,0.04388,0.04932,0.04117,0.04878,3947452.92
ZEREBROUSDTSWAP,1440,20250501,030000,0.04878,0.05244,0.04462,0.05112,3685386.41
ZEREBROUSDTSWAP,1440,20250502,030000,0.05112,0.0543,0.04485,0.05057,3773725.02
ZEREBROUSDTSWAP,1440,20250503,030000,0.05057,0.0535,0.04597,0.04667,1937082.13
ZEREBROUSDTSWAP,1440,20250504,030000,0.04668,0.04828,0.04016,0.04292,2890989.4
ZEREBROUSDTSWAP,1440,20250505,030000,0.04292,0.04442,0.03924,0.04082,1538010.34
ZEREBROUSDTSWAP,1440,20250506,030000,0.04083,0.04826,0.03636,0.04021,3316590.2
ZEREBROUSDTSWAP,1440,20250507,030000,0.04022,0.04108,0.03201,0.03633,4634393.66
ZEREBROUSDTSWAP,1440,20250508,030000,0.03634,0.04818,0.03507,0.04716,2354479.07
ZEREBROUSDTSWAP,1440,20250509,030000,0.04715,0.05612,0.04432,0.04802,3133225.71
ZEREBROUSDTSWAP,1440,20250510,030000,0.04801,0.04875,0.04147,0.04574,1914720.32
ZEREBROUSDTSWAP,1440,20250511,030000,0.04573,0.05293,0.04309,0.04927,2041133.44
ZEREBROUSDTSWAP,1440,20250512,030000,0.04924,0.06274,0.04755,0.05222,3675962.91
