<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZEREBROUSDTSWAP,60,20250531,190000,0.02952,0.03038,0.02933,0.03016,19448.22
ZEREBROUSDTSWAP,60,20250531,200000,0.03016,0.03022,0.02963,0.0297,14050.67
ZEREBROUSDTSWAP,60,20250531,210000,0.0297,0.03078,0.02963,0.03068,22777.23
ZEREBROUSDTSWAP,60,20250531,220000,0.03067,0.03107,0.03043,0.03065,14227.87
ZEREBROUSDTSWAP,60,20250531,230000,0.03063,0.03175,0.03039,0.03079,66450.38
ZEREBROUSDTSWAP,60,20250601,000000,0.03081,0.03122,0.03075,0.03104,19802.05
ZEREBROUSDTSWAP,60,20250601,010000,0.03103,0.03106,0.03041,0.03046,12810.61
ZEREBROUSDTSWAP,60,20250601,020000,0.03046,0.03079,0.03021,0.03044,9404.8
ZEREBROUSDTSWAP,60,20250601,030000,0.03044,0.0307,0.03007,0.03034,11619.47
ZEREBROUSDTSWAP,60,20250601,040000,0.03034,0.03062,0.02985,0.03001,8440.65
ZEREBROUSDTSWAP,60,20250601,050000,0.03,0.0304,0.02969,0.0302,10187.07
ZEREBROUSDTSWAP,60,20250601,060000,0.03022,0.03024,0.0298,0.02992,4473.83
ZEREBROUSDTSWAP,60,20250601,070000,0.02992,0.03029,0.02982,0.03014,7073.84
ZEREBROUSDTSWAP,60,20250601,080000,0.03015,0.03035,0.02998,0.03009,3992.25
ZEREBROUSDTSWAP,60,20250601,090000,0.03008,0.03045,0.0299,0.03029,5626.19
ZEREBROUSDTSWAP,60,20250601,100000,0.03027,0.0304,0.03004,0.03023,6913.91
ZEREBROUSDTSWAP,60,20250601,110000,0.03023,0.03023,0.02976,0.02996,7450.58
ZEREBROUSDTSWAP,60,20250601,120000,0.02996,0.03008,0.02925,0.02956,10536.15
ZEREBROUSDTSWAP,60,20250601,130000,0.02954,0.02979,0.029,0.02943,75880.37
ZEREBROUSDTSWAP,60,20250601,140000,0.02943,0.02988,0.02884,0.02988,39850.19
ZEREBROUSDTSWAP,60,20250601,150000,0.02988,0.03,0.02908,0.02927,16571.6
ZEREBROUSDTSWAP,60,20250601,160000,0.02928,0.03008,0.02926,0.02993,10934.67
ZEREBROUSDTSWAP,60,20250601,170000,0.02992,0.03066,0.02986,0.03036,14841.31
ZEREBROUSDTSWAP,60,20250601,180000,0.03035,0.0304,0.03002,0.03016,8504.71
ZEREBROUSDTSWAP,60,20250601,190000,0.03015,0.03082,0.0301,0.0306,17193.46
ZEREBROUSDTSWAP,60,20250601,200000,0.03063,0.03524,0.03032,0.03211,463629.37
ZEREBROUSDTSWAP,60,20250601,210000,0.03211,0.03366,0.03176,0.03343,159455.24
ZEREBROUSDTSWAP,60,20250601,220000,0.03341,0.03485,0.03303,0.03446,155306.02
ZEREBROUSDTSWAP,60,20250601,230000,0.03446,0.03723,0.03416,0.03678,241815.33
ZEREBROUSDTSWAP,60,20250602,000000,0.03675,0.03826,0.03468,0.0378,336365.62
ZEREBROUSDTSWAP,60,20250602,010000,0.03781,0.03819,0.03521,0.03543,316823.87
ZEREBROUSDTSWAP,60,20250602,020000,0.03541,0.03682,0.03537,0.03678,140924.51
ZEREBROUSDTSWAP,60,20250602,030000,0.03679,0.03729,0.03627,0.03631,189149.05
ZEREBROUSDTSWAP,60,20250602,040000,0.03633,0.03788,0.03322,0.03389,433259.37
ZEREBROUSDTSWAP,60,20250602,050000,0.03388,0.03451,0.03299,0.03386,273148.25
ZEREBROUSDTSWAP,60,20250602,060000,0.03386,0.03388,0.03259,0.03297,139668.88
ZEREBROUSDTSWAP,60,20250602,070000,0.03297,0.03359,0.03214,0.03234,101949.67
ZEREBROUSDTSWAP,60,20250602,080000,0.03233,0.03324,0.03229,0.03286,98048.32
ZEREBROUSDTSWAP,60,20250602,090000,0.03287,0.03346,0.03244,0.03297,85460.36
ZEREBROUSDTSWAP,60,20250602,100000,0.03297,0.03316,0.0323,0.0325,69841.7
ZEREBROUSDTSWAP,60,20250602,110000,0.03249,0.03333,0.03205,0.0323,109601.02
ZEREBROUSDTSWAP,60,20250602,120000,0.03231,0.03231,0.03109,0.03183,118692.21
ZEREBROUSDTSWAP,60,20250602,130000,0.03183,0.03226,0.03127,0.03179,122304.45
ZEREBROUSDTSWAP,60,20250602,140000,0.03178,0.03215,0.03147,0.0319,47882.07
ZEREBROUSDTSWAP,60,20250602,150000,0.03189,0.03231,0.03155,0.03223,59819.26
ZEREBROUSDTSWAP,60,20250602,160000,0.03224,0.03278,0.03171,0.032,145526.75
ZEREBROUSDTSWAP,60,20250602,170000,0.032,0.03264,0.03162,0.03216,87413.44
ZEREBROUSDTSWAP,60,20250602,180000,0.03218,0.03234,0.03165,0.03211,37976.97
ZEREBROUSDTSWAP,60,20250602,190000,0.03211,0.03213,0.03155,0.03193,39142.89
ZEREBROUSDTSWAP,60,20250602,200000,0.03194,0.03203,0.0315,0.03184,24396.19
ZEREBROUSDTSWAP,60,20250602,210000,0.03185,0.03219,0.0313,0.03146,25723.59
ZEREBROUSDTSWAP,60,20250602,220000,0.03147,0.03165,0.03048,0.03103,77127.62
ZEREBROUSDTSWAP,60,20250602,230000,0.03102,0.03214,0.031,0.03214,57428.07
ZEREBROUSDTSWAP,60,20250603,000000,0.03212,0.03308,0.03209,0.033,64321.97
ZEREBROUSDTSWAP,60,20250603,010000,0.033,0.03344,0.03274,0.03284,60091.25
ZEREBROUSDTSWAP,60,20250603,020000,0.03284,0.03311,0.03248,0.03256,37812.57
ZEREBROUSDTSWAP,60,20250603,030000,0.03257,0.03312,0.03227,0.03303,45307.67
ZEREBROUSDTSWAP,60,20250603,040000,0.03302,0.03433,0.03289,0.03432,71586.04
ZEREBROUSDTSWAP,60,20250603,050000,0.03433,0.03456,0.03373,0.03419,67496.69
ZEREBROUSDTSWAP,60,20250603,060000,0.03418,0.03432,0.03351,0.03409,43903.8
ZEREBROUSDTSWAP,60,20250603,070000,0.03408,0.03428,0.03309,0.03334,36964.12
ZEREBROUSDTSWAP,60,20250603,080000,0.03335,0.03392,0.0333,0.03383,23052.35
ZEREBROUSDTSWAP,60,20250603,090000,0.03383,0.0341,0.03357,0.03406,18408.97
ZEREBROUSDTSWAP,60,20250603,100000,0.03405,0.03406,0.03331,0.03364,23926.02
ZEREBROUSDTSWAP,60,20250603,110000,0.03365,0.03401,0.03314,0.03367,26626.74
ZEREBROUSDTSWAP,60,20250603,120000,0.03369,0.03422,0.03358,0.0339,25304.86
ZEREBROUSDTSWAP,60,20250603,130000,0.0339,0.03399,0.03352,0.03381,13582.48
ZEREBROUSDTSWAP,60,20250603,140000,0.03382,0.03394,0.0328,0.03311,55960.8
ZEREBROUSDTSWAP,60,20250603,150000,0.03314,0.03353,0.03299,0.03329,18683.3
ZEREBROUSDTSWAP,60,20250603,160000,0.03329,0.03418,0.03328,0.03374,36055.0
ZEREBROUSDTSWAP,60,20250603,170000,0.03374,0.03424,0.03306,0.03404,58834.7
ZEREBROUSDTSWAP,60,20250603,180000,0.03404,0.03429,0.03383,0.03411,27255.35
ZEREBROUSDTSWAP,60,20250603,190000,0.03412,0.03427,0.03323,0.03354,28800.35
ZEREBROUSDTSWAP,60,20250603,200000,0.03354,0.03412,0.03347,0.03367,15672.54
ZEREBROUSDTSWAP,60,20250603,210000,0.03367,0.03374,0.03321,0.03349,13415.41
ZEREBROUSDTSWAP,60,20250603,220000,0.03348,0.03485,0.03348,0.03455,47580.64
