<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZEREBROUSDTSWAP,3,20250604,172700,0.03192,0.03192,0.03183,0.03186,335.22
ZEREBROUSDTSWAP,3,20250604,173000,0.03186,0.03188,0.0318,0.03185,463.02
ZEREBROUSDTSWAP,3,20250604,173300,0.03186,0.03194,0.03178,0.03182,1019.71
ZEREBROUSDTSWAP,3,20250604,173600,0.03181,0.03181,0.03165,0.03167,785.8
ZEREBROUSDTSWAP,3,20250604,173900,0.03166,0.03181,0.03166,0.03176,620.06
ZEREBROUSDTSWAP,3,20250604,174200,0.03178,0.0318,0.0317,0.03179,902.42
ZEREBROUSDTSWAP,3,20250604,174500,0.03178,0.03187,0.03168,0.03187,438.02
ZEREBROUSDTSWAP,3,20250604,174800,0.03188,0.03202,0.03188,0.03191,537.69
ZEREBROUSDTSWAP,3,20250604,175100,0.0319,0.03193,0.03186,0.03193,188.98
ZEREBROUSDTSWAP,3,20250604,175400,0.03194,0.03214,0.03194,0.0321,1694.26
ZEREBROUSDTSWAP,3,20250604,175700,0.0321,0.03216,0.03201,0.03213,1148.96
ZEREBROUSDTSWAP,3,20250604,180000,0.03213,0.0322,0.03201,0.03201,1315.82
ZEREBROUSDTSWAP,3,20250604,180300,0.03201,0.0321,0.032,0.03204,991.64
ZEREBROUSDTSWAP,3,20250604,180600,0.03205,0.03228,0.03204,0.03213,1584.84
ZEREBROUSDTSWAP,3,20250604,180900,0.03214,0.03226,0.03214,0.03223,362.76
ZEREBROUSDTSWAP,3,20250604,181200,0.03222,0.03227,0.03217,0.03219,394.63
ZEREBROUSDTSWAP,3,20250604,181500,0.03219,0.03248,0.03219,0.03242,3048.07
ZEREBROUSDTSWAP,3,20250604,181800,0.03241,0.03251,0.03232,0.03237,2875.16
ZEREBROUSDTSWAP,3,20250604,182100,0.03236,0.03247,0.03228,0.03239,579.83
ZEREBROUSDTSWAP,3,20250604,182400,0.03241,0.03253,0.03241,0.03247,1690.38
ZEREBROUSDTSWAP,3,20250604,182700,0.03247,0.03254,0.03239,0.03241,694.6
ZEREBROUSDTSWAP,3,20250604,183000,0.03242,0.03254,0.03232,0.03251,798.86
ZEREBROUSDTSWAP,3,20250604,183300,0.03251,0.03259,0.03244,0.03246,502.31
ZEREBROUSDTSWAP,3,20250604,183600,0.03245,0.03267,0.03244,0.03265,1308.42
ZEREBROUSDTSWAP,3,20250604,183900,0.03264,0.03269,0.03262,0.03266,727.28
ZEREBROUSDTSWAP,3,20250604,184200,0.03266,0.03277,0.03263,0.03269,1245.91
