<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILUSDTSWAP,1440,20250225,030000,0.01311,0.01349,0.01225,0.0133,22415.35
ZILUSDTSWAP,1440,20250226,030000,0.0133,0.01354,0.01281,0.01336,15177.1
ZILUSDTSWAP,1440,20250227,030000,0.01335,0.01407,0.01321,0.01377,11438.47
ZILUSDTSWAP,1440,20250228,030000,0.01376,0.01384,0.01252,0.01368,18655.29
ZILUSDTSWAP,1440,20250301,030000,0.01369,0.01383,0.01309,0.0135,6280.56
ZILUSDTSWAP,1440,20250302,030000,0.0135,0.01501,0.01329,0.01486,16682.62
ZILUSDTSWAP,1440,20250303,030000,0.01486,0.01493,0.01256,0.01278,25297.0
ZILUSDTSWAP,1440,20250304,030000,0.01279,0.01288,0.01178,0.01272,20898.05
ZILUSDTSWAP,1440,20250305,030000,0.01272,0.01312,0.01241,0.01305,9942.96
ZILUSDTSWAP,1440,20250306,030000,0.01306,0.01338,0.01266,0.0128,9410.13
ZILUSDTSWAP,1440,20250307,030000,0.0128,0.01333,0.01213,0.01281,15631.99
ZILUSDTSWAP,1440,20250308,030000,0.01281,0.01303,0.01247,0.01258,7723.12
ZILUSDTSWAP,1440,20250309,030000,0.01258,0.01265,0.01136,0.0115,10240.52
ZILUSDTSWAP,1440,20250310,030000,0.0115,0.01253,0.01118,0.01124,21192.42
ZILUSDTSWAP,1440,20250311,030000,0.01124,0.01209,0.01051,0.01183,23312.91
ZILUSDTSWAP,1440,20250312,030000,0.01184,0.01227,0.01135,0.01212,13404.19
ZILUSDTSWAP,1440,20250313,030000,0.01211,0.01242,0.01155,0.01187,13190.48
ZILUSDTSWAP,1440,20250314,030000,0.01187,0.01248,0.01184,0.01215,7883.89
ZILUSDTSWAP,1440,20250315,030000,0.01216,0.01244,0.0121,0.0124,6490.41
ZILUSDTSWAP,1440,20250316,030000,0.0124,0.01244,0.01179,0.01186,9635.73
ZILUSDTSWAP,1440,20250317,030000,0.01188,0.01264,0.01188,0.01245,9075.92
ZILUSDTSWAP,1440,20250318,030000,0.01244,0.01257,0.01201,0.01253,7307.95
ZILUSDTSWAP,1440,20250319,030000,0.01252,0.01304,0.01249,0.01298,12220.4
ZILUSDTSWAP,1440,20250320,030000,0.01299,0.01301,0.01255,0.0128,11596.69
ZILUSDTSWAP,1440,20250321,030000,0.0128,0.01288,0.01233,0.01245,11027.37
ZILUSDTSWAP,1440,20250322,030000,0.01246,0.01271,0.01235,0.01248,6416.08
ZILUSDTSWAP,1440,20250323,030000,0.01248,0.01259,0.01214,0.01228,6941.28
ZILUSDTSWAP,1440,20250324,030000,0.01228,0.01379,0.01218,0.01296,49476.05
ZILUSDTSWAP,1440,20250325,030000,0.01296,0.01322,0.01289,0.01317,12244.66
ZILUSDTSWAP,1440,20250326,030000,0.01316,0.01346,0.01267,0.0128,16165.7
ZILUSDTSWAP,1440,20250327,030000,0.01279,0.01299,0.01252,0.01272,10893.79
ZILUSDTSWAP,1440,20250328,030000,0.01272,0.01272,0.01156,0.01171,23856.04
ZILUSDTSWAP,1440,20250329,030000,0.0117,0.01174,0.01103,0.01118,15385.72
ZILUSDTSWAP,1440,20250330,030000,0.01118,0.01146,0.011,0.01114,11903.6
ZILUSDTSWAP,1440,20250331,030000,0.01115,0.0115,0.01085,0.0113,18514.91
ZILUSDTSWAP,1440,20250401,030000,0.01131,0.0118,0.01127,0.01152,14200.85
ZILUSDTSWAP,1440,20250402,030000,0.01152,0.01177,0.01068,0.01082,28105.25
ZILUSDTSWAP,1440,20250403,030000,0.01082,0.01124,0.01057,0.01111,13077.34
ZILUSDTSWAP,1440,20250404,030000,0.01112,0.01136,0.01082,0.01129,14765.21
ZILUSDTSWAP,1440,20250405,030000,0.01129,0.01143,0.01097,0.01111,7333.37
ZILUSDTSWAP,1440,20250406,030000,0.01112,0.01115,0.00982,0.0101,20072.52
ZILUSDTSWAP,1440,20250407,030000,0.01009,0.01067,0.00919,0.01007,29014.84
ZILUSDTSWAP,1440,20250408,030000,0.01008,0.01039,0.00953,0.00961,13604.35
ZILUSDTSWAP,1440,20250409,030000,0.00961,0.01084,0.00931,0.01069,21638.06
ZILUSDTSWAP,1440,20250410,030000,0.01069,0.01083,0.01018,0.01064,23743.09
ZILUSDTSWAP,1440,20250411,030000,0.01063,0.01109,0.01052,0.01097,11693.16
ZILUSDTSWAP,1440,20250412,030000,0.01097,0.01153,0.01081,0.01147,9169.24
ZILUSDTSWAP,1440,20250413,030000,0.01148,0.01153,0.01084,0.01102,12539.01
ZILUSDTSWAP,1440,20250414,030000,0.01102,0.01137,0.0108,0.01085,16788.04
ZILUSDTSWAP,1440,20250415,030000,0.01085,0.01124,0.01074,0.01083,20820.08
ZILUSDTSWAP,1440,20250416,030000,0.01083,0.01121,0.01071,0.01099,14340.01
ZILUSDTSWAP,1440,20250417,030000,0.01099,0.01159,0.01093,0.01146,11561.0
ZILUSDTSWAP,1440,20250418,030000,0.01146,0.01186,0.01124,0.01167,11018.93
ZILUSDTSWAP,1440,20250419,030000,0.01167,0.01245,0.01161,0.01183,21602.22
ZILUSDTSWAP,1440,20250420,030000,0.01182,0.01199,0.01128,0.01184,11948.42
ZILUSDTSWAP,1440,20250421,030000,0.01184,0.01212,0.01166,0.01177,12225.06
ZILUSDTSWAP,1440,20250422,030000,0.01176,0.01271,0.01158,0.01266,13672.15
ZILUSDTSWAP,1440,20250423,030000,0.01267,0.0129,0.01241,0.01269,11437.69
ZILUSDTSWAP,1440,20250424,030000,0.01269,0.01306,0.01221,0.01303,13149.56
ZILUSDTSWAP,1440,20250425,030000,0.01303,0.01328,0.01269,0.01314,22345.62
ZILUSDTSWAP,1440,20250426,030000,0.01313,0.01345,0.01294,0.0132,10360.32
ZILUSDTSWAP,1440,20250427,030000,0.0132,0.0133,0.0127,0.01278,11381.73
ZILUSDTSWAP,1440,20250428,030000,0.01278,0.01324,0.0124,0.01305,14355.15
ZILUSDTSWAP,1440,20250429,030000,0.01305,0.01322,0.01258,0.01271,10929.77
ZILUSDTSWAP,1440,20250430,030000,0.01272,0.01282,0.01219,0.01274,9288.58
ZILUSDTSWAP,1440,20250501,030000,0.01275,0.01322,0.0127,0.01311,7751.97
ZILUSDTSWAP,1440,20250502,030000,0.01311,0.01325,0.01288,0.01308,6543.92
ZILUSDTSWAP,1440,20250503,030000,0.01307,0.01309,0.01217,0.01236,8269.53
ZILUSDTSWAP,1440,20250504,030000,0.01235,0.01245,0.01179,0.01189,7147.11
ZILUSDTSWAP,1440,20250505,030000,0.01189,0.01222,0.0117,0.01203,8313.12
ZILUSDTSWAP,1440,20250506,030000,0.01204,0.01212,0.01138,0.01191,8605.65
ZILUSDTSWAP,1440,20250507,030000,0.01192,0.01206,0.01177,0.01195,6015.32
ZILUSDTSWAP,1440,20250508,030000,0.01196,0.01349,0.01194,0.01339,12475.97
ZILUSDTSWAP,1440,20250509,030000,0.0134,0.01413,0.01336,0.01409,17655.69
ZILUSDTSWAP,1440,20250510,030000,0.01409,0.01493,0.01394,0.01488,16214.41
ZILUSDTSWAP,1440,20250511,030000,0.01489,0.01503,0.01419,0.01464,17686.94
ZILUSDTSWAP,1440,20250512,030000,0.01464,0.01533,0.01375,0.01446,18371.06
ZILUSDTSWAP,1440,20250513,030000,0.01446,0.01502,0.01367,0.01492,19547.46
ZILUSDTSWAP,1440,20250514,030000,0.01492,0.01514,0.01404,0.01415,13191.55
ZILUSDTSWAP,1440,20250515,030000,0.01416,0.01433,0.01313,0.01356,19559.25
ZILUSDTSWAP,1440,20250516,030000,0.01356,0.01382,0.01301,0.01315,10237.41
ZILUSDTSWAP,1440,20250517,030000,0.01316,0.01319,0.0124,0.01257,13045.94
ZILUSDTSWAP,1440,20250518,030000,0.01257,0.01323,0.01212,0.01308,15579.8
ZILUSDTSWAP,1440,20250519,030000,0.01308,0.01317,0.01208,0.01259,11849.8
ZILUSDTSWAP,1440,20250520,030000,0.01259,0.01307,0.01228,0.01293,12848.79
ZILUSDTSWAP,1440,20250521,030000,0.01293,0.01333,0.01257,0.01315,10862.23
ZILUSDTSWAP,1440,20250522,030000,0.01315,0.01374,0.01315,0.01368,8917.16
ZILUSDTSWAP,1440,20250523,030000,0.01368,0.01398,0.01257,0.01263,17150.57
