<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILUSDTSWAP,60,20250531,190000,0.01117,0.0113,0.01114,0.01124,327.4
ZILUSDTSWAP,60,20250531,200000,0.01125,0.01125,0.01115,0.01116,168.1
ZILUSDTSWAP,60,20250531,210000,0.01116,0.01127,0.01115,0.01125,234.97
ZILUSDTSWAP,60,20250531,220000,0.01125,0.01128,0.01123,0.01125,158.68
ZILUSDTSWAP,60,20250531,230000,0.01125,0.01127,0.01123,0.01126,124.9
ZILUSDTSWAP,60,20250601,000000,0.01126,0.0114,0.01126,0.01132,377.26
ZILUSDTSWAP,60,20250601,010000,0.01133,0.01134,0.01124,0.01126,283.42
ZILUSDTSWAP,60,20250601,020000,0.01125,0.01131,0.01121,0.01126,256.24
ZILUSDTSWAP,60,20250601,030000,0.01125,0.01131,0.01118,0.01126,514.55
ZILUSDTSWAP,60,20250601,040000,0.01126,0.0113,0.0111,0.01113,674.07
ZILUSDTSWAP,60,20250601,050000,0.01114,0.01119,0.01106,0.01117,486.87
ZILUSDTSWAP,60,20250601,060000,0.01118,0.01118,0.01108,0.01117,364.96
ZILUSDTSWAP,60,20250601,070000,0.01116,0.01127,0.01113,0.01124,306.06
ZILUSDTSWAP,60,20250601,080000,0.01125,0.01134,0.01124,0.01132,232.86
ZILUSDTSWAP,60,20250601,090000,0.01131,0.01133,0.01124,0.01124,433.55
ZILUSDTSWAP,60,20250601,100000,0.01124,0.01127,0.01121,0.01125,230.08
ZILUSDTSWAP,60,20250601,110000,0.01126,0.01126,0.01115,0.01117,305.28
ZILUSDTSWAP,60,20250601,120000,0.01118,0.01121,0.01102,0.01108,528.37
ZILUSDTSWAP,60,20250601,130000,0.01109,0.01111,0.01104,0.01111,166.09
ZILUSDTSWAP,60,20250601,140000,0.01111,0.01123,0.01109,0.01119,143.59
ZILUSDTSWAP,60,20250601,150000,0.01119,0.01123,0.01111,0.01115,208.55
ZILUSDTSWAP,60,20250601,160000,0.01115,0.01131,0.01115,0.01129,256.86
