<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILUSDTSWAP,3,20250604,172700,0.01159,0.01159,0.01158,0.01158,15.89
ZILUSDTSWAP,3,20250604,173000,0.01158,0.01158,0.01157,0.01158,11.58
ZILUSDTSWAP,3,20250604,173300,0.01159,0.0116,0.01159,0.01159,2.27
ZILUSDTSWAP,3,20250604,173600,0.01158,0.01159,0.01158,0.01158,6.75
ZILUSDTSWAP,3,20250604,173900,0.01158,0.0116,0.01158,0.0116,10.23
ZILUSDTSWAP,3,20250604,174200,0.0116,0.0116,0.0116,0.0116,2.69
ZILUSDTSWAP,3,20250604,174500,0.01161,0.01163,0.0116,0.01163,13.22
ZILUSDTSWAP,3,20250604,174800,0.01163,0.01165,0.01162,0.01163,12.29
ZILUSDTSWAP,3,20250604,175100,0.01162,0.01163,0.01162,0.01163,3.39
ZILUSDTSWAP,3,20250604,175400,0.01164,0.01167,0.01164,0.01167,5.7
ZILUSDTSWAP,3,20250604,175700,0.01167,0.01168,0.01166,0.01167,31.28
ZILUSDTSWAP,3,20250604,180000,0.01168,0.01168,0.01166,0.01166,8.68
ZILUSDTSWAP,3,20250604,180300,0.01166,0.01166,0.01165,0.01165,20.93
ZILUSDTSWAP,3,20250604,180600,0.01166,0.0117,0.01166,0.01168,83.85
ZILUSDTSWAP,3,20250604,180900,0.01169,0.01172,0.01169,0.0117,21.38
ZILUSDTSWAP,3,20250604,181200,0.0117,0.01172,0.0117,0.0117,20.67
ZILUSDTSWAP,3,20250604,181500,0.01171,0.01175,0.01171,0.01174,19.3
ZILUSDTSWAP,3,20250604,181800,0.01174,0.01175,0.01173,0.01174,18.65
ZILUSDTSWAP,3,20250604,182100,0.01173,0.01176,0.01173,0.01176,39.49
ZILUSDTSWAP,3,20250604,182400,0.01176,0.01178,0.01176,0.01177,33.13
ZILUSDTSWAP,3,20250604,182700,0.01177,0.01177,0.01176,0.01176,19.35
ZILUSDTSWAP,3,20250604,183000,0.01176,0.01177,0.01175,0.01177,17.59
ZILUSDTSWAP,3,20250604,183300,0.01177,0.01179,0.01177,0.01177,30.2
ZILUSDTSWAP,3,20250604,183600,0.01177,0.0118,0.01176,0.0118,43.31
ZILUSDTSWAP,3,20250604,183900,0.0118,0.01181,0.01179,0.0118,18.68
ZILUSDTSWAP,3,20250604,184200,0.0118,0.0118,0.01178,0.01178,11.32
ZILUSDTSWAP,3,20250604,184500,0.01179,0.0118,0.01178,0.01178,11.5
ZILUSDTSWAP,3,20250604,184800,0.01178,0.01178,0.01177,0.01178,2.71
ZILUSDTSWAP,3,20250604,185100,0.01178,0.01179,0.01178,0.01178,34.66
ZILUSDTSWAP,3,20250604,185400,0.01179,0.0118,0.01177,0.0118,36.07
ZILUSDTSWAP,3,20250604,185700,0.01179,0.01179,0.01177,0.01177,12.14
ZILUSDTSWAP,3,20250604,190000,0.01177,0.0118,0.01177,0.0118,14.77
ZILUSDTSWAP,3,20250604,190300,0.0118,0.01181,0.01177,0.01178,99.65
ZILUSDTSWAP,3,20250604,190600,0.01177,0.01177,0.01175,0.01176,10.35
ZILUSDTSWAP,3,20250604,190900,0.01176,0.01178,0.01176,0.01178,6.62
ZILUSDTSWAP,3,20250604,191200,0.01177,0.01177,0.01177,0.01177,2.93
ZILUSDTSWAP,3,20250604,191500,0.01176,0.01176,0.01175,0.01175,4.94
ZILUSDTSWAP,3,20250604,191800,0.01174,0.01177,0.01174,0.01177,9.54
ZILUSDTSWAP,3,20250604,192100,0.01177,0.01177,0.01175,0.01175,16.74
ZILUSDTSWAP,3,20250604,192400,0.01175,0.01176,0.01175,0.01175,19.08
ZILUSDTSWAP,3,20250604,192700,0.01174,0.01175,0.01173,0.01173,5.48
ZILUSDTSWAP,3,20250604,193000,0.01174,0.01175,0.01173,0.01174,27.21
ZILUSDTSWAP,3,20250604,193300,0.01175,0.01175,0.01175,0.01175,4.88
ZILUSDTSWAP,3,20250604,193600,0.01174,0.01175,0.01174,0.01174,1.85
ZILUSDTSWAP,3,20250604,193900,0.01175,0.01176,0.01175,0.01175,0.68
ZILUSDTSWAP,3,20250604,194200,0.01175,0.01175,0.01173,0.01173,8.94
ZILUSDTSWAP,3,20250604,194500,0.01173,0.01174,0.01173,0.01173,9.52
ZILUSDTSWAP,3,20250604,194800,0.01174,0.01175,0.01173,0.01175,1.74
ZILUSDTSWAP,3,20250604,195100,0.01175,0.01175,0.01175,0.01175,0.23
ZILUSDTSWAP,3,20250604,195400,0.01175,0.01175,0.01175,0.01175,24.99
ZILUSDTSWAP,3,20250604,195700,0.01175,0.01175,0.01173,0.01175,0.7
ZILUSDTSWAP,3,20250604,200000,0.01174,0.01175,0.01173,0.01173,6.67
ZILUSDTSWAP,3,20250604,200300,0.01173,0.01173,0.01172,0.01172,40.74
ZILUSDTSWAP,3,20250604,200600,0.01171,0.01171,0.01171,0.01171,13.58
ZILUSDTSWAP,3,20250604,200900,0.01171,0.01171,0.01169,0.01169,1.78
ZILUSDTSWAP,3,20250604,201200,0.0117,0.01172,0.0117,0.01171,11.5
ZILUSDTSWAP,3,20250604,201500,0.01171,0.01171,0.01168,0.01168,9.93
ZILUSDTSWAP,3,20250604,201800,0.01169,0.01169,0.01169,0.01169,5.02
ZILUSDTSWAP,3,20250604,202100,0.01169,0.01169,0.01168,0.01169,19.36
ZILUSDTSWAP,3,20250604,202400,0.01169,0.01169,0.01166,0.01167,10.64
ZILUSDTSWAP,3,20250604,202700,0.01166,0.01166,0.01164,0.01164,3.82
ZILUSDTSWAP,3,20250604,203000,0.01164,0.01164,0.01158,0.0116,99.23
ZILUSDTSWAP,3,20250604,203300,0.0116,0.01161,0.01158,0.0116,11.95
ZILUSDTSWAP,3,20250604,203600,0.0116,0.0116,0.01158,0.01159,36.57
ZILUSDTSWAP,3,20250604,203900,0.01159,0.01161,0.01159,0.01161,14.68
ZILUSDTSWAP,3,20250604,204200,0.0116,0.0116,0.01159,0.0116,17.17
ZILUSDTSWAP,3,20250604,204500,0.0116,0.01162,0.0116,0.01161,27.24
ZILUSDTSWAP,3,20250604,204800,0.0116,0.01163,0.01159,0.01161,9.35
ZILUSDTSWAP,3,20250604,205100,0.01161,0.01162,0.01161,0.01162,12.95
ZILUSDTSWAP,3,20250604,205400,0.01163,0.01163,0.01163,0.01163,44.52
ZILUSDTSWAP,3,20250604,205700,0.01163,0.01163,0.01163,0.01163,0.59
ZILUSDTSWAP,3,20250604,210000,0.01164,0.01165,0.01164,0.01164,26.22
ZILUSDTSWAP,3,20250604,210300,0.01164,0.01166,0.01164,0.01166,2.29
ZILUSDTSWAP,3,20250604,210600,0.01166,0.01166,0.01162,0.01162,23.83
ZILUSDTSWAP,3,20250604,210900,0.01162,0.01164,0.01162,0.01164,5.5
ZILUSDTSWAP,3,20250604,211200,0.01164,0.01166,0.01163,0.01165,64.8
ZILUSDTSWAP,3,20250604,211500,0.01166,0.01167,0.01166,0.01166,48.18
ZILUSDTSWAP,3,20250604,211800,0.01165,0.01166,0.01165,0.01166,2.71
ZILUSDTSWAP,3,20250604,212100,0.01166,0.01166,0.01165,0.01165,0.08
ZILUSDTSWAP,3,20250604,212400,0.01167,0.01167,0.01167,0.01167,7.5
ZILUSDTSWAP,3,20250604,212700,0.01167,0.01167,0.01167,0.01167,0.06
ZILUSDTSWAP,3,20250604,213000,0.01167,0.01167,0.01166,0.01166,6.78
ZILUSDTSWAP,3,20250604,213300,0.01165,0.01165,0.01165,0.01165,7.22
ZILUSDTSWAP,3,20250604,213600,0.01164,0.01164,0.01164,0.01164,0.4
ZILUSDTSWAP,3,20250604,213900,0.01165,0.01165,0.01164,0.01164,2.48
ZILUSDTSWAP,3,20250604,214200,0.01165,0.01166,0.01165,0.01166,5.46
ZILUSDTSWAP,3,20250604,214500,0.01165,0.01165,0.01164,0.01165,6.44
ZILUSDTSWAP,3,20250604,214800,0.01166,0.01168,0.01164,0.01165,85.16
ZILUSDTSWAP,3,20250604,215100,0.01165,0.01165,0.01165,0.01165,21.96
ZILUSDTSWAP,3,20250604,215400,0.01165,0.01165,0.01162,0.01163,39.19
ZILUSDTSWAP,3,20250604,215700,0.01164,0.01164,0.01163,0.01163,2.84
ZILUSDTSWAP,3,20250604,220000,0.01163,0.01165,0.01162,0.01165,3.31
ZILUSDTSWAP,3,20250604,220300,0.01165,0.01167,0.01164,0.01167,21.83
ZILUSDTSWAP,3,20250604,220600,0.01167,0.01168,0.01165,0.01165,16.07
ZILUSDTSWAP,3,20250604,220900,0.01166,0.01166,0.01163,0.01164,16.51
ZILUSDTSWAP,3,20250604,221200,0.01165,0.01165,0.01164,0.01164,14.21
ZILUSDTSWAP,3,20250604,221500,0.01163,0.01163,0.01161,0.01162,16.27
ZILUSDTSWAP,3,20250604,221800,0.01163,0.01164,0.01163,0.01164,6.77
ZILUSDTSWAP,3,20250604,222100,0.01165,0.01165,0.01165,0.01165,10.14
