<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZKUSDTSWAP,60,20250531,190000,0.05221,0.05341,0.05196,0.05298,21205.4
ZKUSDTSWAP,60,20250531,200000,0.05298,0.05306,0.05241,0.05246,7408.35
ZKUSDTSWAP,60,20250531,210000,0.05247,0.05337,0.05241,0.05328,4352.07
ZKUSDTSWAP,60,20250531,220000,0.0533,0.05379,0.05327,0.05367,7207.39
ZKUSDTSWAP,60,20250531,230000,0.05368,0.05375,0.05329,0.05336,8788.11
ZKUSDTSWAP,60,20250601,000000,0.05337,0.0537,0.05321,0.05336,5655.67
ZKUSDTSWAP,60,20250601,010000,0.05338,0.05343,0.05299,0.0531,3028.25
ZKUSDTSWAP,60,20250601,020000,0.05307,0.05354,0.053,0.05321,4327.75
ZKUSDTSWAP,60,20250601,030000,0.05322,0.05326,0.05268,0.05301,4675.64
ZKUSDTSWAP,60,20250601,040000,0.053,0.05337,0.05247,0.05265,6031.24
ZKUSDTSWAP,60,20250601,050000,0.05266,0.05274,0.05204,0.05262,8080.83
ZKUSDTSWAP,60,20250601,060000,0.05265,0.05266,0.0521,0.05233,2722.01
ZKUSDTSWAP,60,20250601,070000,0.05234,0.05315,0.05211,0.05298,4060.9
ZKUSDTSWAP,60,20250601,080000,0.05297,0.05325,0.05293,0.0531,2758.2
ZKUSDTSWAP,60,20250601,090000,0.05311,0.05325,0.05289,0.05297,4339.78
ZKUSDTSWAP,60,20250601,100000,0.05296,0.05323,0.0527,0.05294,4101.12
ZKUSDTSWAP,60,20250601,110000,0.05297,0.05308,0.05261,0.05275,5761.97
ZKUSDTSWAP,60,20250601,120000,0.05277,0.05296,0.05167,0.05203,10660.23
ZKUSDTSWAP,60,20250601,130000,0.05205,0.0525,0.05199,0.05238,6436.4
ZKUSDTSWAP,60,20250601,140000,0.05234,0.05284,0.05209,0.05256,5045.94
ZKUSDTSWAP,60,20250601,150000,0.05256,0.05258,0.05176,0.05197,7258.59
ZKUSDTSWAP,60,20250601,160000,0.05198,0.05267,0.05195,0.05242,7695.95
ZKUSDTSWAP,60,20250601,170000,0.05241,0.0536,0.05133,0.05277,117952.79
ZKUSDTSWAP,60,20250601,180000,0.05277,0.05334,0.05266,0.0532,25492.98
ZKUSDTSWAP,60,20250601,190000,0.05316,0.0541,0.05314,0.05366,11448.11
ZKUSDTSWAP,60,20250601,200000,0.05366,0.05383,0.05314,0.05336,10243.16
ZKUSDTSWAP,60,20250601,210000,0.05335,0.05335,0.05238,0.05298,12938.02
ZKUSDTSWAP,60,20250601,220000,0.05297,0.05343,0.05294,0.05342,4687.9
ZKUSDTSWAP,60,20250601,230000,0.05341,0.05373,0.05305,0.05346,6732.12
ZKUSDTSWAP,60,20250602,000000,0.05349,0.05402,0.05346,0.05383,4072.89
ZKUSDTSWAP,60,20250602,010000,0.05384,0.05436,0.05383,0.05394,4808.13
ZKUSDTSWAP,60,20250602,020000,0.05394,0.05453,0.05393,0.05444,9250.55
ZKUSDTSWAP,60,20250602,030000,0.05444,0.05463,0.05405,0.05412,9913.31
ZKUSDTSWAP,60,20250602,040000,0.05413,0.05442,0.0537,0.05371,5165.41
ZKUSDTSWAP,60,20250602,050000,0.05373,0.05376,0.05284,0.05301,9344.18
ZKUSDTSWAP,60,20250602,060000,0.05302,0.05305,0.05259,0.05282,5274.32
ZKUSDTSWAP,60,20250602,070000,0.05279,0.05321,0.05274,0.05279,3224.31
ZKUSDTSWAP,60,20250602,080000,0.05281,0.05321,0.05246,0.05277,3951.4
ZKUSDTSWAP,60,20250602,090000,0.05278,0.0537,0.05264,0.0534,6223.82
ZKUSDTSWAP,60,20250602,100000,0.05343,0.05404,0.05342,0.05373,3525.63
ZKUSDTSWAP,60,20250602,110000,0.05373,0.0541,0.05317,0.0533,7176.93
ZKUSDTSWAP,60,20250602,120000,0.05333,0.05334,0.05238,0.05245,8457.55
ZKUSDTSWAP,60,20250602,130000,0.05243,0.05255,0.05209,0.05247,10222.07
ZKUSDTSWAP,60,20250602,140000,0.05247,0.05286,0.05244,0.05263,5504.16
ZKUSDTSWAP,60,20250602,150000,0.05263,0.05296,0.05223,0.05286,9843.18
ZKUSDTSWAP,60,20250602,160000,0.05289,0.05364,0.05254,0.05284,7897.22
ZKUSDTSWAP,60,20250602,170000,0.05284,0.05381,0.05266,0.05335,8843.99
ZKUSDTSWAP,60,20250602,180000,0.05337,0.05383,0.05292,0.05374,7236.17
ZKUSDTSWAP,60,20250602,190000,0.0537,0.054,0.05327,0.05388,11487.34
ZKUSDTSWAP,60,20250602,200000,0.05387,0.05416,0.05347,0.05372,5478.74
ZKUSDTSWAP,60,20250602,210000,0.0537,0.05421,0.05343,0.0535,2868.55
ZKUSDTSWAP,60,20250602,220000,0.0535,0.05366,0.05253,0.05296,4698.8
ZKUSDTSWAP,60,20250602,230000,0.05298,0.05423,0.05297,0.0542,8313.62
ZKUSDTSWAP,60,20250603,000000,0.0542,0.05506,0.05417,0.05506,4980.17
ZKUSDTSWAP,60,20250603,010000,0.05507,0.05559,0.05506,0.0552,6674.92
ZKUSDTSWAP,60,20250603,020000,0.05522,0.05582,0.05515,0.05548,8946.52
ZKUSDTSWAP,60,20250603,030000,0.05547,0.05636,0.05538,0.0563,8990.8
ZKUSDTSWAP,60,20250603,040000,0.05627,0.0569,0.05621,0.05686,15766.07
ZKUSDTSWAP,60,20250603,050000,0.05687,0.057,0.05557,0.05566,12516.69
ZKUSDTSWAP,60,20250603,060000,0.05564,0.05596,0.05539,0.05569,20954.86
ZKUSDTSWAP,60,20250603,070000,0.05569,0.05576,0.05523,0.05538,4647.11
ZKUSDTSWAP,60,20250603,080000,0.05537,0.0572,0.05537,0.0571,15500.06
ZKUSDTSWAP,60,20250603,090000,0.05709,0.05736,0.05663,0.05717,8048.66
ZKUSDTSWAP,60,20250603,100000,0.05712,0.05725,0.0565,0.05662,5498.94
ZKUSDTSWAP,60,20250603,110000,0.05663,0.05696,0.05585,0.05677,12491.84
ZKUSDTSWAP,60,20250603,120000,0.05677,0.05707,0.05654,0.05684,5300.22
ZKUSDTSWAP,60,20250603,130000,0.05685,0.05832,0.05683,0.05827,33646.27
ZKUSDTSWAP,60,20250603,140000,0.05824,0.05939,0.0576,0.05817,80144.24
ZKUSDTSWAP,60,20250603,150000,0.0582,0.05969,0.05785,0.05929,47696.76
ZKUSDTSWAP,60,20250603,160000,0.05929,0.05957,0.05832,0.05874,21529.21
ZKUSDTSWAP,60,20250603,170000,0.05873,0.06008,0.05794,0.06001,33182.68
ZKUSDTSWAP,60,20250603,180000,0.05997,0.06018,0.05913,0.05922,13934.51
ZKUSDTSWAP,60,20250603,190000,0.05925,0.06032,0.05918,0.05951,15026.93
ZKUSDTSWAP,60,20250603,200000,0.05949,0.06005,0.05935,0.05964,7594.37
ZKUSDTSWAP,60,20250603,210000,0.05963,0.05989,0.05913,0.05958,7927.93
ZKUSDTSWAP,60,20250603,220000,0.05959,0.06005,0.05952,0.05973,4448.87
ZKUSDTSWAP,60,20250603,230000,0.05976,0.05984,0.05845,0.05908,13125.93
ZKUSDTSWAP,60,20250604,000000,0.05907,0.05914,0.05817,0.05845,9706.32
ZKUSDTSWAP,60,20250604,010000,0.05842,0.05929,0.05827,0.05901,17378.31
ZKUSDTSWAP,60,20250604,020000,0.05902,0.05903,0.05844,0.05888,4854.28
ZKUSDTSWAP,60,20250604,030000,0.05888,0.05969,0.05862,0.05937,11583.87
ZKUSDTSWAP,60,20250604,040000,0.05939,0.05995,0.05903,0.0591,10900.62
ZKUSDTSWAP,60,20250604,050000,0.05909,0.05942,0.05868,0.05884,7701.97
ZKUSDTSWAP,60,20250604,060000,0.05886,0.05984,0.0588,0.05965,4555.71
ZKUSDTSWAP,60,20250604,070000,0.05967,0.05985,0.05949,0.05971,5144.15
ZKUSDTSWAP,60,20250604,080000,0.05973,0.06022,0.05925,0.05931,8095.8
ZKUSDTSWAP,60,20250604,090000,0.0593,0.05966,0.05902,0.05946,5809.21
ZKUSDTSWAP,60,20250604,100000,0.05947,0.06009,0.05947,0.05947,10742.9
ZKUSDTSWAP,60,20250604,110000,0.05943,0.05995,0.05915,0.05915,9565.67
