<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZKUSDTSWAP,3,20250604,172700,0.05766,0.0577,0.05756,0.05765,1728.53
ZKUSDTSWAP,3,20250604,173000,0.05768,0.05769,0.05755,0.05768,207.99
ZKUSDTSWAP,3,20250604,173300,0.05768,0.05785,0.05768,0.05772,759.76
ZKUSDTSWAP,3,20250604,173600,0.05772,0.05773,0.05753,0.05753,973.91
ZKUSDTSWAP,3,20250604,173900,0.05755,0.05771,0.05753,0.0577,637.31
ZKUSDTSWAP,3,20250604,174200,0.05769,0.05774,0.05759,0.05771,494.98
ZKUSDTSWAP,3,20250604,174500,0.05774,0.05795,0.05774,0.05795,307.7
ZKUSDTSWAP,3,20250604,174800,0.05796,0.05809,0.05796,0.05798,403.81
ZKUSDTSWAP,3,20250604,175100,0.05796,0.05806,0.05794,0.05806,247.72
ZKUSDTSWAP,3,20250604,175400,0.05807,0.05833,0.05807,0.05833,544.41
ZKUSDTSWAP,3,20250604,175700,0.05828,0.05848,0.05825,0.05847,957.48
ZKUSDTSWAP,3,20250604,180000,0.05846,0.05847,0.05838,0.05838,893.97
ZKUSDTSWAP,3,20250604,180300,0.05837,0.05844,0.05827,0.05837,542.67
ZKUSDTSWAP,3,20250604,180600,0.05838,0.05867,0.05838,0.05844,2275.59
ZKUSDTSWAP,3,20250604,180900,0.05845,0.05853,0.05838,0.05852,170.38
ZKUSDTSWAP,3,20250604,181200,0.05854,0.05854,0.0583,0.05844,1732.9
ZKUSDTSWAP,3,20250604,181500,0.05842,0.05873,0.05842,0.05867,842.3
ZKUSDTSWAP,3,20250604,181800,0.05865,0.05875,0.05857,0.05857,933.47
ZKUSDTSWAP,3,20250604,182100,0.05857,0.05883,0.05856,0.05877,844.64
ZKUSDTSWAP,3,20250604,182400,0.05877,0.05882,0.05872,0.05874,230.55
ZKUSDTSWAP,3,20250604,182700,0.05875,0.059,0.05875,0.05891,3663.3
ZKUSDTSWAP,3,20250604,183000,0.05891,0.05895,0.05873,0.05883,558.76
ZKUSDTSWAP,3,20250604,183300,0.05888,0.05891,0.05879,0.05879,277.97
ZKUSDTSWAP,3,20250604,183600,0.05878,0.05913,0.05878,0.05911,1618.57
ZKUSDTSWAP,3,20250604,183900,0.05908,0.0592,0.05903,0.0591,525.81
ZKUSDTSWAP,3,20250604,184200,0.05912,0.05914,0.05898,0.05898,220.81
ZKUSDTSWAP,3,20250604,184500,0.059,0.05915,0.05896,0.0591,464.51
ZKUSDTSWAP,3,20250604,184800,0.05914,0.05924,0.05904,0.05918,964.22
ZKUSDTSWAP,3,20250604,185100,0.05918,0.0593,0.05912,0.05921,1418.6
ZKUSDTSWAP,3,20250604,185400,0.05923,0.05967,0.05923,0.05967,2612.87
ZKUSDTSWAP,3,20250604,185700,0.05961,0.05977,0.05952,0.05968,1390.34
ZKUSDTSWAP,3,20250604,190000,0.05969,0.05969,0.0594,0.05959,739.08
ZKUSDTSWAP,3,20250604,190300,0.05962,0.05971,0.05941,0.05941,1462.84
ZKUSDTSWAP,3,20250604,190600,0.05937,0.05969,0.05936,0.05963,5484.84
ZKUSDTSWAP,3,20250604,190900,0.05964,0.0603,0.05964,0.06012,6691.07
ZKUSDTSWAP,3,20250604,191200,0.06013,0.0606,0.06004,0.06058,14293.62
ZKUSDTSWAP,3,20250604,191500,0.06049,0.06061,0.06034,0.06042,5652.85
ZKUSDTSWAP,3,20250604,191800,0.06039,0.06069,0.06025,0.06066,5576.29
ZKUSDTSWAP,3,20250604,192100,0.06062,0.06064,0.06014,0.06016,4882.46
ZKUSDTSWAP,3,20250604,192400,0.06017,0.06048,0.06003,0.06015,8217.78
ZKUSDTSWAP,3,20250604,192700,0.06018,0.06048,0.06012,0.06037,1911.26
ZKUSDTSWAP,3,20250604,193000,0.06036,0.06069,0.06036,0.06052,3511.2
ZKUSDTSWAP,3,20250604,193300,0.06054,0.06099,0.06048,0.0609,7479.17
ZKUSDTSWAP,3,20250604,193600,0.0609,0.06092,0.06055,0.06075,1423.84
ZKUSDTSWAP,3,20250604,193900,0.06073,0.06074,0.06058,0.06058,818.64
ZKUSDTSWAP,3,20250604,194200,0.06059,0.0606,0.06025,0.0603,3156.44
ZKUSDTSWAP,3,20250604,194500,0.0603,0.06053,0.06022,0.06042,1870.08
ZKUSDTSWAP,3,20250604,194800,0.06041,0.06044,0.0603,0.06037,1981.63
ZKUSDTSWAP,3,20250604,195100,0.0604,0.06054,0.06024,0.06046,2790.6
ZKUSDTSWAP,3,20250604,195400,0.06046,0.06068,0.06043,0.06053,1923.84
ZKUSDTSWAP,3,20250604,195700,0.06055,0.06062,0.06041,0.06057,3618.53
ZKUSDTSWAP,3,20250604,200000,0.0606,0.06063,0.06024,0.06041,3093.02
ZKUSDTSWAP,3,20250604,200300,0.06042,0.06062,0.06042,0.06049,1149.19
